file,kind,referenced_from_runtime,gating_expression,markets_served,what_it_carries,equivalent_for_other_markets,smallest_generic_fix,template_fix_id
backend/src/modules/invoices/pt-stripe-invoice-data.ts,runtime_market_module,yes,// should correct one rather than being silently dropped (fixes Brazil,pt,"Portugal Stripe invoice metadata (tax id, address) shared by 5 order paths",none,"Legitimate: keep, select via Country.invoiceIssuer",TF-07
backend/src/routes/brazil-consent.route.ts,runtime_market_module,no,,br,Brazil consent HTTP routes (patient + doctor),none,Same ConsentRequirement generalisation; route becomes /consent/:appointmentId,TF-08
frontend/app/(portal)/(doctor)/doctor/appointments/[id]/_components/brazil-consent-panel.tsx,runtime_market_module,yes,"{appointment.countryCode.toLowerCase() === ""br"" ? (",br,"Doctor-portal Brazil consent panel, gated by appointment.countryCode === 'br'",none,Render from the appointment's consentRequirement field rather than a country literal,TF-08
frontend/lib/content/czechia-approved-doctor-faqs.ts,runtime_market_module,yes,* Legacy Wix URLs carried Czech and Portuguese diacritics; the live slugs are,cz,"Czech clinically approved doctor-profile FAQ replacements, keyed by doctor slug",none - other markets render raw DB FAQ rows,DoctorFaq.approvedAt/approvedBy in the DB (TF-06); delete the frontend constant,TF-06
frontend/lib/content/czechia-static-page-seo.ts,runtime_market_module,yes,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""ABOUT"", lang as LocaleCode) : null;",cz,Czech title/description/H1 for 10 static page families (cs locale only),"partial - ireland-static-page-seo.ts (3 pages, 6 locales), portugal-static-page-seo.ts (2 pages, pt only); es/ro/br none","One staticPageSeo(code, locale, pageKey) over a single nested record or the PageContent CMS rows",TF-03
frontend/lib/content/ireland-static-page-seo.ts,runtime_market_module,yes,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""ABOUT"", lang as LocaleCode) : null;",ie,"Ireland title/description/H1 for pricing, about, contact across all 6 locales",partial - see czechia/portugal equivalents,Same shared staticPageSeo loader,TF-03
frontend/lib/content/merge-ireland-home-media.ts,runtime_shared_module,yes,// may resolve to the fallback (Ireland). Use the URL pathname as the source of,all (misnamed),"Site logo / footer CTA / homepage hero asset resolvers - despite the name these are GLOBAL asset slots, no Ireland logic remains",n/a - already generic,Rename to merge-home-media.ts (or fold into get-public-assets.ts). Nothing else to do,TF-11
frontend/lib/content/portugal-static-page-seo.ts,runtime_market_module,yes,"const irelandSeo = code === ""ie"" ? irelandStaticPageSeo(""PRICING"", lang as LocaleCode) : null;",pt,Portugal title/description/H1/lede for pricing + faq (pt locale only); the pricing entry is already dead,partial - see ireland/czechia equivalents,Same shared staticPageSeo loader,TF-03
frontend/lib/i18n/brazil-editorial-copy.json,locale_override_data,yes,"const homeByLocale = { en: enHome, pt: ptHome, es: esHome, cs: csHome, ro: roHome, de: deHome } as const;",br,pt-BR/en/es editorial overrides layered onto the shared locale bundle for Brazil,partial - romania + spain equivalents exist; ie/cz/pt have none,lib/i18n/market-overrides/<code>.json auto-discovered by one index; drop the named imports and the ternary chain in load-locale.ts,TF-04
frontend/lib/i18n/romania-editorial-copy.json,locale_override_data,yes,"const homeByLocale = { en: enHome, pt: ptHome, es: esHome, cs: csHome, ro: roHome, de: deHome } as const;",ro,Romanian editorial overrides (49KB) layered onto the ro bundle,partial - see brazil/spain,Same auto-discovered override convention,TF-04
frontend/lib/i18n/spain-editorial-copy.json,locale_override_data,yes,"const homeByLocale = { en: enHome, pt: ptHome, es: esHome, cs: csHome, ro: roHome, de: deHome } as const;",es,Spanish sick-leave wording overrides layered onto the es bundle,partial - see brazil/romania,Same auto-discovered override convention,TF-04
frontend/lib/tools/czechia-approved-tool-seo.json,tool_copy_data,yes,"* decline after prepositions in Czech (""v Irsku"", not ""v Irsko"") and take",cz,Czech clinically approved tool meta titles/descriptions,partial - portugal + romania JSON equivalents; Brazil is inline TS in market-copy.ts; ie/es have almost none,lib/tools/market-copy/<code>.json + a generated index; MARKET_COPY stops being hand-written,TF-05
frontend/lib/tools/portugal-approved-tool-seo.json,tool_copy_data,yes,"* decline after prepositions in Czech (""v Irsku"", not ""v Irsko"") and take",pt,Portuguese approved tool meta titles/descriptions,partial - see czechia/romania,Same per-country tool-copy convention,TF-05
frontend/lib/tools/romania-editorial-tool-copy.json,tool_copy_data,yes,"* decline after prepositions in Czech (""v Irsku"", not ""v Irsko"") and take",ro,"Romanian tool copy, full editorial override (393KB - the largest content file in the repo)",partial - see czechia/portugal,Same per-country tool-copy convention; consider moving this volume to the CMS,TF-05
