date,event,commit,evidence
2026-08-04,legacy_redirect_batch,34e31ec8,"fix(seo): route legacy /booking-calendar/* links to their own market (the per-market /booking-calendar rules); e07aa5df repairs two dead legacy blog links. Content batch: 6f3604f1 per-country About pages, 0822e5ba per-country contact pages, 79ce4a2c per-locale blog."
2026-08-05,content_batch,244d629e,"feat(seo): free BMI calculator for every market and locale (the /tools/* cluster later blamed for the impression surge in ledger SEO-GROWTH-012)."
2026-08-08,410_batch,4a43a0b2,"fix(seo): recover certain legacy doctor slugs, retire a departed one as 410 — first GONE_DOCTORS entry (dr-grainne-ahern), 14 URL shapes answer 410. 7e47fc41 batch 2 (Jana Cyplinska, Vitor Pais, collapsed chains). Sitemap: eaf74c05 + f6bae862 make sitemap.xml represent only genuinely indexable URLs. Evidence: docs/audits/seo/legacy-redirect-recovery-2026-08-08.md."
2026-08-09,410_partial_revert,36bbd5e5,"fix(seo): revert Jana Cyplinska 410 — insufficient evidence of retirement. Her locale-prefixed legacy URLs now resolve to the Czechia doctors hub instead. Sitemap: db318dfe, 0bd0637a."
2026-08-11,legacy_redirect_batch,4c60bb33,"Brazil legacy redirect repairs: 4c60bb33 (/home-br), 4a5f0fad (three missing Brazil rules), 798c7282 (Brazil locale-prefixed legacy redirects), 532d9c8a (Portugal atestado -> baixa-medica)."
2026-08-14,legacy_redirect_batch,8189baa6,"fix(seo): stop three Czech legacy doctor redirects terminating in a 404. Same day 4a60ad7f adds the CI gate that asserts redirect targets, sitemap and GONE_DOCTORS against production."
2026-08-15,sitemap_change,5f67b9d8,"feat(faq): add country FAQ route, retire the three bare global pages. Ledger section 22 (LEGACY-CONSOLIDATION-001) measured the same day: legacy URLs still carried 48% of page-dimension clicks five weeks after launch."
2026-08-17,410_batch,1df25913,"fix: clean up legacy Wix URLs (LEGACY-URL-CLEANUP-002, ledger section 24). Exact lab-product aliases repointed to /ireland/{lang}/lab-tests/{slug}; homepage fallbacks for product-page/*, gift-card and broad category aliases removed; dead doctor aliases, CMS placeholders and retired beauty/telemedicine products made path-level 410s in gone-content.ts."
2026-08-25,analytics_change,f43ee835,"feat(seo): instrument the GA4 conversion funnel and close the sick-cert cluster gaps — instrumentation added while collection was still dead."
2026-08-26,sitemap_change,b8e5a920,"fix: exclude unsupported blog locales from sitemap."
2026-08-31,content_batch,5a8cf1cc,"feat(frontend): country/locale Careers and Press pages (+ d954de26 recruitment workflow, a4a101b0 localized job page repair). Adds 65 careers and 84 press URLs to the sitemap."
2026-09-08,410_batch,1a8891f7,"fix: return 410 for retired Mala profile — GONE_DOCTORS grows to its current 37-row retired.csv set."
2026-09-09,tracking_repair,,"GA4 collection restored. Production Frontend Railway build variable corrected to G-SP48D9LJJ5 and redeployed (deployment 2f1cd860-f93e-4dfc-b2e4-4611771ac3f9); GA4 Realtime verified page_view / session_start / first_visit. Historical empty period 2026-08-02..2026-09-08 is not recoverable. Evidence: CLAUDE.md analytics table + ledger section 47 + ga4_outage_windows.csv. Same-day commits 67d5c6f0 (book-a-test sitemap reachability) and 499f4076."
2026-09-10,analytics_change,1051c552,"feat(analytics): track privacy-safe booking conversions."
2026-09-11,sitemap_change,04039b20,"feat(press): add Ireland and Czechia press release pages in all locales."
2026-09-07/2026-09-13,feature_flag_regression,,"Ireland health-tests country feature turned off in the admin UI (DB-backed, no commit — git history cannot date it). Window bounded below by Googlebot's successful fetch of /ireland/en/lab-tests at 2026-09-07T14:45Z and above by old ledger section 58 dated 2026-09-13 already recording the 404. Effect: 84 sitemapped lab-test URLs, the hub, 6 book-a-test routes and 40 legacy Wix redirects (/product-page/*, /home-health-tests*/*, /home-delivery, /home-health-test) now terminate in 404. Evidence: seo/tracking/raw/2026-09-15/A2-probe/incident-ireland-lab-tests-404-2026-09-15.md."
2026-09-15,audit_probe,,"This pass: 1,142 legacy URLs probed live (GET, manual hop following, audit UA). Raw log seo/tracking/raw/2026-09-15/A8-migration/probe.jsonl."
