review_id,url_id,url,target_country,language,page_type,entity_source,impressions_W1,clicks_W1,primary_query,intent_alignment,usefulness_1_5,specificity_1_5,naturalness_1_5,localisation_1_5,factual_safety,scanner_flags,analyst_rating_1_5,classification,issue,current_excerpt,recommended_action,factual_source,clinical_gate,native_editor_status,copy_approval_status,owner,expected_user_benefit,evidence
CR-0011,U000320,https://www.myglobalhealth.online/brazil/en/faq,Brazil,en,faq,frontend/locales/en/faq-markets.json:br.groups via frontend/lib/content/country-faq.ts,1,0,help global brazil,aligned,4,4,4,4,ok,em_dash_8.7/1k,4,Protect,Faithful English mirror of the pt FAQ; 1 impression.,"Global Health · BrazilGlobal Health · BrazilQuestions, answered without the marketing speak.Booking, payment, consultations, privacy, and when online care is not the right route. Can't find what you need? Drop us a line.Contact the teamBook","No copy change; visibility is an indexation/linking question, not a content one.",Resolucao CFM 2.314/2022 cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,English-speaking residents get the same legal answer,seo/tracking/raw/2026-09-15/A2-probe/text/U000320.txt
CR-0012,U000325,https://www.myglobalhealth.online/brazil/en/legal/complaints-procedure,Brazil,en,legal,"frontend/lib/content/get-country-legal.ts (document complaints-procedure, locale en)",0,0,,aligned,4,4,4,4,ok,em_dash_33.5/1k,4,Protect,"Legal page. em-dash density 33.5/1k is list formatting ('Acknowledgement - within 2 business days'), not prose style.",LegalBrazil · LegalComplaints ProcedureVersion 2 · Last updated 18 July 2026All legal documentsDownload PDFGLOBAL HEALTH Complaints ProcedureAll Markets | www.myglobalhealth.online/complaintsEffective Date: 1 July 2026 We take every complai,No change.,Complaint stages and timescales stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Complainants see the actual timescales,seo/tracking/raw/2026-09-15/A2-probe/text/U000325.txt
CR-0013,U000392,https://www.myglobalhealth.online/brazil/es/legal/privacy-policy,Brazil,es,legal,"frontend/lib/content/get-country-legal.ts (document privacy-policy, locale es)",0,0,,aligned,4,4,4,4,ok,superlative_hits=3,4,Protect,"Legal text; 'superlative' hits are legal register, not marketing. Header label 'Ultima actualizacion 18 July 2026' keeps an English month.",egalesPolítica de PrivacidadVersión 2 · Última actualización 18 July 2026Todos los documentos legalesPolítica de Privacidad Todos los Mercados | RGPD • LGPD • ePrivacy Fecha de Entrada en Vigor: 1 de julio de 2026 Política de Privacidad — I,Localise the date format in the legal header component.,"IČO 19071680, DPC and CNPD registration numbers on page","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Spanish readers see a Spanish date,seo/tracking/raw/2026-09-15/A2-probe/text/U000392.txt
CR-0014,U000454,https://www.myglobalhealth.online/brazil/pt/legal/privacy-policy,Brazil,pt,legal,"frontend/lib/content/get-country-legal.ts (document privacy-policy, locale pt)",0,0,,aligned,4,4,4,4,ok,superlative_hits=3,4,Protect,Same English month in the pt legal header ('Ultima atualizacao 18 July 2026').,LegalPolítica de PrivacidadeVersão 2 · Última atualização 18 July 2026Todos os documentos legaisPolítica de Privacidade Todos os Mercados | GDPR • LGPD • ePrivacy Data de Entrada em Vigor: 1 de julho de 2026 Política de Privacidade — Infor,Localise the date format in the legal header component.,"IČO 19071680, CNPD registration on page","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Portuguese readers see a Portuguese date,seo/tracking/raw/2026-09-15/A2-probe/text/U000454.txt
CR-0015,U000302,https://www.myglobalhealth.online/brazil/en,Brazil,en,market_home,"frontend/app/[country]/[lang]/page.tsx + CMS page-content record HOME/br/en (hero, faq[]) via lib/content/get-page-content.ts + frontend/lib/content/country-home-copy.ts + frontend/locales/en/home.json",544,0,medical appointment,partial,3,3,4,2,risk,none,2,Improve,Hero subtitle still uses the generic pan-market line 'registered with national medical councils across Europe' instead of the market regulator. On a Brazil page it tells the visitor the doctors are re,"ose a service, select an open time, and speak with licensed clinicians registered with national medical councils across Europe.Book AppointmentBrowse servicesLicensed in BrazilLive availabilityOnline appointments{""@context"":""https://schema.","Replace the hero subtitle with the CRM/CFM wording already used on /brazil/pt, and replace the vague 'multiple languages' FAQ answer with Portuguese and English.",CRM/CFM registration stated elsewhere on the same page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Brazilian visitors see the Brazilian regulator named,seo/tracking/raw/2026-09-15/A2-probe/text/U000302.txt
CR-0016,HOME-BR,https://www.myglobalhealth.online/brazil/pt,Brazil,pt,market_home,"frontend/app/[country]/[lang]/page.tsx + CMS page-content record HOME/br/pt (hero, faq[]) via lib/content/get-page-content.ts + frontend/lib/content/country-home-copy.ts + frontend/locales/pt/home.json",56,0,minha clinica help global,aligned,4,4,4,5,ok,none,4,Improve,"Hero and regulator copy are correctly localised, but the FAQ answer 'As consultas estao disponiveis em varios idiomas' is vaguer than the contact page, which states Portuguese and English.","ceptedAnswer"":{""@type"":""Answer"",""text"":""As consultas estão disponíveis em vários idiomas, conforme a disponibilidade do médico. Você pode escolher o médico pelo idioma ao agendar.""}},{""@type"":""Question"",""name"":""A consulta online é segura?"",",Name the two languages actually offered in Brazil in the HOME FAQ record.,Contact page and doctor profiles state Portuguese/English,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Visitors know before booking which languages are offered,seo/tracking/raw/2026-09-15/A2-probe/text/HOME-BR.txt
CR-0017,U000334,https://www.myglobalhealth.online/brazil/en/press,Brazil,en,press,frontend/lib/content/press-releases/ + frontend/locales/en/company.json,1,0,global help,aligned,4,4,4,4,ok,em_dash_8.1/1k,4,Protect,Short but complete press page with checkable identifiers.,"PressGlobal Health · BrazilPress & media Information for journalists writing about Global Health in Brazil — who we are, who operates the service, and how to verify what we do.Email the press teamAbout usOperated byGlobal Guest s.r.o.Regula",No change.,"IČO 19071680, EU trade mark, CFM named on page","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Journalists can verify the operating entity,seo/tracking/raw/2026-09-15/A2-probe/text/U000334.txt
CR-0018,U000463,https://www.myglobalhealth.online/brazil/pt/services/controle-peso-online,Brazil,pt,service,CMS service record controle-peso-online (br-pt) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/br-pt.json,26,0,consulta online para obesidade,aligned,4,4,3,5,ok,none,4,Improve,"Good service page, but em-dash density 22.4/1k makes the lede read as generated prose.",++Todas as consultasConsulta onlineControle de Peso Online — Avaliação Médica por VideochamadaGanho de peso sem causa aparente. Dificuldade de emagrecer apesar de dieta e exercício. Suspeita de que há algo hormonal ou metabólico por trás do,"Rewrite the opening paragraph with full stops instead of dashes; keep price, duration and reviewer unchanged.",R$299 / 20 min and CRM 170837 reviewer shown on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Opening reads like a clinician wrote it,seo/tracking/raw/2026-09-15/A2-probe/text/U000463.txt
CR-0019,U000471,https://www.myglobalhealth.online/brazil/pt/services/saude-do-homem-online,Brazil,pt,service,CMS service record saude-do-homem-online (br-pt) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/br-pt.json,20,0,consulta online saúde masculina,aligned,4,4,3,5,ok,none,3,Improve,Highest em-dash density in the set (36.7/1k); the Novembro Azul framing is well localised but the prose is dash-driven.,"++Todas as consultasConsulta onlineSaúde do Homem Online — Consulta com Clínico Geral por VideochamadaHomens consultam médico com muito menos frequência do que as mulheres — e quando finalmente vão, muitas vezes é porque o problema já está",Rewrite the lede into short sentences; keep the Novembro Azul reference and the price.,R$299 / 20 min and CRM 170837 reviewer shown on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,"Same message, easier to read on a phone",seo/tracking/raw/2026-09-15/A2-probe/text/U000471.txt
CR-0020,U000336,https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online,Brazil,en,service,CMS service record atestado-medico-online (br-en) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/br-en.json,1,0,ganho atestado,aligned,5,5,4,4,ok,em_dash_24.2/1k,4,Protect,"Accurately states that booking does not guarantee a certificate, and cites the actual CFM resolutions.",++All consultationsOnline consultationMedical certificate: video assessmentBook a medical assessment by video. A medical certificate depends on the assessment; booking does not guarantee a document or its acceptance.Registered doctors · Bra,"No copy change; 24.2/1k em-dashes come from the regulation list, which is correct formatting.","CFM 2.314/2022, Lei 14.510/2022, CFM 2.382/2024, CLT art.473 cited on page","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,No false promise of a document,seo/tracking/raw/2026-09-15/A2-probe/text/U000336.txt
CR-0021,U000400,https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online,Brazil,es,service,CMS service record consulta-pele-online (br-es) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/br-es.json,0,0,,partial,3,4,3,3,ok,superlative_hits=4,2,Consider retirement,"Spanish skin-consultation page for the Brazil market, 0 impressions, dash-heavy lede (34.4/1k).","++Todas las consultasConsulta en líneaConsulta de Piel Online — Evaluación con Médico General por VideollamadaUna mancha nueva que apareció, un acné que no mejora, una erupción cutánea sin causa aparente, una infección de piel que está empe","Decide the Brazil es locale policy before any copy work; if kept, rewrite the lede without dashes.",R$299 / 20 min and CRM 170837 reviewer shown on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",needed,proposed,,Either a real Spanish audience or fewer thin pages,seo/tracking/raw/2026-09-15/A2-probe/text/U000400.txt
CR-0022,U000460,https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online,Brazil,pt,service,CMS service record atestado-medico-online (br-pt) via frontend/lib/content/get-public-services.ts + frontend/lib/content/service-hub-content*.ts; dump .../api/services/br-pt.json,0,0,,aligned,5,5,4,5,ok,superlative_hits=4,4,Protect,pt original of the certificate page; same accurate 'assessment not a document' framing.,++Todas as consultasConsulta onlineAtestado médico: avaliação por vídeoAgende uma avaliação médica por vídeo. A emissão de atestado depende da avaliação clínica; a consulta não garante um documento ou sua aceitação.Médicos registrados · Bra,No change.,"CFM 2.314/2022, Lei 14.510/2022, CFM 2.382/2024 cited on page","no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,No false promise of a document,seo/tracking/raw/2026-09-15/A2-probe/text/U000460.txt
CR-0023,U000484,https://www.myglobalhealth.online/brazil/pt/tools/due-date-calculator,Brazil,pt,tool,frontend/locales/pt/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,381,0,calculadora gestacional,aligned,5,4,5,5,ok,soft_404_signal,4,Improve,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). 381 impressions but only 12 in the top 15; ranking, not copy, is the limit","BrasilCalculadora gestacionalFerramenta gratuitaCalculadora gestacional BrasilInforme o primeiro dia da última menstruação para ver a data provável do parto, em qual semana você está hoje e quando começa cada trimestre.Ajusta-se a ciclos de",No copy change needed for the flag. Fix the scanner rule instead (anchor the soft-404 match to the title/first heading).,40-week table and term window stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Nothing to change for the reader,seo/tracking/raw/2026-09-15/A2-probe/text/U000484.txt
CR-0024,U000481,https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart,Brazil,pt,tool,frontend/locales/pt/tools.json:blood-pressure-chart via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,94,0,tabela de pressão arterial,aligned,5,5,5,5,ok,none,4,Improve,Good tool. 94 impressions at p8-15 for 'tabela de pressao arterial' with 0 clicks; the title does not say the page is a chart you compare a reading against.,"BrasilTabela de pressão arterialFerramenta gratuitaPressão arterial normal BrasilInsira os dois números do seu aparelho para ver onde a medida se encaixa na tabela para adultos — e o que fazer, se houver algo a fazer.Categorias europeias (E",Rewrite title/meta to lead with the comparison promise and the same-day-care flag.,ESC/ESH adult categories named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Searchers recognise the chart they wanted in the SERP,seo/tracking/raw/2026-09-15/A2-probe/text/U000481.txt
CR-0025,U000360,https://www.myglobalhealth.online/brazil/en/tools/due-date-calculator,Brazil,en,tool,frontend/locales/en/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,4,0,due pregnant,partial,4,4,4,4,ok,soft_404_signal,3,Consolidate,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). English due-date tool for the Brazil market, 4 impressions.","BrazilDue date calculatorFree health toolDue date calculator BrazilEnter the first day of your last period to see your estimated due date, how far along you are today, and when each trimester starts.Adjusts for cycle lengths from 20 to 45 d",Keep one per market in the served language(s); review whether the en copy earns its place in Brazil.,Same clinical content as the pt page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Fewer near-identical pages competing,seo/tracking/raw/2026-09-15/A2-probe/text/U000360.txt
CR-0026,U000482,https://www.myglobalhealth.online/brazil/pt/tools/bmi-calculator,Brazil,pt,tool,frontend/locales/pt/tools.json:bmi-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,2,0,"gestгo de saъdebrl7200%-33%mйdio53 2,65 9,48 880720720880720720590480880590720590",aligned,5,4,5,5,ok,superlative_hits=3,4,Protect,"Accurate WHO-band BMI tool; the three 'superlative' hits are WHO category names, not marketing.","BrasilCalculadora de IMCFerramenta gratuitaCalculadora IMC BrasilInsira sua altura e seu peso para ver o índice de massa corporal e onde ele se situa na escala da Organização Mundial da Saúde para adultos.Métrico e imperial (kg, stone, libr",No change.,WHO adult BMI bands named on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,"Result explained as screening, not diagnosis",seo/tracking/raw/2026-09-15/A2-probe/text/U000482.txt
CR-0027,U000422,https://www.myglobalhealth.online/brazil/es/tools/due-date-calculator,Brazil,es,tool,frontend/locales/es/tools.json:due-date-calculator via frontend/lib/tools/registry.ts (+ frontend/lib/tools/market-copy.ts market override) rendered by frontend/lib/content/tool-page.tsx,0,0,,partial,3,4,4,4,ok,soft_404_signal,2,Consider retirement,"scanner soft_404_signal is a FALSE POSITIVE (week table digits '...40'+'41' read as '404' in the de-spaced DOM text extract). Spanish due-date tool on a Brazil URL, 0 impressions.","BrasilCalculadora de embarazoHerramienta gratuitaCalculadora de embarazo BrasilIndica el primer día de tu última regla para ver tu fecha probable de parto, en qué semana estás hoy y cuándo empieza cada trimestre.Se ajusta a ciclos de 20 a 4",Retire or noindex unless a Brazil es audience is evidenced.,Same clinical content as the pt page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Less duplicate tool inventory,seo/tracking/raw/2026-09-15/A2-probe/text/U000422.txt
CR-0028,U000818,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,Czechia,cs,blog_post,CMS blog record neschopenka-jak-funguje-eneschopenka (cz-cs) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/cz-cs.json,243,0,neschopenka,aligned,5,5,5,5,ok,none,5,Protect,Best-performing cs guide in the market; correct eNeschopenka mechanics and CSSZ routing.,"Všechny článkyPraktické lékařstvíNeschopenka: jak funguje eNeschopenka, vycházky a výplata nemocenskéNeschopenku vystavuje elektronicky ošetřující lékař a odesílá ji přímo ČSSZ. Vysvětlujeme, kdo ji smí vystavit, jak se o ní dozví zaměstnav",No change.,CSSZ eNeschopenka rules cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Employees know what the doctor sends and to whom,seo/tracking/raw/2026-09-15/A2-probe/text/U000818.txt
CR-0029,U000959,https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,Czechia,en,blog_post,CMS blog record neschopenka-czech-sick-note-explained (cz-en) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/cz-en.json,138,0,neschopenka anglicky,aligned,5,5,5,3,ok,none,4,Improve,Blog category label renders in the source language on this locale (untranslated taxonomy leak). Category 'Prakticke lekarstvi' on the /en page; ranks p1 for 'neschopenka' and p10 for 'neschopenka angl,All articlesPraktické lékařstvíNeschopenka: how the Czech electronic sick note actually worksIn Czechia the sick note is issued electronically by your treating doctor and sent straight to ČSSZ. Here is who may is,"Translate the category label for en; leave the body, which is genuinely written for an English-speaking resident.",CSSZ rules cited on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,English readers see an English taxonomy,seo/tracking/raw/2026-09-15/A2-probe/text/U000959.txt
CR-0030,U000816,https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi,Czechia,cs,blog_post,CMS blog record lekar-online-24-7-co-vyresi (cz-cs) via frontend/lib/content/get-public-blog.ts; dump seo/tracking/raw/2026-09-15/A1-inventory/raw/api/blog/cz-cs.json,72,0,praktik online,aligned,5,5,5,5,ok,none,5,Protect,Honest scope page: names what a video consultation cannot do and when to call 155.,"Všechny článkyPraktické lékařstvíCo vyřeší lékař online a kdy nestačíOnline lékař je dostupný rychle, ale ne na všechno. Přehled toho, co lze bezpečně vyřešit videokonzultací, co patří do ordinace, kdy volat 155 a proč online konzultace nen",No change.,Emergency number 155 and scope limits stated on page,"no - presentation, taxonomy, localisation or snippet only; no clinical statement changes",not needed,proposed,,Patients self-triage before booking,seo/tracking/raw/2026-09-15/A2-probe/text/U000816.txt
