observed_at,target_country,language,query_cluster,query,competitor_domain,competitor_type,ranking_url,serp_position,intent,content_gap,trust_gap,local_gap,provider,device,location,evidence
2026-09-15,ireland,en,online-gp,online gp ireland,www.webdoctor.ie,business-telemedicine,https://www.webdoctor.ie/,1,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,www.gp24.ie,business-telemedicine,https://www.gp24.ie/,3,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,www.healthhero.ie,business-telemedicine,https://www.healthhero.ie/patients/online-gp,4,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,onlinedoc.ie,business-telemedicine,https://onlinedoc.ie/,6,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/online-gp-appointment,7,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,www.gpline.ie,business-telemedicine,https://www.gpline.ie/,8,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,eirdoc.com,business-telemedicine,https://eirdoc.com/ie/,9,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,gpdoctor.ie,business-telemedicine,https://gpdoctor.ie/,10,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,hsfassist.ie,business-telemedicine,https://hsfassist.ie/gpvirtualdoctor,11,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,online-gp,online gp ireland,hsfassist.ie,business-telemedicine,https://hsfassist.ie/gpvirtualdoctor,14,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,smartscripts.ie,business-telemedicine,https://smartscripts.ie/sick-note-online-ireland/,1,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,www.medhub.ie,business-telemedicine,https://www.medhub.ie/medical-certificate-in-ireland,3,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/online-medical-certificates/sick-certificate,4,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,www.gpsicknote.ie,business-telemedicine,https://www.gpsicknote.ie/,6,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,doxonline.ie,business-telemedicine,https://doxonline.ie/medical-letters-sick-notes/,7,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,doconcall.ie,business-telemedicine,https://doconcall.ie/medical-certificate-ireland/,8,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,rossfamilypractice.ie,serp-hospital-group,https://rossfamilypractice.ie/sick-certs/,9,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,www.walshmedicalpractice.ie,business-telemedicine,https://www.walshmedicalpractice.ie/illness-certs,10,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/,11,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,online medical certificate,eclinic.ie,business-telemedicine,https://eclinic.ie/treatment/print/patients-application-for-medical-certificate-25,13,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,smartscripts.ie,business-telemedicine,https://smartscripts.ie/sick-note-online-ireland/,2,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,gethealthcare.ie,business-telemedicine,https://gethealthcare.ie/online-medical-certificates/sick-certificate,3,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,www.gpsicknote.ie,business-telemedicine,https://www.gpsicknote.ie/,4,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,www.medhub.ie,business-telemedicine,https://www.medhub.ie/online-sick-certificate-in-ireland,6,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,doconcall.ie,business-telemedicine,https://doconcall.ie/sick-note-ireland-guide/,7,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,doctor365.ie,business-telemedicine,https://doctor365.ie/service/sick-certificate-and-doctors-note/,8,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,online-doctors.centrichealth.ie,business-telemedicine,https://online-doctors.centrichealth.ie/,9,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,www.webdoctor.ie,business-telemedicine,https://www.webdoctor.ie/online-doctor-ireland/sick-notes-medical-certificates/,10,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,www.healthhero.ie,business-telemedicine,https://www.healthhero.ie/patients/online-gp,11,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,sick-certificate,doctors note online,doxonline.ie,business-telemedicine,https://doxonline.ie/medical-letters-sick-notes/,13,transactional,Price and turnaround stated up front (competitors advertise a fixed fee and hours-to-issue) plus employer-acceptance wording,Named registering body and clinician register linked on the landing page,Country-specific certificate rules and employer/payroll wording,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.webdoctor.ie,business-telemedicine,https://www.webdoctor.ie/bmi-calculator/,1,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.nhs.uk,serp-publisher,https://www.nhs.uk/health-assessment-tools/calculate-your-body-mass-index/,2,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.safefood.net,business-telemedicine,https://www.safefood.net/bmi-calculator,3,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www2.hse.ie,business-telemedicine,https://www2.hse.ie/conditions/obesity/diagnosis/,5,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.healthhero.ie,business-telemedicine,https://www.healthhero.ie/bmi-calculator,6,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,eirdoc.com,business-telemedicine,https://eirdoc.com/ie/bmi-calculator-ireland/,7,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,smartscripts.ie,business-telemedicine,https://smartscripts.ie/bmi/,9,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.slimmingworld.ie,business-telemedicine,https://www.slimmingworld.ie/bmi-calculator,10,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,my-bmi.ie,business-telemedicine,https://my-bmi.ie/,11,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,ireland,en,tools-bmi,bmi calculator ireland,www.healthpromotion.ie,business-telemedicine,https://www.healthpromotion.ie/products/bmi-chart,13,informational,Calculator page with interpretation tables and a follow-on care path,Clinical reviewer byline,Local units and local guidance thresholds,DataForSEO via OpenSEO,desktop,2372,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,moje.euc.cz,serp-hospital-group,https://moje.euc.cz/terms-and-conditions/attachement-doctor-online,2,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.meddi.com,business-telemedicine,https://www.meddi.com/cz/o-aplikaci,3,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.zpmvcr.cz,serp-government,https://www.zpmvcr.cz/pojistenci/lekar-na-telefonu,4,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,pr.denik.cz,serp-publisher,https://pr.denik.cz/pece-o-zdravi/vysetreni-v-lekari-online-24-7-z-bezpeci-a-pohodli-vaseho-domova/,5,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.canadian.cz,serp-hospital-group,https://www.canadian.cz/cs/clanky-a-novinky/deniky-vlm-o-lekari-online-247-s-vitezslavem-havlisem/,6,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.konzultacelekare.cz,business-telemedicine,https://www.konzultacelekare.cz/,8,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.zdravotnickydenik.cz,serp-publisher,https://www.zdravotnickydenik.cz/2021/04/telemedicinu-v-ramci-sluzby-lekar-online-24-7-v-soucasnosti-vyuziva-pres-tisic-pacientu-mesicne-prevazuji-zeny/,9,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,euc.cz,serp-hospital-group,https://euc.cz/,10,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.rbp213.cz,serp-government,https://www.rbp213.cz/pojistenci/dalsi-vyhody-od-rbp/lekar-na-telefonu/a-73/,11,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-gp,lékař online 24/7,www.canadian.cz,serp-hospital-group,https://www.canadian.cz/cs/clanky-a-novinky/doktor-v-mobilu/,13,commercial,Service page stating consultation scope and real appointment availability windows,Clinician roster with registration numbers and third-party reviews,"Local registration, local pricing and local language",DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.konzultacelekare.cz,business-telemedicine,https://www.konzultacelekare.cz/,1,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.znamylekar.cz,serp-directory,https://www.znamylekar.cz/pro-pacienty/online-konzultace,2,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.zpmvcr.cz,serp-government,https://www.zpmvcr.cz/pojistenci/lekar-na-telefonu,3,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.meddi.com,business-telemedicine,https://www.meddi.com/cz/o-aplikaci,4,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.drmax.cz,serp-pharmacy,https://www.drmax.cz/kartavyhod/on-line-lekarska-konzultace,6,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.epediatr.cz,business-telemedicine,https://www.epediatr.cz/poradna/vecerni-konzultace/,7,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,pro.znamylekar.cz,serp-directory,https://pro.znamylekar.cz/nabidka/hlavni-funkce/online-konzultace,9,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.canadian.cz,serp-hospital-group,https://www.canadian.cz/cs/clanky-a-novinky/deniky-vlm-o-lekari-online-247-s-vitezslavem-havlisem/,10,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,www.nestlebaby.cz,business-telemedicine,https://www.nestlebaby.cz/online-konzultace-s-lekarem-zdarma,11,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
2026-09-15,czechia,cs,online-consult,konzultace s lékařem online,euc.cz,serp-hospital-group,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-praha-sustova/muj-praktik-online/,13,commercial,Booking-first landing page with visible slots and price,Regulator and review signals above the fold,Local currency and local insurer/payer context,DataForSEO via OpenSEO,desktop,2203,seo/tracking/raw/2026-09-15/A7-market/serp-ireland-czechia.json
