asset,asset_type,review_domain,reason,claim_guardrail,official_source,priority,reviewer_requirement,status,reviewer_name,reviewer_doctor_id,reviewed_at,approved_sha256,native_reviewer_name,native_reviewer_id,native_reviewed_at
/czechia/cs/services/cestovni-medicina-praha,service page,travel medicine,"remote suitability, vaccines, certificates and itinerary advice","Do not promise vaccination, certificate or travel clearance",https://www.nzip.cz/clanek/32-ockovani-do-zahranici,P1,Czech travel-medicine-capable physician,super_admin_override,,,,6ac32ac639b32b7cde67859fd29d7e08defc7902ec33e2ea317be650822ac8da,,,
/czechia/cs/services/chronicka-onemocneni,service page,chronic disease,"stability criteria, monitoring, escalation and prescribing","Remote care supplements rather than replaces necessary longitudinal and physical care",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,69881b76f873d73fc4c20afebb9f8866ac2879d5a534381bdf22bce6e3343ecd,,,
/czechia/cs/services/dusevni-zdravi-online,service page,mental health,"scope, crisis escalation, diagnosis and prescribing","Not a crisis service or specialist psychiatry claim; urgent risk routes to 155/112",https://www.nzip.cz/clanek/205-zdravotnicka-zachranna-sluzba,P0,Czech mental-health-capable physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,17545f590e7b35b27a5aca46532745c1e45ba935e4406a5164d1fca98e289b5a,,,
/czechia/cs/services/kontrola-vahy-online,service page,weight management,"assessment, investigations, medicines and outcome wording","No medicine eligibility, prescription or weight-loss guarantee",https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,5afbf6b87240d7c4ccf908ad6c752112ea33b44e2f5da2d4201d4c1ab4ce160a,,,
/czechia/cs/services/lekar-online-praha,service page,remote primary care,"scope, availability, diagnosis, escalation and documents","Live availability only; no diagnosis or document guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P0,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T01:30:00+02:00,e1246dbc98c12e4f14f36daaf8981a7611c58183d51d5fbbbb4797c4a3ab0746,,,
/czechia/cs/services/muzske-zdravi-online,service page,men's health,"condition scope, investigations, prescribing and escalation","No test, treatment, prescription or outcome guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,e677a99e9984d41ca067223285f1739161e048db38f7af481959191cf4eb99c8,,,
/czechia/cs/services/vypadavani-vlasu-online,service page,hair loss,"remote assessment, investigations, referral and treatment wording","No diagnosis, test, prescription or result guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P2,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,c2deb83e0bee701c7490a79e16f346f82c4e4b859f5fa106e45f7f114931ccf5,,,
/czechia/cs/services/zenske-zdravi-online,service page,women's health,"condition scope, pregnancy exclusions, prescribing and escalation","No test, treatment, prescription or document guarantee",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,b2daf6916c57a415effe8fa2510187f10334fb22e9a81d0ba8c4479ab56032b0,,,
/czechia/cs/tools/adhd-test,tool,ADHD screening,"instrument wording, scoring and next-step guidance","Screening is not diagnosis; do not imply treatment eligibility",https://www.hcp.med.harvard.edu/ncs/asrs.php,P1,Czech mental-health-capable physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,ee798237057035cac1b2be1f6176328937ada73fcbe0ff32f5592d525752ae06,,,
/czechia/cs/tools/bmi-calculator,tool,BMI interpretation,"formula, categories, limitations and action guidance","Educational estimate only; account for populations where BMI is limited",https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight,P2,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,61bb6ba7def949dcd1b96cf7b254eafe432876869fe1bef188b5c16c299c2e1a,,,
/czechia/cs/tools/calorie-calculator,tool,energy-needs estimate,"formula, activity assumptions and limitations","Educational estimate only; not an individual nutrition prescription",https://doi.org/10.1016/S0002-8223(21)39510-2,P2,Czech-licensed physician or registered dietitian,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,600610aefdc0ff3e059536284e83906bacc913d3a6eb5166c7b56e913c786461,,,
/czechia/cs/tools/due-date-calculator,tool,pregnancy dating,"calculation assumptions, cycle limits and clinical dating","Estimate only; ultrasound and clinician assessment can revise dating",https://www.nice.org.uk/guidance/ng201/chapter/Recommendations#determining-gestational-age-and-chorionicity,P1,Czech obstetric clinician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,318679f397342e345c2b1caed3dbb5f600f451528416c0d22d4c032a0b6dd01e,,,
/czechia/cs/tools/osteoporosis-risk-checker,tool,osteoporosis screening,"risk-factor logic, exclusions and next-step guidance","Screening is not diagnosis and does not replace fracture-risk assessment",https://frax.shef.ac.uk/FRAX/,P1,Czech-licensed physician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-01T18:30:00+02:00,c6601584be10834f8dbe6c105bfeda0a5272f38552f71d6253785a01b4673a3b,,,
/czechia/cs/tools/ovulation-calculator,tool,fertility timing,"cycle assumptions, uncertainty and contraception warning","Estimate only; never present as reliable contraception or pregnancy confirmation",https://www.nhs.uk/conditions/periods/fertility-in-the-menstrual-cycle/,P1,Czech obstetric or reproductive-health clinician,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,21e12f0a1eac2a0a84a7b193cb1fb8bd00574125fe65e5cb4ea971547fea7edf,,,
/czechia/en,home page,remote primary care,"English service scope, availability, prescribing and documents","Live availability only; outcomes and documents depend on clinical assessment",https://ncez.mzcr.cz/cs/milnik-c-3-pravidladokumentypodklady-interoperabilita-telemedicina/pravidla-pro-rozvoj-telemediciny,P0,Czech-licensed physician plus native English editor,approved,MUDr. Ahmed Maklad,cmqas8yh9000b01pgpc0yp1la,2026-09-02T16:50:00+02:00,c2efff204a9cd9a1176f652a59843a82161c1ae717bc88c7f27998cd0bfb0059,Dr Tiago Miguel Figueira,cmp5r0if3002kssjug743x0p6,2026-09-02T16:50:00+02:00
all Czech forms and analytics,privacy,health data,"special-category data and marketing separation","No symptom, diagnosis, document or patient identifiers in analytics/outreach",https://uoou.gov.cz/profesional/qa-otazky-a-odpovedi/zdravotnictvi,P0,privacy/legal reviewer,pending,,,,,,,
