"url","page_type","primary_keyword","secondary_keywords","original_title","optimized_title","original_meta_description","optimized_meta_description","original_h1","optimized_h1","optimized_visible_description","description_optimized","bio_optimized","faqs_optimized","deslop_completed","clinical_review_required","implementation_status","reason_for_anything_left_unchanged","technical_seo_verification","cta_and_internal_link_review","fact_comparison"
"https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad","doctor-profile","MUDr. Ahmed Maklad","Ahmed Maklad praktický lékař|Ahmed Maklad ČLK","MUDr. Ahmed Maklad — Praktický lékař | ČLK 1176686198 | Global Health Česká republika · Czechia","MUDr. Ahmed Maklad | Praktický lékař online v Česku","Rezervujte si video konzultaci s MUDr. Ahmedem Makladem — praktickým lékařem registrovaným u ČLK (č. 1176686198). MUDr. Masarykova univerzita Brno · Chirurgická specializační příprava FN Brno · ACLS · Čeština, angličtina a arabština. Konzultace tento den.","Profil MUDr. Ahmeda Maklada, praktického lékaře registrovaného u ČLK č. 1176686198. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Ahmed Maklad","MUDr. Ahmed Maklad","","no","no","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Bio and qualifications remain byte-for-byte unchanged because no new authoritative facts were supplied; replace only the generic same-day FAQ answer with live-calendar wording. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Person, credential and FAQ schema present","Keep service links and dynamic booking buttons; unavailable services must continue to show no-booking state.","Name, role, ČLK number, qualifications and languages retained; timing claim removed."
"https://www.myglobalhealth.online/czechia/cs/doctors/khoiamul-islam","doctor-profile","MUDr. Khoiamul Islam","Khoiamul Islam praktický lékař|Khoiamul Islam ČLK","Dr Khoiamul Islam - Praktický lékař | Global Health · Czechia","MUDr. Khoiamul Islam | Praktický lékař online v Česku","Dr Khoiamul Islam je vícejazyčný praktický lékař nabízející komplexní online konzultace v Irsku a Portugalsku prostřednictvím Global Health.","Profil MUDr. Khoiamula Islama, praktického lékaře registrovaného u ČLK č. 1178781199. Ověřte jazyky a aktuální dostupnost online konzultací.","MUDr. Khoiamul Islam","MUDr. Khoiamul Islam","","no","no","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Bio remains unchanged pending source audit; the incorrect Ireland/Portugal market sentence in metadata is removed and the same-day FAQ becomes live-calendar wording. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Person, credential and FAQ schema present","Keep service links and dynamic booking buttons; do not claim markets outside this Czech profile.","Czech roster, H1 and public ČLK 1178781199 retained; incorrect market metadata removed."
"https://www.myglobalhealth.online/czechia/cs/doctors/mudr-romana-pavlu","doctor-profile","MUDr. Romana Pavlů","Romana Pavlů praktická lékařka|Romana Pavlů ČLK","MUDr. Romana Pavlů — Praktická lékařka | ČLK 5163514190 | Global Health Česká republika","MUDr. Romana Pavlů | Praktická lékařka online v Česku","Rezervujte si video konzultaci s MUDr. Romanou Pavlů — praktickou lékařkou registrovanou u ČLK (č. 5163514190). Absolventka FN Ostrava · NHS Royal Free Hospital, Hillingdon, Royal Devon & Exeter · ALS a EPALS · Praha. Konzultace tento den.","Profil MUDr. Romany Pavlů, praktické lékařky registrované u ČLK č. 5163514190. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Romana Pavlů","MUDr. Romana Pavlů","","no","no","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Bio and qualifications remain unchanged; current CTA is unavailable, so timing metadata and the generic same-day FAQ must be removed. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Person, credential and FAQ schema present","Preserve disabled booking state and service-detail links; never pair unavailable CTA with same-day copy.","Name, role, ČLK number, qualifications and languages retained; timing claim removed."
"https://www.myglobalhealth.online/czechia/cs/doctors/mudr-vojtech-cerny","doctor-profile","MUDr. Vojtěch Černý","Vojtěch Černý praktický lékař|Vojtěch Černý ČLK","MUDr. Vojtěch Černý — Praktický lékař | ČLK 1172330197 | Global Health Česká republika","MUDr. Vojtěch Černý | Praktický lékař online v Česku","Rezervujte si video konzultaci s MUDr. Vojtěchem Černým — praktickým lékařem registrovaným u ČLK (č. 1172330197). MUDr. UK Praha · Ph.D. kandidát · MBA · urgentní medicína · FN Motol, Na Bulovce, Plzeň. Konzultace tento den.","Profil MUDr. Vojtěcha Černého, praktického lékaře registrovaného u ČLK č. 1172330197. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Vojtěch Černý","MUDr. Vojtěch Černý","","no","no","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Bio and qualifications remain unchanged; current CTA is unavailable, so timing metadata and the generic same-day FAQ must be removed. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Person, credential and FAQ schema present","Preserve disabled booking state and existing service links; use live-calendar availability only.","Name, role, ČLK number, qualifications and languages retained; timing claim removed."
"https://www.myglobalhealth.online/czechia/cs/doctors/mudr-yasmin-holz","doctor-profile","MUDr. Yasmin Holz","Yasmin Holz praktická lékařka|Yasmin Holz ČLK","MUDr. Yasmin Holz — Praktická lékařka | ČLK 5178823192 | Global Health Česká republika","MUDr. Yasmin Holz | Praktická lékařka online v Česku","Rezervujte si video konzultaci s MUDr. Yasmin Holz — praktickou lékařkou registrovanou u ČLK (č. 5178823192). MUDr. Masarykova univerzita Brno · Chirurgická specializační příprava FN Brno · Čeština, angličtina, arabština a hebrejština. Konzultace tento den.","Profil MUDr. Yasmin Holz, praktické lékařky registrované u ČLK č. 5178823192. Ověřte jazyky, kvalifikaci a aktuální dostupnost konzultací.","MUDr. Yasmin Holz","MUDr. Yasmin Holz","","no","no","no","yes","yes","source_pinned_guarded_draft_pending_clinical_review","Bio and qualifications remain unchanged; current CTA is unavailable, so timing metadata and the generic same-day FAQ must be removed. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Person, credential and FAQ schema present","Preserve disabled booking state and existing service links; use live-calendar availability only.","Name, role, ČLK number, qualifications and languages retained; timing claim removed."
"https://www.myglobalhealth.online/czechia/cs/faq","standalone","časté otázky Global Health","online konzultace otázky|rezervace a platby","Časté otázky — Česko · Global Health","Časté otázky | Global Health Česko","Česko — Rezervace, platby, konzultace, ochrana soukromí a situace, kdy online péče není tou správnou cestou. Nenašli jste odpověď? Napište nám.","Odpovědi na časté otázky o rezervaci, platbě, videokonzultaci, soukromí a situacích, kdy online péče není vhodná.","Odpovědi, bez marketingového žargonu.","Časté otázky k online péči","","no","not applicable","no","yes","no","live_verified_2026-09-01","Existing FAQ answers remain unchanged because no verified support or policy change was supplied.","200; self-canonical; index/follow; self-hreflang; FAQ schema and tab UI share the same group source","Keep contextual links to booking, contact, privacy and emergency guidance; no commercial anchor stuffing.","No policy or medical fact changed."
"https://www.myglobalhealth.online/czechia/cs/gp-consultation-online","gp-hub","praktický lékař online","online konzultace s lékařem|praktik online|promluvte si s lékařem","Online praktický lékař | Registrováno u ČLK | Global Health Česká republika","Praktický lékař online | Video konzultace v Česku","Konzultujte s praktickým lékařem registrovaným u ČLK z pohodlí domova. eNeschopenka, elektronický recept, doporučení ke specialistovi. Od 650 Kč. Termín ve stejný den.","Objednejte se na online konzultaci s praktickým lékařem. Jasný postup, cena, možnosti i situace, kdy je nutné osobní nebo akutní vyšetření.","Online konzultace s praktickým lékařem v Česku","Praktický lékař online","Online konzultace s praktickým lékařem pro posouzení běžných zdravotních potíží. Dokumenty a recepty závisí na klinickém posouzení a termíny na živé dostupnosti.","no","not applicable","no","yes","yes","measurement_hold_until_2026-09-08","All proposed fields are held with the 24/7 explainer until the registered 2026-09-08 ownership measurement; no early rewrite is marked complete.","200; self-canonical; index/follow; self-hreflang; Service and FAQ schema present","Receive commercial anchors from home and explainer; CTA must remain bound to live price and availability.","No live copy changed during hold; draft removes automatic document and timing implications."
"https://www.myglobalhealth.online/czechia/cs/legal","legal-hub","právní informace Global Health","právní dokumenty|regulační údaje","Právní informace. · Czechia · Global Health","Právní informace | Global Health Česko","Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Právní dokumenty, údaje o provozovateli a regulační informace pro služby Global Health v Česku. Vyberte příslušný dokument.","Právní informace.","Právní informace","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Legal document bodies remain unchanged; SEO evidence cannot authorize legal edits.","200; self-canonical; index/follow; self-hreflang; breadcrumb schema present","Keep descriptive links to each legal document; no booking CTA added.","Only locale wording in metadata changed; legal facts retained."
"https://www.myglobalhealth.online/czechia/cs/legal/complaints-procedure","legal-detail","postup při stížnostech Global Health","stížnost Global Health|vyřízení stížnosti","Postup při stížnostech · Czechia · Global Health","Postup při stížnostech | Global Health Česko","Postup při stížnostech. Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Postup pro podání a vyřízení stížnosti týkající se služeb Global Health v Česku, včetně kontaktních a regulačních údajů.","Postup při stížnostech","Postup při stížnostech","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Legal procedure body remains unchanged pending legal-owner review.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep legal-hub, contact and regulator links; no commercial CTA.","No procedure or legal fact changed."
"https://www.myglobalhealth.online/czechia/cs/legal/medical-disclaimer","legal-detail","zdravotní prohlášení Global Health","omezení online péče|akutní péče","Zdravotní prohlášení · Czechia · Global Health","Zdravotní prohlášení | Global Health Česko","Zdravotní prohlášení. Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Zdravotní prohlášení k online péči Global Health v Česku, včetně omezení služby a pokynů pro naléhavé zdravotní situace.","Zdravotní prohlášení","Zdravotní prohlášení","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Disclaimer body remains unchanged pending legal and clinical-owner review.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep legal-hub and emergency guidance links; no booking CTA.","No medical or legal fact changed."
"https://www.myglobalhealth.online/czechia/cs/legal/privacy-policy","legal-detail","zásady ochrany osobních údajů Global Health","ochrana soukromí|zpracování osobních údajů","Zásady ochrany osobních údajů · Czechia · Global Health","Ochrana osobních údajů | Global Health Česko","Zásady ochrany osobních údajů. Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Zásady zpracování osobních a zdravotních údajů ve službách Global Health v Česku, včetně kontaktů a práv uživatelů.","Zásady ochrany osobních údajů","Zásady ochrany osobních údajů","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Privacy-policy body remains unchanged pending privacy and legal-owner review.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep legal-hub and privacy-contact links; no commercial CTA.","No privacy obligation or legal fact changed."
"https://www.myglobalhealth.online/czechia/cs/legal/refund-policy","legal-detail","zásady vracení peněz Global Health","vrácení peněz|refundace Global Health","Zásady vracení peněz · Czechia · Global Health","Vrácení peněz | Global Health Česko","Zásady vracení peněz. Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Podmínky vrácení peněz za služby Global Health v Česku, včetně postupu, kontaktních údajů a případných omezení.","Zásady vracení peněz","Zásady vracení peněz","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Refund-policy body remains unchanged pending legal-owner review.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep terms, complaints and contact links; no booking CTA.","No refund rule or legal fact changed."
"https://www.myglobalhealth.online/czechia/cs/legal/terms-of-service","legal-detail","obchodní podmínky Global Health","podmínky služby|uživatelské podmínky","Obchodní podmínky · Czechia · Global Health","Obchodní podmínky | Global Health Česko","Obchodní podmínky. Právní dokumenty, registrace společnosti a regulační údaje pro Global Health v Czechia.","Obchodní podmínky používání služeb Global Health v Česku, včetně práv, povinností, plateb a omezení online péče.","Obchodní podmínky","Obchodní podmínky","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Terms body remains unchanged pending legal-owner review.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep privacy, refund, complaints and contact links; no commercial CTA.","No contractual or legal fact changed."
"https://www.myglobalhealth.online/czechia/cs/press","standalone","Global Health Česko pro média","kontakt pro média|informace pro novináře","Pro média — Global Health Česko","Pro média | Global Health Česko","Informace pro média o Global Health v Česko: kdo službu provozuje, jak je regulována, na jakých trzích působíme a jak kontaktovat naše tiskové oddělení.","Informace pro média o Global Health v Česku: provozovatel, regulace, působnost a kontakt na tiskové oddělení pro ověření údajů.","Pro média","Pro média","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Press body remains unchanged because corporate facts require communications-owner verification.","200; self-canonical; index/follow; self-hreflang; organization schema present","Keep media-contact, about and legal links; no patient booking CTA.","Only Czech grammar and metadata length changed."
"https://www.myglobalhealth.online/czechia/cs/pricing","standalone","měsíční plán Global Health","cena členství|online péče předplatné","Vyberte si svůj měsíční plán · Česko · Global Health","Měsíční plány online péče | Global Health Česko","Měsíční online péče praktického lékaře s kredity na konzultace, slevami u specialistů a odměnami za wellness, s cenami pro zemi Česko.","Porovnejte měsíční plány online péče v Česku, kredity na konzultace a další výhody. Aktuální ceny a podmínky jsou uvedeny u každého plánu.","Péče, která se obnovuje s vámi","Měsíční plány online péče","","no","not applicable","not applicable","yes","no","live_verified_2026-09-01","Plan cards, prices and terms remain generated from live product data; no static price claim was added.","200; self-canonical; index/follow; self-hreflang; breadcrumb schema present","Plan CTA remains bound to live plan data; link to terms and refund policy with descriptive anchors.","No price, credit or plan fact changed."
"https://www.myglobalhealth.online/czechia/cs/services/bolesti-pohyboveho-aparatu","service","bolest zad online konzultace","bolest kloubů online|pohybové potíže lékař","Pohybové a bolestivé potíže online | Záda, klouby, ischias | Lékař na videu","Bolesti zad a kloubů | Online konzultace","Posouzení bolesti zad, kloubů, ischiasu nebo svalového zranění. Lékař registrovaný v ČLK posoudí váš pohybový aparát přes bezpečný videohovor. Termín ve stejný den.","Online konzultace bolesti zad, kloubů, svalů nebo pohybových obtíží. Lékař posoudí, zda je vhodný postup na dálku, nebo osobní vyšetření.","Pohybové a bolestivé potíže — lékařská konzultace online","Bolesti zad a kloubů: online konzultace","Online konzultace bolesti zad, kloubů, svalů nebo pohybových obtíží. Lékař posoudí, zda je bezpečný postup na dálku, nebo je nutné osobní vyšetření.","yes","not applicable","no","yes","yes","live_verified_2026-09-01","Full body and FAQ replacement still requires a Czech physician; remove same-day referrals, imaging and document promises before apply. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; Service, MedicalWebPage and FAQ schema present","Keep dynamic booking CTA; link contextually to GP and urgent guidance, not guaranteed imaging or referral outcomes.","Clinical scope retained; unsupported same-day outcome claims narrowed."
"https://www.myglobalhealth.online/czechia/cs/services/cestovni-medicina-praha","service","cestovní medicína","antimalarika konzultace|lékař před cestou","Cestovní medicína online | Předpis na malárii a příprava na cestu","Cestovní medicína online | Konzultace před cestou","Zdravotní příprava na cesty do oblastí s malárií. Antimalarika jsou léky na předpis — v očkovacím centru je nedostanete. Lékař registrovaný v ČLK posoudí rizika a vystaví eRecept. Termín ještě dnes.","Online konzultace před cestou zaměřená na zdravotní rizika, prevenci a vhodnost antimalarik. Předpis závisí na cíli cesty a klinickém posouzení.","Cestovní medicína — předpis na malárii a příprava na cestu online","Cestovní medicína online: příprava před cestou","Online konzultace před cestou zaměřená na zdravotní rizika, prevenci a vhodnost antimalarik. Předpis závisí na cíli cesty, anamnéze a klinickém posouzení.","no","not applicable","no","yes","yes","measurement_hold_travel_recrawl","All proposed fields and FAQ corrections remain held for the registered travel-medicine recrawl check; no early content change is marked complete.","200; self-canonical; index/follow; self-hreflang; Service, MedicalWebPage and FAQ schema present","Preserve live booking state; remove blanket same-day and guaranteed eRecept language after the measurement gate.","No live fact changed during hold; draft narrows unverified timing and prescription claims."
"https://www.myglobalhealth.online/czechia/cs/services/chronicka-onemocneni","service","chronická onemocnění online","kontrola hypertenze online|kontrola diabetu online","Chronická onemocnění online | Hypertenze, diabetes, štítná žláza | Lékař na videu","Chronická onemocnění | Online kontrola léčby","Správa dlouhodobých onemocnění s průběžnou péčí. Lékař registrovaný v ČLK nabízí strukturovanou správu chronických stavů přes videohovor. Bez čekárny, termín ihned.","Online kontrola stabilního chronického onemocnění jako doplněk pravidelné péče. Lékař posoudí průběh, léčbu a potřebu dalšího vyšetření.","Chronická onemocnění — průběžná lékařská péče online","Chronická onemocnění: online kontrola léčby","Online kontrola stabilního chronického onemocnění jako doplněk pravidelné péče. Lékař posoudí průběh, léčbu a potřebu dalšího vyšetření.","yes","not applicable","no","yes","yes","live_verified_2026-09-01","Body and FAQs need physician review; do not promise immediate access, automatic eRecept or replacement of the registered GP. Exact source-level FAQ old/new copy is not yet drafted; FAQs remain pending clinical review.","200; self-canonical; index/follow; self-hreflang; MedicalWebPage and FAQ schema present","Live page currently does not accept online bookings; preserve that state and link to GP only as a suitable alternative.","Chronic-care scope retained; immediacy and automatic-prescription implications removed."
