"keyword","cluster_id","exclusion_reason","source","collected_at"
"ebook receita da atração","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"ecac receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"empadao receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"especial receita fotos","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"exemplo de receita médica","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"exemplo de uma receita médica","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"flor de lotus percy jackson receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"fontes de receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"genero receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"gov.br receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"imprensa receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro caixa receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro de receita da ana maria braga","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro de receita gratis pelo correio","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro de receita royal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro receita da atração","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"livro receita para o amor","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"masha e o urso receita para o desastre","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"medicamento para queda de cabelo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"medicamento queda de cabelo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"medicamentos para queda de cabelo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"mounjaro sem receita ate quando","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"notícias sobre receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o que é receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o que é receita mensal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o que receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o que significa 1/2 na receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o que significa receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o'que é receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"o'que é receita de vendas","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"olivia rodrigo american girl: a receita para o sucesso","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"ottoduo e preciso receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"ozempic portugal preço com receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"ozempic sem receita em portugal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"passaporte receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"poção do amor harry potter receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"portal receita federal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"prensa francesa receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"prescrição médica veterinária","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"prestigio receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"queda de cabelo tratamento medicamentoso","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita 2020","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita 2021","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita 2022","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita 2023","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita anual","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita bucho","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita butterbeer harry potter","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita da atração livro","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita da felicidade livro","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita da felicidade poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita da tiana princesa e o sapo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de amor em pedaços","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de amor poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de amor uma pitada de carinho","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de felicidade poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de gengibre cristalizada em português de portugal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de livro minecraft","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita de sentimentos","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita do amor poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita em forma de poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita estadual mg","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita fazenda gov","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita fazenda gov br","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal cac","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal cnpj","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal consulta cpf","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal imposto de renda","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal passaporte","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita federal regularizar cpf","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita fiscal portugal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita folar","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita frases","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita médica modelo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita medica tradução","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita mensal recorrente","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita para amar sinopse","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita para gostar de ler","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita para ser feliz poema","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita para ser um bom amigo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita perca","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita poetica de felicidade","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita poetica para ser feliz","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita pública","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita recorrente","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita recorrente mensal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita significado","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita sinônimo","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita total","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita tradutor","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita venvanse","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receita zero zero","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"receitas perder peso","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"renovação de interiores receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"sem receita para o amor","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"significado de receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"tamoxifeno comprar sem receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"terricil e preciso receita","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"tradução receita médica","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
"validade receita óculos portugal","prescription-renewal","non-medical, unsupported, or non-Portugal receita intent","openseo_seed","2026-08-31"
