coupling_id,file,line,expression,match_token,context_kind,enclosing_symbol,route_or_template,markets_named,language_ambiguity,is_test
CC-0023,backend/scripts/applied/patch-brazil-doctors-content.ts,220,// can't leak onto Spain's.,Spain,other,NEW_FAQ_ES,backend/scripts/applied/patch-brazil-doctors-content.ts (script),es,no,no
CC-0024,backend/scripts/applied/patch-country-footer-socials.ts,20,"// (""Global Health Ireland"", ""… Czechia"", ""… Portugal"", ""… Romania"", ""… España"").",Ireland,other,SHARED,backend/scripts/applied/patch-country-footer-socials.ts (script),ie|cz|pt|ro,no,no
CC-0025,backend/scripts/applied/patch-country-footer-socials.ts,20,"// (""Global Health Ireland"", ""… Czechia"", ""… Portugal"", ""… Romania"", ""… España"").",Czechia,other,SHARED,backend/scripts/applied/patch-country-footer-socials.ts (script),ie|cz|pt|ro,no,no
CC-0026,backend/scripts/applied/patch-country-footer-socials.ts,20,"// (""Global Health Ireland"", ""… Czechia"", ""… Portugal"", ""… Romania"", ""… España"").",Portugal,other,SHARED,backend/scripts/applied/patch-country-footer-socials.ts (script),ie|cz|pt|ro,no,no
CC-0027,backend/scripts/applied/patch-country-footer-socials.ts,20,"// (""Global Health Ireland"", ""… Czechia"", ""… Portugal"", ""… Romania"", ""… España"").",Romania,other,SHARED,backend/scripts/applied/patch-country-footer-socials.ts (script),ie|cz|pt|ro,no,no
CC-0028,backend/scripts/applied/patch-czechia-gp-content.ts,2,"* Patch Czechia GP-consultation page content (SEO title/description, hero",Czechia,other,,backend/scripts/applied/patch-czechia-gp-content.ts (script),cz,no,no
CC-0029,backend/scripts/applied/patch-czechia-gp-content.ts,101,"// heroSubtitle: only set/overwrite if null or currently mentions ""Czechia"".",Czechia,other,data,backend/scripts/applied/patch-czechia-gp-content.ts (script),cz,no,no
CC-0030,backend/scripts/applied/patch-czechia-gp-content.ts,102,"if (t.heroSubtitle == null || t.heroSubtitle.includes(""Czechia"")) {",Czechia,condition,data,backend/scripts/applied/patch-czechia-gp-content.ts (script),cz,no,no
CC-0031,backend/scripts/applied/patch-czechia-gp-content.ts,108,"note(`heroSubtitle left as-is (not null/""Czechia""): ${t.heroSubtitle}`);",Czechia,other,data,backend/scripts/applied/patch-czechia-gp-content.ts (script),cz,no,no
CC-0032,backend/scripts/applied/patch-czechia-gp-content.ts,192,? `APPLIED: ${log.length} change(s) written for Czechia GP page.`,Czechia,other,price,backend/scripts/applied/patch-czechia-gp-content.ts (script),cz,no,no
CC-0033,backend/scripts/applied/patch-ie-non-physician-practitioners.ts,21,"* SAFE BY DESIGN: only the two slugs below, only within Ireland, only the one",Ireland,other,,backend/scripts/applied/patch-ie-non-physician-practitioners.ts (script),ie,no,no
CC-0034,backend/scripts/applied/patch-ireland-doctors-content.ts,2,* Patch Ireland /ireland/en/doctors (DOCTORS_INDEX) page content + doctor,Ireland,other,,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0035,backend/scripts/applied/patch-ireland-doctors-content.ts,32,"const SEO_TITLE = ""Online Doctors Ireland | IMC-Registered GPs & Specialists"";",Ireland,other,SEO_TITLE,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0036,backend/scripts/applied/patch-ireland-doctors-content.ts,34,"""Browse IMC-registered doctors and clinicians in Ireland — GPs, specialists, psychologist and nutritional therapist. View registration numbers, specialties and languages. Book same day."";",Ireland,other,SEO_DESCRIPTION,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0037,backend/scripts/applied/patch-ireland-doctors-content.ts,35,"const WHYCHOOSE_TITLE = ""Why patients choose Global Health for online care in Ireland"";",Ireland,other,WHYCHOOSE_TITLE,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0038,backend/scripts/applied/patch-ireland-doctors-content.ts,52,"""Online medical consultations and therapy with IMC-registered doctors and clinicians in Ireland. Valid prescriptions, sick certs, specialist referrals and nutritional programmes."";",Ireland,other,FOOTER_TAGLINE,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0039,backend/scripts/applied/patch-ireland-doctors-content.ts,202,// 4) Verified badge sweep — Ireland DoctorCountry rows.,Ireland,other,check,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0040,backend/scripts/applied/patch-ireland-doctors-content.ts,230,? `APPLIED: ${log.length} change(s) written for Ireland doctors page.`,Ireland,other,hasReg,backend/scripts/applied/patch-ireland-doctors-content.ts (script),ie,no,no
CC-0041,backend/scripts/applied/patch-ireland-doctors-datasheet.ts,2,* Patch all Ireland doctor profiles from the July 2026 Doctor Profile Data,Ireland,other,,backend/scripts/applied/patch-ireland-doctors-datasheet.ts (script),ie,no,no
CC-0042,backend/scripts/applied/patch-ireland-doctors-datasheet.ts,36,"import { IRELAND_DOCTORS, type DoctorSheet } from ""../data/ireland-doctors-datasheet.js"";",../data/ireland-doctors-datasheet.js,import_path,,backend/scripts/applied/patch-ireland-doctors-datasheet.ts (script),ie,no,no
CC-0043,backend/scripts/applied/patch-ireland-doctors-datasheet.ts,93,// Ireland copy goes ONLY to the IE market translation row.,Ireland,other,ieEn,backend/scripts/applied/patch-ireland-doctors-datasheet.ts (script),ie,no,no
CC-0044,backend/scripts/applied/patch-roney-carli-profile.ts,2,* APPLIED 2026-08-19 — 9 writes; all six Ireland locales expanded. Re-running is a no-op.,Ireland,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0045,backend/scripts/applied/patch-roney-carli-profile.ts,7,"* in-person therapy sessions at Global Health Ireland clinic."") in all six",Ireland,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0046,backend/scripts/applied/patch-roney-carli-profile.ts,8,"* Ireland locales, which is below the 120-char floor in",Ireland,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0047,backend/scripts/applied/patch-roney-carli-profile.ts,15,"* `DoctorMarketTranslation` rows for the Ireland market — EN, PT, ES, CS, RO,",Ireland,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0048,backend/scripts/applied/patch-roney-carli-profile.ts,16,"* DE — so the Spanish, Czech, German, Portuguese and Romanian URLs carry the",Czech,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ro,no,no
CC-0049,backend/scripts/applied/patch-roney-carli-profile.ts,18,* That matches how every other Ireland doctor is stored.,Ireland,other,,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0050,backend/scripts/applied/patch-roney-carli-profile.ts,44,"""Degree in Chiropractic — Brazil"",",Brazil,other,QUALIFICATIONS,backend/scripts/applied/patch-roney-carli-profile.ts (script),br,no,no
CC-0051,backend/scripts/applied/patch-roney-carli-profile.ts,58,"""He completed his degree in Chiropractic in Brazil and has continued to expand his clinical knowledge through further training in Kinesiology, Neuromuscular Therapy, Manual Therapy, and other compleme",Brazil,other,EN_BIO,backend/scripts/applied/patch-roney-carli-profile.ts (script),br,no,no
CC-0052,backend/scripts/applied/patch-roney-carli-profile.ts,59,"""Having lived in Ireland for almost five years, Roney has built his professional journey around working with people from different backgrounds, cultures, and lifestyles. This experience has strengthen",Ireland,other,EN_BIO,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0053,backend/scripts/applied/patch-roney-carli-profile.ts,151,// ── base Doctor row (English — Ireland's default locale) ──,Ireland,other,doctor,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0054,backend/scripts/applied/patch-roney-carli-profile.ts,173,// ── per-locale Ireland market translations ──,Ireland,other,base,backend/scripts/applied/patch-roney-carli-profile.ts (script),ie,no,no
CC-0055,backend/scripts/applied/patch-roney-carli-seo.ts,45,"""Roney Carli, Chiropractor and Manual Therapist at Global Health Ireland. Chiropractic, manual, soft-tissue and neuromuscular therapy, individualised to each patient."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0056,backend/scripts/applied/patch-roney-carli-seo.ts,50,"""Roney Carli, quiroprático e terapeuta manual na Global Health Ireland. Quiropraxia, terapia manual, tecidos moles e terapia neuromuscular, adaptadas a cada paciente."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0057,backend/scripts/applied/patch-roney-carli-seo.ts,55,"""Roney Carli, quiropráctico y terapeuta manual en Global Health Ireland. Quiropráctica, terapia manual, tejidos blandos y terapia neuromuscular, adaptadas a cada paciente."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0058,backend/scripts/applied/patch-roney-carli-seo.ts,60,"""Roney Carli, chiropraktik a manuální terapeut v Global Health Ireland. Chiropraxe, manuální terapie, techniky měkkých tkání a neuromuskulární terapie na míru každému pacientovi."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0059,backend/scripts/applied/patch-roney-carli-seo.ts,65,"""Roney Carli, chiropractician și terapeut manual la Global Health Ireland. Chiropractică, terapie manuală, tehnici pentru țesuturi moi și terapie neuromusculară, adaptate fiecărui pacient."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0060,backend/scripts/applied/patch-roney-carli-seo.ts,70,"""Roney Carli, Chiropraktiker und Manualtherapeut bei Global Health Ireland. Chiropraktik, Manualtherapie, Weichteiltechniken und neuromuskuläre Therapie, individuell abgestimmt."",",Ireland,other,SEO,backend/scripts/applied/patch-roney-carli-seo.ts (script),ie,no,no
CC-0061,backend/scripts/applied/patch-spain-doctors-content.ts,2,* Patch Spain /spain/es/doctors (DOCTORS_INDEX) page content per the July,Spain,other,,backend/scripts/applied/patch-spain-doctors-content.ts (script),es,no,no
CC-0062,backend/scripts/applied/patch-spain-doctors-content.ts,149,? `APPLIED: ${log.length} change(s) written for Spain doctors page.`,Spain,other,data,backend/scripts/applied/patch-spain-doctors-content.ts (script),es,no,no
CC-0063,backend/scripts/applied/patch-spain-doctors-datasheet.ts,2,* Patch all Spain doctor profiles from the July 2026,Spain,other,,backend/scripts/applied/patch-spain-doctors-datasheet.ts (script),es,no,no
CC-0064,backend/scripts/applied/patch-spain-doctors-datasheet.ts,34,"import { SPAIN_DOCTORS, type DoctorSheet } from ""../data/spain-doctors-datasheet.js"";",../data/spain-doctors-datasheet.js,import_path,,backend/scripts/applied/patch-spain-doctors-datasheet.ts (script),es,no,no
CC-0065,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts,5,* Fill the four Spain services that ship an EMPTY body (`<p><br /></p>`) and,Spain,other,,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts (script),es,no,no
CC-0066,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts,16,"* its ES ServiceTranslation row. Spain's default locale is ES, so both are",Spain,other,,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts (script),es,no,no
CC-0067,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts,570,? `APPLIED: ${log.length} change line(s) written for Spain services.`,Spain,other,stillEmpty,backend/scripts/applied/patch-spain-vascular-aesthetic-services.ts (script),es,no,no
CC-0068,backend/scripts/applied/patch-tiago-profile-content.ts,2,* Patch Dr Tiago Miguel Figueira's Ireland doctor profile per the July 2026,Ireland,other,,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0069,backend/scripts/applied/patch-tiago-profile-content.ts,21,"*   - Bio Option A/B Portugal sentence (2.3) — content decision, brief says keep.",Portugal,other,,backend/scripts/applied/patch-tiago-profile-content.ts (script),pt,no,no
CC-0070,backend/scripts/applied/patch-tiago-profile-content.ts,22,"*   - Footer clinics Brazil / ""Czech Republic"" (18) — market go-live decision.",Brazil,other,,backend/scripts/applied/patch-tiago-profile-content.ts (script),br,no,no
CC-0071,backend/scripts/applied/patch-tiago-profile-content.ts,22,"*   - Footer clinics Brazil / ""Czech Republic"" (18) — market go-live decision.",Czech,other,,backend/scripts/applied/patch-tiago-profile-content.ts (script),br,no,no
CC-0072,backend/scripts/applied/patch-tiago-profile-content.ts,33,"const SEO_TITLE = ""Dr Tiago Miguel Figueira — GP | IMC 523449 | Global Health Ireland"";",Ireland,other,SEO_TITLE,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0073,backend/scripts/applied/patch-tiago-profile-content.ts,35,"""Book a video consultation with Dr Tiago Miguel Figueira — IMC-registered GP in Ireland (IMC 523449). MUDr. Masaryk University. Same-day appointments. English, Portuguese, Spanish, Czech and French."";",Ireland,other,SEO_DESCRIPTION,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0074,backend/scripts/applied/patch-tiago-profile-content.ts,35,"""Book a video consultation with Dr Tiago Miguel Figueira — IMC-registered GP in Ireland (IMC 523449). MUDr. Masaryk University. Same-day appointments. English, Portuguese, Spanish, Czech and French."";",Czech,other,SEO_DESCRIPTION,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0075,backend/scripts/applied/patch-tiago-profile-content.ts,42,"""Yes. Dr Tiago Miguel Figueira holds active registration with the Irish Medical Council — IMC number 523449 on the General Division. You can verify this registration at medicalcouncil.ie. Dr Figueira ",Portugal,other,FAQS,backend/scripts/applied/patch-tiago-profile-content.ts (script),pt,no,no
CC-0076,backend/scripts/applied/patch-tiago-profile-content.ts,52,"""Dr Figueira offers consultations in English, Portuguese, Spanish, Czech and French. He is one of the few GPs in Ireland offering multilingual online consultations across all five languages."",",Czech,other,FAQS,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0077,backend/scripts/applied/patch-tiago-profile-content.ts,52,"""Dr Figueira offers consultations in English, Portuguese, Spanish, Czech and French. He is one of the few GPs in Ireland offering multilingual online consultations across all five languages."",",Ireland,other,FAQS,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0078,backend/scripts/applied/patch-tiago-profile-content.ts,67,"""Dr Tiago Miguel Figueira holds a Doctor of Medicine (MUDr.) from Masaryk University, Faculty of Medicine in Brno, Czech Republic — one of Europe's most internationally recognised medical schools. He ",Czech,other,FAQS,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0079,backend/scripts/applied/patch-tiago-profile-content.ts,67,"""Dr Tiago Miguel Figueira holds a Doctor of Medicine (MUDr.) from Masaryk University, Faculty of Medicine in Brno, Czech Republic — one of Europe's most internationally recognised medical schools. He ",Ireland,other,FAQS,backend/scripts/applied/patch-tiago-profile-content.ts (script),ie,no,no
CC-0080,backend/scripts/applied/seed-ireland-labtests-brief.ts,3,* Ireland Lab Tests page — SEO/content brief remediation (July 2026).,Ireland,other,,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0081,backend/scripts/applied/seed-ireland-labtests-brief.ts,11,"* Ireland"" (slug acute-medical-consultation), live price €45 — copy now",Ireland,other,,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0082,backend/scripts/applied/seed-ireland-labtests-brief.ts,40,"const HERO_TITLE = ""Home Blood Tests Ireland — Randox Lab Kits"";",Ireland,other,HERO_TITLE,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0083,backend/scripts/applied/seed-ireland-labtests-brief.ts,43,"const SEO_TITLE = ""Home Blood Tests Ireland — Randox Lab Kits | Global Health"";",Ireland,other,SEO_TITLE,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0084,backend/scripts/applied/seed-ireland-labtests-brief.ts,45,"""Order Randox home blood test kits in Dublin or anywhere in Ireland from €57. Turnaround varies by test, from 2–3 working days to 4–6 weeks."";",Ireland,other,SEO_DESCRIPTION,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0085,backend/scripts/applied/seed-ireland-labtests-brief.ts,48,"""Global Health offers Randox home blood test kits in Ireland from €57. Order your kit, collect your sample following the instructions, and post it to the Randox laboratory in the included freepost env",Ireland,other,INTRO,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0086,backend/scripts/applied/seed-ireland-labtests-brief.ts,81,"question: ""How long do home blood test results take in Ireland?"",",Ireland,other,FAQ,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0087,backend/scripts/applied/seed-ireland-labtests-brief.ts,88,"""Your sample is analysed by Randox, a UKAS-accredited laboratory trusted across the UK and Ireland. Your results are delivered to you directly by Randox."",",Ireland,other,FAQ,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0088,backend/scripts/applied/seed-ireland-labtests-brief.ts,113,"""Home blood test kits offered through Global Health in Ireland are provided and analysed by Randox, a UKAS-accredited laboratory. Your results are delivered to you directly by Randox."",",Ireland,other,DISCLAIMER_PARAGRAPHS,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0089,backend/scripts/applied/seed-ireland-labtests-brief.ts,120,"""Home blood test kits in Ireland are provided and analysed by Randox, a UKAS-accredited laboratory, and results are delivered to you directly. A test result does not itself constitute a diagnosis, and",Ireland,other,DISCLAIMER_SHORT,backend/scripts/applied/seed-ireland-labtests-brief.ts (script),ie,no,no
CC-0090,backend/scripts/applied/seed-ireland-labtests-locales.ts,2,* Ireland Lab Tests page — non-EN locale translation pass (July 2026).,Ireland,other,,backend/scripts/applied/seed-ireland-labtests-locales.ts (script),ie,no,no
CC-0091,backend/scripts/applied/seed-legal-documents.ts,50,"const ALL_LOCALES = [""en"", ""pt"", ""es"", ""cs"", ""ro"", ""de""] as const;","[""en"", ""pt"", ""es"", ""cs"", ""ro"", ""de""]",array_literal,ALL_LOCALES,backend/scripts/applied/seed-legal-documents.ts (script),pt|es|ro,no,no
CC-0092,backend/scripts/applied/seed-legal-documents.ts,124,"const COUNTRIES = [""ie"", ""cz"", ""pt"", ""es"", ""ro"", ""br""] as const;","[""ie"", ""cz"", ""pt"", ""es"", ""ro"", ""br""]",array_literal,COUNTRIES,backend/scripts/applied/seed-legal-documents.ts (script),ie|cz|pt|es|ro|br,no,no
CC-0093,backend/scripts/applied/seed-trust-authorities.ts,2,* One-off seed: country medical-authority trust signals for Ireland + Portugal.,Ireland,other,,backend/scripts/applied/seed-trust-authorities.ts (script),ie|pt,no,no
CC-0094,backend/scripts/applied/seed-trust-authorities.ts,2,* One-off seed: country medical-authority trust signals for Ireland + Portugal.,Portugal,other,,backend/scripts/applied/seed-trust-authorities.ts (script),ie|pt,no,no
CC-0095,backend/scripts/applied/seed-trust-authorities.ts,13,"* (Ireland + Portugal, June 2026). Doctors are matched by a distinctive",Ireland,other,,backend/scripts/applied/seed-trust-authorities.ts (script),ie|pt,no,no
CC-0096,backend/scripts/applied/seed-trust-authorities.ts,13,"* (Ireland + Portugal, June 2026). Doctors are matched by a distinctive",Portugal,other,,backend/scripts/applied/seed-trust-authorities.ts (script),ie|pt,no,no
CC-0097,backend/scripts/applied/seed-trust-authorities.ts,110,"{ name: ""Irish Medical Council"", abbreviation: ""IMC"", url: ""https://www.medicalcouncil.ie"", category: AuthorityCategory.MEDICAL_REGULATOR, description: ""Statutory regulator for all doctors practising ",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0098,backend/scripts/applied/seed-trust-authorities.ts,111,"{ name: ""Data Protection Commission"", abbreviation: ""DPC"", url: ""https://www.dataprotection.ie"", category: AuthorityCategory.DATA_PROTECTION, description: ""Ireland's GDPR supervisory authority."", show",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0099,backend/scripts/applied/seed-trust-authorities.ts,112,"{ name: ""Health Service Executive"", abbreviation: ""HSE"", url: ""https://www.hse.ie"", category: AuthorityCategory.HEALTH_AUTHORITY, description: ""Ireland's national public health authority."", showInFoot",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0100,backend/scripts/applied/seed-trust-authorities.ts,114,"{ name: ""Health Products Regulatory Authority"", abbreviation: ""HPRA"", url: ""https://www.hpra.ie"", category: AuthorityCategory.MEDICINES, description: ""Ireland's medicines and medical-devices regulator",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0101,backend/scripts/applied/seed-trust-authorities.ts,115,"{ name: ""Royal College of Physicians of Ireland"", abbreviation: ""RCPI"", url: ""https://www.rcpi.ie"", category: AuthorityCategory.PROFESSIONAL_BODY },",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0102,backend/scripts/applied/seed-trust-authorities.ts,117,"{ name: ""College of Psychiatrists of Ireland"", url: ""https://www.irishpsychiatry.ie"", category: AuthorityCategory.PROFESSIONAL_BODY },",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0103,backend/scripts/applied/seed-trust-authorities.ts,118,"{ name: ""Neurological Alliance of Ireland"", abbreviation: ""NAI"", url: ""https://www.nai.ie"", category: AuthorityCategory.PROFESSIONAL_BODY },",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0104,backend/scripts/applied/seed-trust-authorities.ts,122,"{ name: ""Samaritans Ireland"", url: ""https://www.samaritans.org/ireland"", category: AuthorityCategory.MENTAL_HEALTH, description: ""Freephone 116 123, any time."" },",Ireland,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),ie,no,no
CC-0105,backend/scripts/applied/seed-trust-authorities.ts,126,"{ name: ""Entidade Reguladora da Saúde"", abbreviation: ""ERS"", url: ""https://www.ers.pt"", category: AuthorityCategory.HEALTH_AUTHORITY, description: ""Regulador independente dos prestadores de saúde em P",Portugal,other,AUTHORITY_LINKS,backend/scripts/applied/seed-trust-authorities.ts (script),pt,no,no
