"url","locale","type","evidence","ownership","editorial_label","disposition"
"https://www.myglobalhealth.online/brazil/en/legal/refund-policy","en","legal","","navigation/support","Refund Policy","hold"
"https://www.myglobalhealth.online/brazil/en/legal/terms-of-service","en","legal","","navigation/support","Terms and Conditions","hold"
"https://www.myglobalhealth.online/brazil/en/press","en","press","global help (1 impressions)","navigation/support","Press & media","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/pricing","en","pricing","","navigation/support","Care that renews with you","verify further"
"https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online","en","service","ganho atestado (1 impressions)","commercial","Online Medical Certificate — Valid for Work and School, Same Day","change"
"https://www.myglobalhealth.online/brazil/en/services/consulta-clinica-online","en","service","","commercial","Online Medical Consultation — General Practitioner by Video Call, Same Day","change"
"https://www.myglobalhealth.online/brazil/en/services/consulta-pele-online","en","service","","commercial","Online Skin Consultation — Evaluation with a General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/controle-peso-online","en","service","","commercial","Online Weight Management — Medical Evaluation by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/doencas-cronicas-online","en","service","","commercial","Chronic Diseases Online — Medical Follow-up by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/musculoesqueletico-online","en","service","","commercial","Online Muscle and Joint Pain — Assessment with a General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/parar-de-fumar-online","en","service","","commercial","Quit Smoking Online — Medical Evaluation and Personalized Plan via Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/pediatria-online","en","service","","commercial","Online Pediatrics — Pediatric Consultation by Video Call, Same Day","change"
"https://www.myglobalhealth.online/brazil/en/services/queda-cabelo-online","en","service","","commercial","Online Hair Loss — Medical Evaluation by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/renovacao-receita-online","en","service","","commercial","Online Prescription Renewal — Continuous Medication Without Leaving Home","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-da-mulher-online","en","service","","commercial","Women's Health Online — Consultation with General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-do-homem-online","en","service","","commercial","Men’s Health Online — Consultation with General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-idoso-online","en","service","","commercial","Senior Health Online — Consultation with a General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-mental-online","en","service","","commercial","Online Mental Health — Assessment with General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-sexual-ist-online","en","service","","commercial","Sexual Health and STIs Online — Assessment with General Practitioner by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/saude-viagem-online","en","service","","commercial","Online Travel Health — Medical Guidance Before Traveling","change"
"https://www.myglobalhealth.online/brazil/en/services/segunda-opiniao-medica","en","service","","commercial","Online Second Medical Opinion — Independent Evaluation by Video Call","change"
"https://www.myglobalhealth.online/brazil/en/services/solicitacao-exames-online","en","service","","commercial","Online Test Request — by Video Call, Same Day","change"
"https://www.myglobalhealth.online/brazil/en/tools/adhd-test","en","tool","","informational","ADHD test Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/blood-pressure-chart","en","tool","bp rate in brazil (4 impressions)","informational","Blood pressure chart Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/bmi-calculator","en","tool","","informational","BMI calculator Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/calorie-calculator","en","tool","","informational","Calorie calculator Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/due-date-calculator","en","tool","due pregnant (2 impressions) | calcular data do parto pela lua online (1 impressions) | due pregnancy (1 impressions)","informational","Due date calculator Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/osteoporosis-risk-checker","en","tool","","informational","Osteoporosis risk checker Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/ovulation-calculator","en","tool","","informational","Ovulation calculator Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/en/tools/sore-throat-checker","en","tool","","informational","Tonsillitis and strep throat checker Brazil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es","es","home","certificado médico online (2 impressions) | site:www.myglobalhealth.online (2 impressions) | medicina online brasil (1 impressions)","navigation/support","Atención médica online en Brasil","verify further"
"https://www.myglobalhealth.online/brazil/es/about","es","about","consulta online brasil (2 impressions) | global health (2 impressions) | help global brazil (2 impressions)","navigation/support","Sobre Global Health Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/blog","es","blog","","navigation/support","Guías de salud de médicos colegiados.","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/blog/certificado-medico-online-brasil","es","article","atestado medico brasil (3 impressions) | atestado virtual (1 impressions) | certificado médico mi licencia digital (1 impressions)","informational","Certificado médico online en Brasil: cuándo vale y qué debe contener","hold"
"https://www.myglobalhealth.online/brazil/es/blog/diabetes-la-enfermedad-silenciosa-3","es","article","","informational","Diabetes: la enfermedad silenciosa","hold"
"https://www.myglobalhealth.online/brazil/es/blog/el-certificado-de-asistencia-justifica-la-falta-la-diferencia-con-el-certificado","es","article","certificado de asistencia (1 impressions) | decreto 27.048/1949 art. 12 atestado médico falta justificada (1 impressions)","informational","¿El certificado de asistencia justifica la falta? La diferencia con el certificado médico y qué garantiza la CLT","hold"
"https://www.myglobalhealth.online/brazil/es/blog/medical-review-policy","es","article","","informational","Cómo redactamos y revisamos el contenido médico","hold"
"https://www.myglobalhealth.online/brazil/es/blog/solicitud-analisis-laboratorio-brasil","es","article","","informational","Solicitud de análisis de laboratorio en Brasil: cómo funciona el volante médico","hold"
"https://www.myglobalhealth.online/brazil/es/book","es","book","","navigation/support","","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/careers","es","careers","","navigation/support","Empleo en Global Health","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/contact","es","contact","","navigation/support","Contacto con Global Health Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/doctors","es","doctors","","navigation/support","Médicos que realmente responden.","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/doctors/dr-renato-sarmento","es","doctor","","navigation/support","Dr. Renato Sarmento","change"
"https://www.myglobalhealth.online/brazil/es/dr-renato","es","dr-renato","","navigation/support","Consulta en línea con tu médico de familia","verify further"
"https://www.myglobalhealth.online/brazil/es/faq","es","faq","","navigation/support","Respuestas, sin lenguaje de marketing.","verify further"
"https://www.myglobalhealth.online/brazil/es/gp-consultation-online","es","gp-consultation-online","","navigation/support","Consulta Médica Online en Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/legal","es","legal","","navigation/support","Información legal.","hold"
"https://www.myglobalhealth.online/brazil/es/legal/complaints-procedure","es","legal","","navigation/support","Procedimiento de Reclamaciones","hold"
"https://www.myglobalhealth.online/brazil/es/legal/cookie-policy","es","legal","","navigation/support","Cookie Policy","hold"
"https://www.myglobalhealth.online/brazil/es/legal/medical-disclaimer","es","legal","","navigation/support","Aviso Médico","hold"
"https://www.myglobalhealth.online/brazil/es/legal/privacy-policy","es","legal","","navigation/support","Política de Privacidad","hold"
"https://www.myglobalhealth.online/brazil/es/legal/refund-policy","es","legal","","navigation/support","Política de Reembolso","hold"
"https://www.myglobalhealth.online/brazil/es/legal/terms-of-service","es","legal","","navigation/support","Términos y Condiciones","hold"
"https://www.myglobalhealth.online/brazil/es/press","es","press","","navigation/support","Prensa y medios","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/pricing","es","pricing","","navigation/support","Atención que se renueva con usted","verify further"
"https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online","es","service","","commercial","Certificado Médico Online — Válido para Trabajo y Escuela, el Mismo Día","change"
"https://www.myglobalhealth.online/brazil/es/services/consulta-clinica-online","es","service","","commercial","Consulta Médica Online — Clínico General por Videollamada, Mismo Día","change"
"https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online","es","service","","commercial","Consulta de Piel Online — Evaluación con Médico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/controle-peso-online","es","service","","commercial","Control de Peso en Línea — Evaluación Médica por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/doencas-cronicas-online","es","service","","commercial","Enfermedades Crónicas en Línea — Seguimiento Médico por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/musculoesqueletico-online","es","service","","commercial","Dolor Muscular y Articular en Línea — Evaluación con Clínico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/parar-de-fumar-online","es","service","","commercial","Dejar de fumar en línea — Evaluación médica y plan personalizado por videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/pediatria-online","es","service","médico online para bebê (2 impressions) | pediatra online gratis (2 impressions) | consulta online pediatra (1 impressions)","commercial","Pediatría Online — Consulta Pediátrica por Videollamada, Mismo Día","change"
"https://www.myglobalhealth.online/brazil/es/services/queda-cabelo-online","es","service","","commercial","Caída de Cabello Online — Evaluación Médica por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/renovacao-receita-online","es","service","","commercial","Renovación de receta online — medicación continua sin salir de casa","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-da-mulher-online","es","service","","commercial","Salud de la Mujer Online — Consulta con Médico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-do-homem-online","es","service","","commercial","Salud del Hombre en Línea — Consulta con Médico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-idoso-online","es","service","","commercial","Salud del Adulto Mayor en línea — Consulta con Médico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-mental-online","es","service","","commercial","Salud Mental en Línea — Evaluación con Clínico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-sexual-ist-online","es","service","","commercial","Salud Sexual e ITS en Línea — Evaluación con Médico General por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/saude-viagem-online","es","service","","commercial","Salud de Viaje Online — Orientación Médica Antes de Viajar","change"
"https://www.myglobalhealth.online/brazil/es/services/segunda-opiniao-medica","es","service","","commercial","Segunda Opinión Médica Online — Evaluación Independiente por Videollamada","change"
"https://www.myglobalhealth.online/brazil/es/services/solicitacao-exames-online","es","service","","commercial","Solicitud de Exámenes en Línea — Pedido de Exámenes por Videollamada, Mismo Día","change"
"https://www.myglobalhealth.online/brazil/es/tools/adhd-test","es","tool","test de tdah para adultos online (3 impressions) | teste tdah online (3 impressions) | diagnóstico tdah online (1 impressions)","informational","Test de TDAH Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/blood-pressure-chart","es","tool","","informational","Tensión arterial normal Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/bmi-calculator","es","tool","calculadora imc brasil (1 impressions) | imc calculadora brasil (1 impressions)","informational","Calculadora IMC Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/calorie-calculator","es","tool","","informational","Calculadora de calorías Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/due-date-calculator","es","tool","","informational","Calculadora de embarazo Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/osteoporosis-risk-checker","es","tool","","informational","Riesgo de osteoporosis Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/ovulation-calculator","es","tool","","informational","Calculadora de ovulación Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/es/tools/sore-throat-checker","es","tool","","informational","Test de amigdalitis y dolor de garganta Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt","pt","home","minha clinica help global (22 impressions) | minha clinica.help global brazil (20 impressions) | eu moro no brasil. como lilly.com me ajuda a encontrar o profissional de saúde certo para minha condição médica específica? (3 impressions)","navigation/support","Cuidados médicos online no Brasil","verify further"
"https://www.myglobalhealth.online/brazil/pt/about","pt","about","clinic.globalhealth (3 impressions) | clinic global health (2 impressions) | medicina online brasil (2 impressions)","navigation/support","Sobre a Global Health Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/blog","pt","blog","","navigation/support","Guias de saúde de médicos registados.","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/blog/atestado-de-comparecimento-abona-falta-diferenca-atestado-medico","pt","article","","informational","Atestado de comparecimento abona falta? A diferença para o atestado médico e o que a CLT garante","hold"
"https://www.myglobalhealth.online/brazil/pt/blog/atestado-medico-online-validade","pt","article","","informational","Atestado médico online: quando vale, o que precisa conter e como a empresa confere","hold"
"https://www.myglobalhealth.online/brazil/pt/blog/diabetes-doenca-silenciosa","pt","article","","informational","Diabetes a Doença Silenciosa","hold"
"https://www.myglobalhealth.online/brazil/pt/blog/medical-review-policy","pt","article","","informational","Como escrevemos e revemos conteúdos médicos","hold"
"https://www.myglobalhealth.online/brazil/pt/blog/solicitacao-de-exames-laboratoriais-online","pt","article","solicitação de exames laboratoriais (8 impressions) | o que é requisição médica (6 impressions) | pedido de exames laboratoriais (6 impressions)","informational","Solicitação de exames laboratoriais: como funciona o pedido médico","hold"
"https://www.myglobalhealth.online/brazil/pt/book","pt","book","","navigation/support","","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/careers","pt","careers","help global brazil trabalhe conosco (1 impressions)","navigation/support","Carreiras na Global Health","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/contact","pt","contact","eu moro no brasil. que informações posso encontrar em lilly.com sobre como me conectar com profissionais de saúde? (4 impressions)","navigation/support","Contato — Global Health Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/doctors","pt","doctors","","navigation/support","Médicos que realmente atendem.","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/doctors/dr-renato-sarmento","pt","doctor","","navigation/support","Dr. Renato Sarmento","change"
"https://www.myglobalhealth.online/brazil/pt/dr-renato","pt","dr-renato","","navigation/support","Consulta online com seu médico de família","verify further"
"https://www.myglobalhealth.online/brazil/pt/faq","pt","faq","clinic global health (26 impressions) | global health agendamento (7 impressions) | eu moro no brasil. que informações posso encontrar em lilly.com sobre como me conectar com profissionais de saúde? (1 impressions)","navigation/support","Respostas, sem linguagem de marketing.","verify further"
"https://www.myglobalhealth.online/brazil/pt/gp-consultation-online","pt","gp-consultation-online","plataforma para consultas médicas (1 impressions)","navigation/support","Consulta Médica Online no Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/legal","pt","legal","","navigation/support","Informação legal.","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/complaints-procedure","pt","legal","","navigation/support","Procedimento de Reclamações","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/cookie-policy","pt","legal","","navigation/support","Cookie Policy","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/medical-disclaimer","pt","legal","","navigation/support","Aviso Médico","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/privacy-policy","pt","legal","","navigation/support","Política de Privacidade","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/refund-policy","pt","legal","","navigation/support","Política de Reembolso","hold"
"https://www.myglobalhealth.online/brazil/pt/legal/terms-of-service","pt","legal","","navigation/support","Termos e Condições","hold"
"https://www.myglobalhealth.online/brazil/pt/press","pt","press","","navigation/support","Imprensa e media","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/pricing","pt","pricing","","navigation/support","Cuidados que se renovam consigo","verify further"
"https://www.myglobalhealth.online/brazil/pt/services/atestado-medico-online","pt","service","","commercial","Atestado Médico Online — Válido para Trabalho e Escola, Mesmo Dia","change"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-clinica-online","pt","service","consulta médico clínico geral online (2 impressions)","commercial","Consulta Médica Online — Clínico Geral por Videochamada, Mesmo Dia","change"
"https://www.myglobalhealth.online/brazil/pt/services/consulta-pele-online","pt","service","","commercial","Consulta de Pele Online — Avaliação com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/controle-peso-online","pt","service","consulta online para obesidade (20 impressions) | médico para emagrecimento online (3 impressions) | consulta para emagrecer online (2 impressions)","commercial","Controle de Peso Online — Avaliação Médica por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/doencas-cronicas-online","pt","service","","commercial","Doenças Crônicas Online — Acompanhamento Médico por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/musculoesqueletico-online","pt","service","","commercial","Dor Muscular e Articular Online — Avaliação com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/parar-de-fumar-online","pt","service","","commercial","Parar de Fumar Online — Avaliação Médica e Plano Personalizado por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/pediatria-online","pt","service","","commercial","Pediatria Online — Consulta Pediátrica por Videochamada, Mesmo Dia","change"
"https://www.myglobalhealth.online/brazil/pt/services/queda-cabelo-online","pt","service","","commercial","Queda de Cabelo Online — Avaliação Médica por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/renovacao-receita-online","pt","service","","commercial","Renovação de Receita Online — Medicação Contínua sem Sair de Casa","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-da-mulher-online","pt","service","","commercial","Saúde da Mulher Online — Consulta com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-do-homem-online","pt","service","consulta online saúde masculina (20 impressions)","commercial","Saúde do Homem Online — Consulta com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-idoso-online","pt","service","","commercial","Saúde do Idoso Online — Consulta com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-mental-online","pt","service","","commercial","Saúde Mental Online — Avaliação com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-sexual-ist-online","pt","service","","commercial","Saúde Sexual e IST Online — Avaliação com Clínico Geral por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/saude-viagem-online","pt","service","","commercial","Saúde de Viagem Online — Orientação Médica Antes de Viajar","change"
"https://www.myglobalhealth.online/brazil/pt/services/segunda-opiniao-medica","pt","service","","commercial","Segunda Opinião Médica Online — Avaliação Independente por Videochamada","change"
"https://www.myglobalhealth.online/brazil/pt/services/solicitacao-exames-online","pt","service","","commercial","Solicitação de Exames Online — Pedido de Exames por Videochamada, Mesmo Dia","change"
"https://www.myglobalhealth.online/brazil/pt/tools/adhd-test","pt","tool","","informational","Teste de TDAH Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/blood-pressure-chart","pt","tool","tabela de pressão arterial (13 impressions) | tabela pressão arterial (11 impressions) | pressao normal tabela (9 impressions)","informational","Pressão arterial normal Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/bmi-calculator","pt","tool","gestгo de saъdebrl7200%-33%mйdio53 2,65 9,48 880720720880720720590480880590720590 (2 impressions)","informational","Calculadora IMC Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/calorie-calculator","pt","tool","calorias por dia (1 impressions)","informational","Calculadora de calorias Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/due-date-calculator","pt","tool","calculadora gestacional (12 impressions) | calculadora de gravidez (8 impressions) | calculadora idade gestacional (8 impressions)","informational","Calculadora gestacional Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/osteoporosis-risk-checker","pt","tool","","informational","Risco de osteoporose Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/ovulation-calculator","pt","tool","","informational","Período fértil Brasil","retain with evidence"
"https://www.myglobalhealth.online/brazil/pt/tools/sore-throat-checker","pt","tool","","informational","Garganta inflamada e amigdalite Brasil","retain with evidence"
