"url","locale","page_type","discovery","status","disposition","reason","keyword_evidence","current_clicks","current_impressions","existing_title","proposed_title","existing_description","proposed_description","existing_h1","proposed_h1","native_faqs","embedded_faq_sections","schema_faqs","source_fingerprint","review_status","implementation_status","canonical","robots"
"https://www.myglobalhealth.online/brazil/en/contact","en","contact","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","help global brazil login (9 impressions) | clinic global health (3 impressions) | help global brazil (2 impressions)","0","84","Contact Global Health Brazil | Online Doctor · Global Health","Contact Global Health Brazil | Online Doctor · Global Health","Contact Global Health Brazil: info@myglobalhealth.online. Online video consultations with registered doctors, in Portuguese and English.","Contact Global Health Brazil: info@myglobalhealth.online. Online video consultations with registered doctors, in Portuguese and English.","Contact Global Health Brazil","Contact Global Health Brazil","4","not separately parsed","4","a62307b3b36e06f3061d3ae51b40da7422b8dad1d8087bb95fdc3f9170b6a31d","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/contact","index, follow"
"https://www.myglobalhealth.online/brazil/en/doctors","en","doctors","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","doctor visit crm pharma (3 impressions)","1","24","CRM-Registered Doctors | Online Consultations in Brazil","CRM-Registered Doctors | Online Consultations in Brazil","See CRM/CFM-registered doctors available online in Brazil. Family medicine, Palliative Care and telemedicine. Book same-day.","See CRM/CFM-registered doctors available online in Brazil. Family medicine, Palliative Care and telemedicine. Book same-day.","Doctors who actually pick up.","Doctors who actually pick up.","8","not separately parsed","8","2a7fba8dc004c2a4b7aa251d173a26e6867ee50ec428165e9243b06a406e51bb","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/doctors","index, follow"
"https://www.myglobalhealth.online/brazil/en/doctors/dr-renato-sarmento","en","doctor","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","0","Dr. Renato Sarmento — Family and Community Medicine","Dr. Renato Sarmento — Family and Community Medicine","Dr. Renato Sarmento — Family and Community Medicine in Brazil. Book an online video consultation with Global Health.","Book a video consultation with Dr. Renato Sarmento in Portuguese, English or Spanish. Check available appointments before booking.","Dr. Renato Sarmento","Dr. Renato Sarmento","6","0","6","b8827b043102c52fcee67cba93ef8d778f9e82f9848baefe510a719c7ae16cb1","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/doctors/dr-renato-sarmento","index, follow"
"https://www.myglobalhealth.online/brazil/en/dr-renato","en","dr-renato","internal link","200","verify further","Dedicated clinician landing page requires separate storage ownership and content review","","0","0","Online consultation with a family doctor","Online consultation with a family doctor","A private video consultation with a Brazil-registered family doctor, for Brazilian patients anywhere in the world.","A private video consultation with a Brazil-registered family doctor, for Brazilian patients anywhere in the world.","Online consultation with your family doctor","Online consultation with your family doctor","6","not separately parsed","0","0cf130331ce9ce1723721f1f4da76058673eeb39160678cff605990287c5cfa6","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/dr-renato","noindex, nofollow"
"https://www.myglobalhealth.online/brazil/en/faq","en","faq","sitemap","200","verify further","Existing authored FAQ integration; document signing/Atesta operational fact unresolved","help global brazil (1 impressions)","0","17","Frequently asked questions — Brazil · Global Health","Frequently asked questions — Brazil · Global Health","Brazil — Booking, payment, consultations, privacy, and when online care is not the right route. Can't find what you need? Drop us a line.","Brazil — Booking, payment, consultations, privacy, and when online care is not the right route. Can't find what you need? Drop us a line.","Questions, answered without the marketing speak.","Questions, answered without the marketing speak.","code-owned country groups","0","18","5eca72642d73bedb8e3a98acc3f623dd37d57380d75170d2bcb8dc37af8c7510","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/faq","index, follow"
"https://www.myglobalhealth.online/brazil/en/gp-consultation-online","en","gp-consultation-online","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","","0","8","Online GP Consultation in Brasil | Global Health","Online GP Consultation in Brasil | Global Health","Online GP consultations with doctors registered with Conselho Federal de Medicina (CFM) / CRM.","Online GP consultations with doctors registered with Conselho Federal de Medicina (CFM) / CRM.","Online GP Consultation in Brasil","Online GP Consultation in Brasil","5","not separately parsed","5","d62ea38ad4eb0f4d5bfd3afd90f8a5d6da209080d94498eb98dfc049c5b9a3bb","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/gp-consultation-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","3","Legal information. · Brazil · Global Health","Legal information. · Brazil · Global Health","Legal documents, company registration and regulatory details for Global Health in Brazil.","Legal documents, company registration and regulatory details for Global Health in Brazil.","Legal information.","Legal information.","0","not separately parsed","0","41fa41ceff8d32b91de1ccf54e6992cd012955232c62f88992da16f1102e6944","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal/complaints-procedure","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","16","Complaints Procedure · Brazil · Global Health","Complaints Procedure · Brazil · Global Health","Complaints Procedure. Legal documents, company registration and regulatory details for Global Health in Brazil.","Complaints Procedure. Legal documents, company registration and regulatory details for Global Health in Brazil.","Complaints Procedure","Complaints Procedure","0","not separately parsed","0","ca8dedf325d19a9aa99051ba008da55f4482f2d3e2407a2d5210227bc7258c91","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/complaints-procedure","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal/cookie-policy","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","0","Cookie Policy · Brazil · Global Health","Cookie Policy · Brazil · Global Health","Cookie Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Cookie Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Cookie Policy","Cookie Policy","0","not separately parsed","0","084bd8c37000a3e13d10225e5a451fcec55557e7d2f2dd5997060fdb5ff74328","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/cookie-policy","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal/medical-disclaimer","en","legal","internal link","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","0","Aviso Médico · Brazil · Global Health","Aviso Médico · Brazil · Global Health","Aviso Médico. Legal documents, company registration and regulatory details for Global Health in Brazil.","Aviso Médico. Legal documents, company registration and regulatory details for Global Health in Brazil.","Aviso Médico","Aviso Médico","0","not separately parsed","0","6c1aedfd0218e0318deb2f73f562af25b8be41e8c16c931773a42ecaa9750414","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/medical-disclaimer","noindex, follow"
"https://www.myglobalhealth.online/brazil/en/legal/privacy-policy","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","22","Privacy Policy · Brazil · Global Health","Privacy Policy · Brazil · Global Health","Privacy Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Privacy Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Privacy Policy","Privacy Policy","0","not separately parsed","0","27210c8ca99898921fd574fe3ee5bfaeddeb16788d98ddf1430357b95e9bee2a","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/privacy-policy","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal/refund-policy","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","5","Refund Policy · Brazil · Global Health","Refund Policy · Brazil · Global Health","Refund Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Refund Policy. Legal documents, company registration and regulatory details for Global Health in Brazil.","Refund Policy","Refund Policy","0","not separately parsed","0","ba541fe92742fb7ac69fdbd7a41088e7beb6308b360e61fc15b2cf57042dcea6","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/refund-policy","index, follow"
"https://www.myglobalhealth.online/brazil/en/legal/terms-of-service","en","legal","sitemap","200","hold","Existing publication retained; genuine clinical/native review or Brazilian legal approval needed for body changes","","0","0","Terms and Conditions · Brazil · Global Health","Terms and Conditions · Brazil · Global Health","Terms and Conditions. Legal documents, company registration and regulatory details for Global Health in Brazil.","Terms and Conditions. Legal documents, company registration and regulatory details for Global Health in Brazil.","Terms and Conditions","Terms and Conditions","0","not separately parsed","0","fc3a4a3b79ff119cbfae421b8406ee75cf67f850c1d6e5b2d1f3de7e9ad00a96","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/legal/terms-of-service","index, follow"
"https://www.myglobalhealth.online/brazil/en/press","en","press","sitemap","200","retain with evidence","Observed live HTTP/canonical/metadata; no justified rewrite in focused commercial batch; body not newly verified","global help (1 impressions)","0","15","Press & Media — Global Health Brazil","Press & Media — Global Health Brazil","Press information about Global Health in Brazil: who operates the service, how it is regulated, the markets we serve and how to reach our press contact.","Press information about Global Health in Brazil: who operates the service, how it is regulated, the markets we serve and how to reach our press contact.","Press & media","Press & media","0","not separately parsed","0","8068a951d1113bc2901704470aba882e1af751ae7ac4e7e9180937d1b4660cff","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/press","index, follow"
"https://www.myglobalhealth.online/brazil/en/pricing","en","pricing","sitemap","200","verify further","Plan offer and individual consultation pricing must be reconciled with business scope","","0","0","Choose your monthly plan · Brazil · Global Health","Choose your monthly plan · Brazil · Global Health","Monthly online GP care with consultation credits, specialist savings and wellness rewards, priced for Brazil.","Monthly online GP care with consultation credits, specialist savings and wellness rewards, priced for Brazil.","Care that renews with you","Care that renews with you","0","not separately parsed","0","74ccd3de8f0d8fad893ce636baa6a2ccfc69f2600d5f63006f8f28e464a864dd","not newly clinically verified","unchanged","https://www.myglobalhealth.online/brazil/en/pricing","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","ganho atestado (1 impressions)","2","32","Online Medical Certificate Brazil | Valid for Work and School | Same Day","Medical certificate assessment | Global Health Brazil","Medical certificate with legal validity issued by a general practitioner via teleconsultation. Accepted at work and at school according to CLT art. 473. Doctors with active CRM. Same day, from anywhere in Brazil.","Book a medical assessment by video. A medical certificate depends on the assessment; booking does not guarantee a document or its acceptance.","Online Medical Certificate — Valid for Work and School, Same Day","Medical certificate: video assessment","8","0","8","2553d6f8ceb3bca2d1e9e73a45f87bc6737c0812d330a8398013a262b5895f0f","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/consulta-clinica-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","0","Online Medical Consultation Brazil | General Practitioner | Same Day","Online Medical Consultation Brazil | General Practitioner","Consultation with a general practitioner by video call, valid medical certificate and test request. No waiting line. Doctors with active CRM, available throughout Brazil. Same-day scheduling.","Discuss symptoms and general health with a doctor by video. Check appointment times and the price before booking.","Online Medical Consultation — General Practitioner by Video Call, Same Day","Online Medical Consultation — General Practitioner by Video Call","9","0","9","9b4258e7009fa2a0ee6bc17cd627283caed4160bf9ceeecdc0ae4e77f5d61cae","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/consulta-clinica-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/consulta-pele-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","19","Online Skin Consultation Brazil | General Practitioner | Same Day","Online Skin Consultation Brazil | General Practitioner","Skin consultation with a general practitioner by video call. Acne, eczema, spots, infections, and much more. Doctors with active CRM. Same day, from anywhere in Brazil.","Skin Consultation: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Online Skin Consultation — Evaluation with a General Practitioner by Video Call","Online Skin Consultation — Evaluation with a General Practitioner by Video Call","7","0","7","dfd946d656fed58f5da7a37a6dec4297c4860647e1b109e84c2f83b8d32f732f","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/consulta-pele-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/controle-peso-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","3","Online Weight Management Brazil | Medical Evaluation | Same Day","Online Weight Management Brazil | Medical Evaluation","Weight control consultation with a general practitioner by video call. Medical evaluation, test requests and personalized guidance. Doctors with active CRM. Same day, from anywhere in Brazil.","Weight Control: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Online Weight Management — Medical Evaluation by Video Call","Online Weight Management — Medical Evaluation by Video Call","8","0","8","73c80e3f3a58106403ece94e752651ee0fba02647e668a00e47619786677f6ac","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/controle-peso-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/doencas-cronicas-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","3","Chronic Diseases Online Brazil | Medical Follow-up | Same Day","Chronic Diseases Online Brazil | Medical Follow-up","Follow-up of chronic conditions with a general practitioner by video call. Hypertension, diabetes, hypothyroidism, and much more. Doctors with active CRM. Same day, from anywhere in Brazil.","Chronic Diseases: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Chronic Diseases Online — Medical Follow-up by Video Call","Chronic Diseases Online — Medical Follow-up by Video Call","9","0","9","69daf928ee72ff58fedcffcf295c5f6aa34226413bbce2c3131ffd2fc4fb362e","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/doencas-cronicas-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/musculoesqueletico-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","1","Muscle and Joint Pain Online Brazil | General Practitioner | Same Day","Muscle and Joint Pain Online Brazil | General Practitioner","Consultation for back pain, joint pain, muscle injuries and other musculoskeletal complaints by video call. Doctors with active CRM. Same day, from anywhere in Brazil.","Musculoskeletal: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Online Muscle and Joint Pain — Assessment with a General Practitioner by Video Call","Online Muscle and Joint Pain — Assessment with a General Practitioner by Video Call","8","0","8","b10af9e42722d592527f67162f32f6de8471a2ed8813cf1464972b88ebc6d125","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/musculoesqueletico-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/parar-de-fumar-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","9","Quit Smoking Online Brazil | Medical Support | Same Day","Quit Smoking Online Brazil | Medical Support","Consultation to quit smoking with a general practitioner by video call. Assessment of dependence, personalized plan, and guidance on treatment. Doctors with active CRM. Same day, from anywhere in Brazil.","Quit Smoking: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Quit Smoking Online — Medical Evaluation and Personalized Plan via Video Call","Quit Smoking Online — Medical Evaluation and Personalized Plan via Video Call","9","0","9","e5a04c2fbea80b76b5670758f0badf84c62c5ad0f940e01a8436dd9be99c7268","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/parar-de-fumar-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/pediatria-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","6","Online Pediatrics Brazil | Pediatric Consultation | Same Day","Child health: family doctor online | Brazil","Pediatric consultation with a general practitioner by video call. Fever, infections, questions about development and much more. Doctors with active CRM. Same day, from anywhere in Brazil.","Video care for children and adolescents with a family doctor. Check times and price. This is not a specialist pediatric appointment.","Online Pediatrics — Pediatric Consultation by Video Call, Same Day","Child and adolescent health with a family doctor","8","0","8","42ac53189617a253bc552b2008bfaac7d8135cb4414770c6ade36ff775b0c3f7","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/pediatria-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/queda-cabelo-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","6","Hair Loss Online Brazil | Medical Evaluation | Same Day","Hair Loss Online Brazil | Medical Evaluation","Hair loss consultation with a general practitioner by video call. Evaluation of causes, ordering tests and guidance on treatment. Physicians with active CRM. Same day, from anywhere in Brazil.","Hair Loss: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Online Hair Loss — Medical Evaluation by Video Call","Online Hair Loss — Medical Evaluation by Video Call","8","0","8","65015b46b0fb2b71733b151771f7351a33069aca6f51ab93c49511966179c152","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/queda-cabelo-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/renovacao-receita-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","3","Online Prescription Renewal Brazil | General Practitioner | Same Day","Online Prescription Renewal Brazil | General Practitioner","Renew your medical prescription by video call with a general practitioner. Electronic prescription valid at pharmacies throughout Brazil. No waiting line. Doctors with active CRM. Same-day scheduling.","Prescription Renewal: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Online Prescription Renewal — Continuous Medication Without Leaving Home","Online Prescription Renewal — Continuous Medication Without Leaving Home","8","0","8","95ba0bde725f604c92dc7b5796e9f8885bc90e4b9605ac654e80e29f768ae2c1","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/renovacao-receita-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/saude-da-mulher-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","0","Women's Health Online Brazil | General Practitioner | Same Day","Women's Health Online Brazil | General Practitioner","Women's health consultation by video call with a general practitioner. Hormonal health, contraception, reproductive health and much more. Doctors with active CRM. Same day, from anywhere in Brazil.","Women's Health: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Women's Health Online — Consultation with General Practitioner by Video Call","Women's Health Online — Consultation with General Practitioner by Video Call","8","0","8","48f81e01af8390772038c3b8baedc28aac45376adf279137833d711f9b48a088","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/saude-da-mulher-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/saude-do-homem-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","0","Men's Health Online Brazil | General Practitioner | Same Day","Men's Health Online Brazil | General Practitioner","Men’s health consultation by video call with a general practitioner. Sexual health, hair loss, check-up and much more. Doctors with active CRM. Same day, from anywhere in Brazil.","Men's Health: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Men’s Health Online — Consultation with General Practitioner by Video Call","Men’s Health Online — Consultation with General Practitioner by Video Call","8","0","8","6b353602054a88309d2a7a3d8b3076af87a55a347a8c1d097e9fa1f3fe1b397d","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/saude-do-homem-online","index, follow"
"https://www.myglobalhealth.online/brazil/en/services/saude-idoso-online","en","service","sitemap","200","change","Remove unsupported availability/document promises; exact packet requires clinical review","","0","1","Senior Health Online Brazil | General Practitioner | Same Day","Senior Health Online Brazil | General Practitioner","Elderly health consultation with a general practitioner by video call. Medication review, cognitive assessment, fall prevention and much more. Doctors with an active CRM. Same day, from anywhere in Brazil.","Elderly Health: video consultation with a family doctor. Check appointments, price and care limitations before booking.","Senior Health Online — Consultation with a General Practitioner by Video Call","Senior Health Online — Consultation with a General Practitioner by Video Call","9","0","9","4067be0ac1ff939a61a8fdedb9d2249fca8985d9b9f72c8b79ce4c061a19e287","required; no approval","prepared locally; not applied","https://www.myglobalhealth.online/brazil/en/services/saude-idoso-online","index, follow"
