"page_or_file","topic","risk_level","claims_requiring_review","source_status","reviewer_required","publish_status","notes","reviewer_name","reviewer_doctor_id","clinical_reviewer_professional_body","clinical_reviewer_specialty_id","reviewed_at","official_source_references","approved_sha256","compliance_reviewer_name","compliance_reviewer_id","compliance_reviewed_at","content_owner_name","content_owner_id","content_owner_reviewed_at","fact_register_sha256","credential_subject_doctor_id","delegated_by_doctor_id"
"seo/portugal/content-briefs/10-oncologia.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","oncology","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","bed65b176bac9403e955928db45c69db79814597ca574c3e97d54c3cff36fece","","","","","","","","",""
"seo/portugal/content-briefs/11-pediatria.md -> https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","pediatrics","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","0cfeaeedef4680f4135dccbf746f15ef800abcecd9299e4e07caa85d0ab70ff6","","","","","","","","",""
"seo/portugal/content-briefs/12-psicologia.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psicologia","psychology","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","8820fa0a0f92b47383d25a3aad4b51503e5610f4c9d9a7d712f7beb81c743ede","","","","","","","","",""
"seo/portugal/content-briefs/13-psiquiatria.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psiquiatria","psychiatry","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","9cdf8b68f202a5f697b39b64c4c4491c7e41960163ae1dc5541c96462ffdcf28","","","","","","","","",""
"seo/portugal/content-briefs/14-saude-mental.md -> https://www.myglobalhealth.online/portugal/pt/services/saude-mental","mental-health","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","359be3fee6a694c07b660a3b0fb9cf20bd6fbe9dec43b6f9d24ce4b3ab5a9cf5","","","","","","","","",""
"seo/portugal/content-briefs/15-perda-peso.md -> https://www.myglobalhealth.online/portugal/pt/services/perda-de-peso","weight-management","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","b86971a6b7a72a79ed1a73ed756e9dfba7b4d2f4d506c9b0ed66e10712011fc0","","","","","","","","",""
"seo/portugal/content-briefs/16-dermatologia.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-dermatologia","dermatology","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","be26a814b3166bbe3fbc2b644f7adc021a0735f18592f6ad8e10d42aeb898b34","","","","","","","","",""
"seo/portugal/content-briefs/17-queda-cabelo.md -> https://www.myglobalhealth.online/portugal/pt/services/consulta-queda-de-cabelo","hair-loss","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","efb457c0e25b4b3fad97af115e23b928dcef199619063d9969519d18bf7f161b","","","","","","","","",""
"seo/portugal/content-briefs/18-deixar-fumar.md -> https://www.myglobalhealth.online/portugal/pt/services/deixar-de-fumar","smoking-cessation","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","bb99bb5eabd9a6d99b7717c146974d4d97694f746491548fedcdd3657e71817b","","","","","","","","",""
"seo/portugal/content-briefs/19-gestao-dor.md -> https://www.myglobalhealth.online/portugal/pt/services/gestao-da-dor","pain-management","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","0a9dccff7612283bdef4aca1aa24f9dab35f23019de9eb4f26c9d1fa6c1cadd7","","","","","","","","",""
"seo/portugal/content-briefs/20-saude-mulher.md -> https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","womens-health","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","1a5ce2dfa51d9b4b61c5496dd423cf60a0ed1c6be47475f241b6d34b9f8ae5ea","","","","","","","","",""
"seo/portugal/content-briefs/21-saude-homem.md -> https://www.myglobalhealth.online/portugal/pt/services/saude-do-homem","mens-health","high","Symptoms, suitability, diagnosis/treatment boundaries, red flags, emergency limitations, and clinician scope.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","ddbfe75e0f70875ecded78aa7099e0eebc9868425fb189dee3bc4155ba14d0f3","","","","","","","","",""
"seo/portugal/content-briefs/22-segunda-opiniao.md -> https://www.myglobalhealth.online/portugal/pt/services/segunda-opiniao-medica","second-opinion","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; visible clinical copy, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.ers.pt/pt/prestadores/alertas-de-supervisao-comunicados-e-informacoes/selecionar/informacoes/informacoes/guia-pratico-prestacao-de-teleconsultas/ | https://ordemdosmedicos.pt/wp-content/uploads/2017/08/Regulamento_707_2016__Regulamento_Deontol%C3%B3gico.pdf","e0cbd3fafc76984c3beded70e5dec9c5561ae7b002c2ce0beb81a146e1ccbc2b","","","","","","","","",""
"seo/portugal/content-briefs/23-tensao-arterial.md -> https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","health-tools","medium","Service scope, suitability, limitations, clinician credentials, price/availability, and urgent-care guidance.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; tool guidance, FAQs, thresholds and algorithms remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://www.dgs.pt/normas-orientacoes-e-informacoes/normas-e-circulares-normativas/norma-n-0012026-de-04032026-abordagem-diagnostica-e-terapeutica-da-pessoa-com-hipertensao-arterial.aspx","2da927a9af8e1dfbc5eb7dd5365ac1c98c460c251ac3a48fc8a8869842f8ecc3","","","","","","","","",""
"backend/scripts/data/portugal-doctors-datasheet.ts -> https://www.myglobalhealth.online/portugal/pt/doctors/dr-martim-delgado","doctor-profile-martim-delgado","high","Biography, qualifications, registration, languages, service scope, locations and availability claims.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; biography, qualifications, registration, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://ordemdosmedicos.pt/files/pdfs/K6Rz-LisboaCidade_Cedula.pdf","d87659308313d8c4a1aff3d4d9d46e569b0e47fbe61d9a47e6e62b0660206fdf","","","","","","","650ccb8f47b4e772e15c535b7058556d0edf9ec4b2c1384770408deae72484d1","cmqwnkjun00047gjuferd4yje",""
"backend/scripts/data/portugal-doctors-datasheet.ts -> https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho","doctor-profile-telmo-coelho","high","Biography, qualifications, registration, languages, service scope, locations and availability claims.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; biography, qualifications, registration, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://ordemdosmedicos.pt/files/pdfs/f5dw-Porto_Cedula.pdf","c35ba5b2115e3ea46a400abb0405fb0851ebf700ca5da3df94782527f537ed9e","","","","","","","f967611dda2df1b702a79eda366b0b1275dfe885185dfceb19ffb8cd53adea14","cmqwnkn3l00097gjus4a3zyur",""
"backend/scripts/data/portugal-doctors-datasheet.ts -> https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira","doctor-profile-tiago-figueira","high","Biography, qualifications, registration, languages, service scope, locations and availability claims.","Official source recorded; audited production source matched by guarded dry run.","Portugal-registered clinician","approved","Clinical metadata approved by Dr Tiago Miguel Figueira at 2026-09-01T18:30:00+02:00; owner authorized implementation in Codex on 2026-09-02. Metadata-only scope; biography, qualifications, registration, FAQs, prices, booking, credentials and certifications remain unchanged.","Dr Tiago Miguel Figueira","cmp5r0if3002kssjug743x0p6","OM","","2026-09-01T18:30:00+02:00","https://ordemdosmedicos.pt/files/pdfs/327K-GrandeLisboa_Cedula.pdf","86c61cc6f07d96e72dae66cafb617952e081367f82c96aeacf22b3d26d04ec90","","","","","","","7c20a7db4ad2785503b3c993e6b74011d43e21a35496981c5814dcadb1440005","cmp5r0if3002kssjug743x0p6",""
