"cluster_id","parent_topic","keyword","normalised_keyword","country","language","keyword_source","source_competitor","seed_keyword","intent","funnel_stage","recommended_page_type","search_volume","keyword_difficulty","competition","cpc_eur","trend","serp_features","dronline_position","dronline_url","knok_position","knok_url","best_competitor","best_competitor_position","competitor_estimated_traffic","target_position","target_url","target_impressions","target_clicks","target_ctr","keyword_gap","business_fit","service_fit","clinical_risk","serp_fit","attainability","opportunity_score","recommended_action","proposed_target_url","priority","data_source","collected_at","notes"
"online-doctor","online doctor","clinica global","clinica global","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","market/service landing page","","","","","","","","","","","","","","5.142857142857143","https://www.myglobalhealth.online/portugal/pt","7","0","0","no","5","active-service","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
"online-doctor","online doctor","clinica health care","clinica health care","Portugal","en-PT","gsc_query|gsc_query_page","","","informational","awareness","market/service landing page","","","","","","","","","","","","","","4.875","https://www.myglobalhealth.online/portugal/pt","8","0","0","no","5","active-service","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P0","gsc_query|gsc_query_page","2026-08-31",""
"health-tools","health tools","tabela registo tensão arterial","tabela registo tensão arterial","Portugal","pt-PT","gsc_query|gsc_query_page","","","informational","awareness","tool","","","","","","","","","","","","","","7.3","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","10","1","0.1","no","5","existing-tool","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","P0","gsc_query|gsc_query_page","2026-08-31",""
"target-brand","target brand","global health company","global health company","Portugal","en-PT","gsc_query|gsc_query_page","","","informational","awareness","market landing page","","","","","","","","","","","","","","6.961538461538462","https://www.myglobalhealth.online/portugal/pt","26","0","0","no","5","market-hub","2","5","4","68","optimize_existing","https://www.myglobalhealth.online/portugal/pt","P0","gsc_query|gsc_query_page","2026-08-31","Brand query retained for competitor/defence analysis."
"sick-leave","sick leave","pedir baixa médica online","pedir baixa médica online","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt|mediconanet.pt","atestado médico online|baixa médica","transactional","conversion","service landing page","390","0","0.52","1.56","[{""year"":2026,""month"":7,""searchVolume"":390},{""year"":2026,""month"":6,""searchVolume"":260},{""year"":2026,""month"":5,""searchVolume"":210},{""year"":2026,""month"":4,""searchVolume"":260},{""year"":2026,""month"":3,""searchVolume"":260},{""year"":2026,""month"":2,""searchVolume"":210},{""year"":2026,""month"":1,""searchVolume"":390},{""year"":2025,""month"":12,""searchVolume"":480},{""year"":2025,""month"":11,""searchVolume"":390},{""year"":2025,""month"":10,""searchVolume"":590},{""year"":2025,""month"":9,""searchVolume"":590},{""year"":2025,""month"":8,""searchVolume"":480}]","ai_overview|organic|people_also_ask|related_searches","1","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","1","13.182000160217285","","","","","","yes","5","active-service","3","5","5","94","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P1","competitor_ranked|openseo_seed","2026-08-31",""
"sick-leave","sick leave","pedir baixa online","pedir baixa online","Portugal","pt-PT","competitor_ranked","consultas-online.pt|dronline.pt|mediconanet.pt","","transactional","conversion","service landing page","320","0","0.550000011920929","1.850000023841858","[{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":210},{""year"":2026,""month"":4,""search_volume"":260},{""year"":2026,""month"":3,""search_volume"":390},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":590},{""year"":2025,""month"":11,""search_volume"":390},{""year"":2025,""month"":10,""search_volume"":390},{""year"":2025,""month"":9,""search_volume"":320},{""year"":2025,""month"":8,""search_volume"":320},{""year"":2025,""month"":7,""search_volume"":390}]","ai_overview|organic|people_also_ask|video|related_searches","5","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","5","31.13599967956543","","","","","","yes","5","active-service","3","5","5","94","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P1","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","pedir baixa médica 3 dias","pedir baixa médica 3 dias","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","atestado médico online|baixa médica","transactional","conversion","service landing page","170","0","0.18000000715255737","1.32","[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":70},{""year"":2026,""month"":5,""searchVolume"":90},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":140},{""year"":2026,""month"":1,""searchVolume"":170},{""year"":2025,""month"":12,""searchVolume"":210},{""year"":2025,""month"":11,""searchVolume"":210},{""year"":2025,""month"":10,""searchVolume"":260},{""year"":2025,""month"":9,""searchVolume"":260},{""year"":2025,""month"":8,""searchVolume"":320}]","ai_overview|organic|people_also_ask|video|related_searches","12","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","12","3.3489999771118164","","","","","","yes","5","active-service","3","5","5","94","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P1","competitor_ranked|openseo_seed","2026-08-31",""
"online-doctor","online doctor","marcação de consulta online","marcação de consulta online","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt|medicinaonline.multicare.pt","análises ao sangue","transactional","conversion","market/service landing page","90","9","0.04","","[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":90},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":50},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":90}]","organic|people_also_ask|video|related_searches","25","https://dronline.pt/","","","medicinaonline.multicare.pt","7","4.2210001945495605","","","","","","yes","5","active-service","2","5","5","91","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked|openseo_seed","2026-08-31",""
"traveller-health","traveller health","consulta do viajante","consulta do viajante","Portugal","pt-PT","gsc_query|gsc_query_page|openseo_seed","","consulta do viajante","informational","awareness","service landing page","5400","3","0.62","1.86","[{""year"":2026,""month"":7,""searchVolume"":5400},{""year"":2026,""month"":6,""searchVolume"":5400},{""year"":2026,""month"":5,""searchVolume"":5400},{""year"":2026,""month"":4,""searchVolume"":5400},{""year"":2026,""month"":3,""searchVolume"":6600},{""year"":2026,""month"":2,""searchVolume"":6600},{""year"":2026,""month"":1,""searchVolume"":6600},{""year"":2025,""month"":12,""searchVolume"":3600},{""year"":2025,""month"":11,""searchVolume"":4400},{""year"":2025,""month"":10,""searchVolume"":5400},{""year"":2025,""month"":9,""searchVolume"":5400},{""year"":2025,""month"":8,""searchVolume"":5400}]","","","","","","","","","71.15384615384616","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","13","0","0","no","5","active-service","2","5","5","86","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","P1","gsc_query|gsc_query_page|openseo_seed","2026-08-31",""
"traveller-health","traveller health","consulta viajante","consulta viajante","Portugal","pt-PT","competitor_ranked|gsc_query|gsc_query_page","dronline.pt","","informational","awareness","service landing page","1000","5","0.5400000214576721","2.0999999046325684","[{""year"":2026,""month"":7,""search_volume"":1000},{""year"":2026,""month"":6,""search_volume"":1000},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":880},{""year"":2026,""month"":3,""search_volume"":880},{""year"":2026,""month"":2,""search_volume"":1300},{""year"":2026,""month"":1,""search_volume"":1300},{""year"":2025,""month"":12,""search_volume"":720},{""year"":2025,""month"":11,""search_volume"":880},{""year"":2025,""month"":10,""search_volume"":1300},{""year"":2025,""month"":9,""search_volume"":1300},{""year"":2025,""month"":8,""search_volume"":1000}]","organic|people_also_ask|related_searches","28","https://dronline.pt/produto/consulta-do-viajante/","","","dronline.pt","28","2.0999999046325684","68.41666666666667","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","12","0","0","no","5","active-service","2","5","5","86","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","P1","competitor_ranked|gsc_query|gsc_query_page","2026-08-31",""
"online-doctor","online doctor","marcação de consulta","marcação de consulta","Portugal","pt-PT","competitor_ranked","dronline.pt|medicinaonline.multicare.pt","","informational","awareness","market/service landing page","390","12","0.029999999329447746","1.5399999618530273","[{""year"":2026,""month"":7,""search_volume"":320},{""year"":2026,""month"":6,""search_volume"":390},{""year"":2026,""month"":5,""search_volume"":390},{""year"":2026,""month"":4,""search_volume"":390},{""year"":2026,""month"":3,""search_volume"":390},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":390},{""year"":2025,""month"":12,""search_volume"":210},{""year"":2025,""month"":11,""search_volume"":320},{""year"":2025,""month"":10,""search_volume"":390},{""year"":2025,""month"":9,""search_volume"":390},{""year"":2025,""month"":8,""search_volume"":390}]","organic|ai_overview|short_videos|related_searches|images","48","https://dronline.pt/","","","medicinaonline.multicare.pt","14","3.5490000247955322","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","baixa médica online","baixa médica online","Portugal","pt-PT","competitor_ranked","consultas-online.pt|dronline.pt|mediconanet.pt","","informational","awareness","service landing page","210","0","0.6600000262260437","1.8700000047683716","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":260},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":210},{""year"":2025,""month"":12,""search_volume"":260},{""year"":2025,""month"":11,""search_volume"":170},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":170}]","ai_overview|organic|people_also_ask|related_searches","4","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","dronline.pt","4","34.02000045776367","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P1","competitor_ranked","2026-08-31",""
"online-doctor","online doctor","e consulta","e consulta","Portugal","pt-PT","competitor_ranked","dronline.pt|medicinaonline.multicare.pt","","informational","awareness","market/service landing page","210","14","0.05999999865889549","2.4600000381469727","[{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":210},{""year"":2026,""month"":2,""search_volume"":260},{""year"":2026,""month"":1,""search_volume"":170},{""year"":2025,""month"":12,""search_volume"":110},{""year"":2025,""month"":11,""search_volume"":140},{""year"":2025,""month"":10,""search_volume"":210},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":210},{""year"":2025,""month"":7,""search_volume"":260}]","organic|ai_overview|people_also_ask|video|related_searches","25","https://dronline.pt/","","","medicinaonline.multicare.pt","23","0.5669999718666077","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked","2026-08-31",""
"pediatrics","pediatrics","pediatra consulta","pediatra consulta","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","210","0","0.3499999940395355","2.190000057220459","[{""year"":2026,""month"":7,""search_volume"":170},{""year"":2026,""month"":6,""search_volume"":170},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":260},{""year"":2026,""month"":2,""search_volume"":170},{""year"":2026,""month"":1,""search_volume"":260},{""year"":2025,""month"":12,""search_volume"":320},{""year"":2025,""month"":11,""search_volume"":210},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":210},{""year"":2025,""month"":8,""search_volume"":210}]","local_pack|organic|people_also_ask|related_searches|images","85","https://www.dronline.pt/es/produto/pediatra/","","","dronline.pt","85","0.4410000145435333","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","P1","competitor_ranked","2026-08-31",""
"sick-leave","sick leave","pedir baixa médica","pedir baixa médica","Portugal","pt-PT","competitor_ranked|openseo_seed","consultas-online.pt|dronline.pt","atestado médico online|baixa médica","informational","awareness","service landing page","170","0","0.45","1.8","[{""year"":2026,""month"":7,""searchVolume"":140},{""year"":2026,""month"":6,""searchVolume"":170},{""year"":2026,""month"":5,""searchVolume"":170},{""year"":2026,""month"":4,""searchVolume"":170},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":140},{""year"":2026,""month"":1,""searchVolume"":170},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":170},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":170},{""year"":2025,""month"":8,""searchVolume"":140}]","ai_overview|organic|people_also_ask|related_searches","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","dronline.pt","6","11.20300006866455","","","","","","yes","5","active-service","3","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","P1","competitor_ranked|openseo_seed","2026-08-31",""
"online-doctor","online doctor","consulta clínico geral","consulta clínico geral","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","market/service landing page","140","0","0.36000001430511475","2.990000009536743","[{""year"":2026,""month"":7,""search_volume"":140},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":140},{""year"":2026,""month"":4,""search_volume"":110},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":110},{""year"":2026,""month"":1,""search_volume"":140},{""year"":2025,""month"":12,""search_volume"":170},{""year"":2025,""month"":11,""search_volume"":110},{""year"":2025,""month"":10,""search_volume"":140},{""year"":2025,""month"":9,""search_volume"":140},{""year"":2025,""month"":8,""search_volume"":170}]","local_pack|people_also_ask|organic|related_searches|images","21","https://dronline.pt/","","","dronline.pt","21","0.8259999752044678","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked","2026-08-31",""
"womens-health","womens health","consulta menopausa","consulta menopausa","Portugal","pt-PT","competitor_ranked","dronline.pt","","informational","awareness","service landing page","140","0","0.46000000834465027","1.0199999809265137","[{""year"":2026,""month"":7,""search_volume"":210},{""year"":2026,""month"":6,""search_volume"":110},{""year"":2026,""month"":5,""search_volume"":170},{""year"":2026,""month"":4,""search_volume"":170},{""year"":2026,""month"":3,""search_volume"":170},{""year"":2026,""month"":2,""search_volume"":140},{""year"":2026,""month"":1,""search_volume"":110},{""year"":2025,""month"":12,""search_volume"":90},{""year"":2025,""month"":11,""search_volume"":90},{""year"":2025,""month"":10,""search_volume"":260},{""year"":2025,""month"":9,""search_volume"":170},{""year"":2025,""month"":8,""search_volume"":140}]","ai_overview|organic|people_also_ask|related_searches","41","https://dronline.pt/produto/consulta-da-menopausa/","","","dronline.pt","41","0.2939999997615814","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","P1","competitor_ranked","2026-08-31",""
"hair-loss","hair loss","consulta cabelo","consulta cabelo","Portugal","pt-PT","competitor_ranked|openseo_seed","dronline.pt","consulta saúde mental|queda de cabelo médico","informational","awareness","market/service landing page","110","0","0.550000011920929","5.12","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":110},{""year"":2026,""month"":4,""searchVolume"":90},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":140},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":140},{""year"":2025,""month"":10,""searchVolume"":170},{""year"":2025,""month"":9,""searchVolume"":170},{""year"":2025,""month"":8,""searchVolume"":140}]","organic|people_also_ask|related_searches","27","https://dronline.pt/produto/video-consulta-de-queda-de-cabelo/","","","dronline.pt","27","0.23100000619888306","","","","","","yes","5","active-service","2","5","5","86","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-queda-de-cabelo","P1","competitor_ranked|openseo_seed","2026-08-31",""
"online-doctor","online doctor","medico online","medico online","Portugal","pt-PT","competitor_ranked|gsc_query|gsc_query_page|target_ranked","dronline.pt|knok.pt|medicinaonline.multicare.pt|mediconanet.pt|medis.pt|teleconsultaportugal.com","","informational","awareness","market/service landing page","880","7","0.7799999713897705","5.260000228881836","[{""year"":2026,""month"":6,""search_volume"":880},{""year"":2026,""month"":5,""search_volume"":880},{""year"":2026,""month"":4,""search_volume"":880},{""year"":2026,""month"":3,""search_volume"":880},{""year"":2026,""month"":2,""search_volume"":720},{""year"":2026,""month"":1,""search_volume"":1000},{""year"":2025,""month"":12,""search_volume"":1000},{""year"":2025,""month"":11,""search_volume"":720},{""year"":2025,""month"":10,""search_volume"":880},{""year"":2025,""month"":9,""search_volume"":880},{""year"":2025,""month"":8,""search_volume"":1000},{""year"":2025,""month"":7,""search_volume"":1000}]","ai_overview|organic|people_also_ask|related_searches","3","https://dronline.pt/","81","https://knok.pt/","medis.pt","2","267.5199890136719","59","https://www.myglobalhealth.online/portugal/pt","12","0","0","no","5","active-service","2","5","5","83","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked|gsc_query|gsc_query_page|target_ranked","2026-08-31",""
"online-doctor","online doctor","médico online","médico online","Portugal","pt-PT","competitor_ranked|gsc_query|gsc_query_page|openseo_seed","dronline.pt|knok.pt|medicinaonline.multicare.pt|mediconanet.pt|medis.pt|teleconsultaportugal.com","consulta médica online|médico online","informational","awareness","market/service landing page","880","0","0.7900000214576721","4.24","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":880},{""year"":2026,""month"":5,""searchVolume"":880},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":720},{""year"":2026,""month"":1,""searchVolume"":1000},{""year"":2025,""month"":12,""searchVolume"":1000},{""year"":2025,""month"":11,""searchVolume"":720},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":880},{""year"":2025,""month"":8,""searchVolume"":1000}]","ai_overview|organic|related_searches","1","https://dronline.pt/","75","https://knok.pt/","dronline.pt","1","85.6240005493164","59.25925925925926","https://www.myglobalhealth.online/portugal/pt/services/family-and-general-medicine","54","0","0","no","5","active-service","2","5","5","83","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked|gsc_query|gsc_query_page|openseo_seed","2026-08-31",""
"online-doctor","online doctor","consulta online","consulta online","Portugal","pt-PT","competitor_ranked|gsc_query|gsc_query_page|openseo_seed","dronline.pt|medicinaonline.multicare.pt|mediconanet.pt","consulta médica online|médico online","informational","awareness","market/service landing page","720","10","0.75","4.27","[{""year"":2026,""month"":7,""searchVolume"":880},{""year"":2026,""month"":6,""searchVolume"":720},{""year"":2026,""month"":5,""searchVolume"":720},{""year"":2026,""month"":4,""searchVolume"":880},{""year"":2026,""month"":3,""searchVolume"":880},{""year"":2026,""month"":2,""searchVolume"":590},{""year"":2026,""month"":1,""searchVolume"":880},{""year"":2025,""month"":12,""searchVolume"":880},{""year"":2025,""month"":11,""searchVolume"":590},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":720},{""year"":2025,""month"":8,""searchVolume"":590}]","ai_overview|organic|related_searches|knowledge_graph","3","https://dronline.pt/","","","dronline.pt","3","116.63999938964844","69.4390243902439","https://www.myglobalhealth.online/portugal/pt/gp-consultation-online","41","0","0","no","5","active-service","2","5","5","83","optimize_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked|gsc_query|gsc_query_page|openseo_seed","2026-08-31",""
"online-doctor","online doctor","consulta médico","consulta médico","Portugal","pt-PT","competitor_ranked","dronline.pt|medicinaonline.multicare.pt|teleconsultaportugal.com","","informational","awareness","market/service landing page","260","19","0.3400000035762787","3.0199999809265137","[{""year"":2026,""month"":7,""search_volume"":210},{""year"":2026,""month"":6,""search_volume"":210},{""year"":2026,""month"":5,""search_volume"":320},{""year"":2026,""month"":4,""search_volume"":320},{""year"":2026,""month"":3,""search_volume"":390},{""year"":2026,""month"":2,""search_volume"":320},{""year"":2026,""month"":1,""search_volume"":320},{""year"":2025,""month"":12,""search_volume"":260},{""year"":2025,""month"":11,""search_volume"":260},{""year"":2025,""month"":10,""search_volume"":320},{""year"":2025,""month"":9,""search_volume"":260},{""year"":2025,""month"":8,""search_volume"":210}]","organic|ai_overview|people_also_ask|video|related_searches","3","https://dronline.pt/","","","dronline.pt","3","42.119998931884766","","","","","","yes","5","active-service","2","5","4","83","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","P1","competitor_ranked","2026-08-31",""
