"cluster_id","keyword","search_volume","keyword_difficulty","intent","best_competitor","best_competitor_position","best_competitor_url","target_position","target_url","opportunity_score","priority","recommended_action","proposed_target_url","clinical_risk","notes"
"prescription-renewal","prescrição","1600","0","informational","mediconanet.pt","11","","","","89","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"family-medicine","médico de família","1300","0","informational","dronline.pt","11","https://dronline.pt/doutor-familia/","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","2",""
"sick-leave","simulador baixa médica","1300","0","informational","dronline.pt","4","https://dronline.pt/simulador-baixa-medica/","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"mens-health","exame prostata","1300","0","informational","dronline.pt","76","https://kits.dronline.pt/product/teste-prostata-psa/","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-do-homem","2",""
"dermatology","micose pele","1000","0","informational","teleconsultaportugal.com","43","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-dermatologia","2",""
"dermatology","micoses na pele","1000","0","informational","teleconsultaportugal.com","58","","","","89","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-dermatologia","2",""
"online-doctor","medico","8100","17","informational","dronline.pt","7","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"mental-health","tdah o q é","5400","19","informational","mediconanet.pt","66","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-mental","2",""
"mental-health","saude mental definição","3600","17","informational","medis.pt","6","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-mental","2",""
"sick-leave","baixa psicológica paga a 100","880","0","informational","dronline.pt","17","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","médico do ouvido","880","0","informational","dronline.pt","30","https://dronline.pt/produto/medico-para-ouvido/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","auto baixa medica","720","0","informational","dronline.pt","35","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","prescrição médica","720","0","informational","dronline.pt","54","https://dronline.pt/evite-as-vendas-suspensas-em-farmacias/","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"prescription-renewal","prescrições médicas","720","0","informational","dronline.pt","50","https://dronline.pt/evite-as-vendas-suspensas-em-farmacias/","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"sick-leave","baixa medica valores","590","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica valores","590","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","receitas medicas","590","8","informational","mediconanet.pt","5","","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"referrals-and-tests","exame medico","590","0","informational","dronline.pt","57","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","2",""
"online-doctor","exames medicos","590","9","informational","dronline.pt","20","https://dronline.pt/produto/requisicao-de-exames/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","subsídio de doença","590","0","informational","dronline.pt","17","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","baixa medica 3 dias","480","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa psiquiatrica","480","0","informational","mediconanet.pt","10","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"medical-certificates","atestado","390","0","informational","dronline.pt","4","https://dronline.pt/atestados-medicos/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","3",""
"sick-leave","baixa de 3 dias","390","0","informational","dronline.pt","40","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por burnout paga a 100","390","0","informational","dronline.pt","18","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa profissional","390","0","informational","dronline.pt","38","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","quanto se recebe de baixa","390","0","informational","dronline.pt","9","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","quanto tempo demora a receber a baixa medica","390","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","quanto tempo demora a receber a baixa médica","390","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","regresso ao trabalho após baixa prolongada","390","0","informational","mediconanet.pt","4","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","receita online","390","0","informational","mediconanet.pt","2","","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Requires clinician/compliance review before content changes. Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"sick-leave","como pedir auto baixa","320","0","informational","dronline.pt","43","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","como pedir baixa medica","320","0","informational","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","como pedir baixa médica","320","0","informational","dronline.pt","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","receitas medicas online","320","0","informational","mediconanet.pt","3","","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"sick-leave","baixa médica pagamento","320","0","informational","dronline.pt","5","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica pagamentos","320","0","informational","dronline.pt","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica quanto se recebe","320","0","informational","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por internamento é paga a 100","320","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa psiquiatrica é paga a 100","320","0","informational","dronline.pt","11","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa psiquiátrica é paga na totalidade","320","0","informational","dronline.pt","15","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","quem pode passar baixa médica","320","0","informational","dronline.pt","4","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","lar medico","320","0","informational","dronline.pt","54","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","como pedir baixa online","260","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica quanto recebo","260","0","informational","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por cirurgia de ambulatório quanto se recebe","260","0","informational","dronline.pt","1","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","pagamento baixa medica","260","0","informational","dronline.pt","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","pagamento baixa médica","260","0","informational","dronline.pt","6","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","prazo para renovar baixa médica","260","0","informational","mediconanet.pt","7","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"mens-health","exame de próstata","260","0","informational","dronline.pt","85","https://kits.dronline.pt/product/teste-prostata-psa/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/saude-do-homem","2",""
"family-medicine","médica clinica geral","260","0","informational","dronline.pt","94","https://dronline.pt/produto/videoconsulta-de-clinica-geral/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","2",""
"online-doctor","travelling doctor","260","12","informational","dronline.pt","9","https://dronline.pt/en/produto/consulta-do-viajante/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"medical-certificates","atestado adse","210","0","informational","dronline.pt","15","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","3",""
"medical-certificates","atestado médico: adse regras","210","0","informational","dronline.pt","7","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","3",""
"medical-certificates","atestado médico portugal","210","0","informational","mediconanet.pt","4","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","3",""
"sick-leave","baixa médica cga pagamento","210","0","informational","dronline.pt","22","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por burnout","210","0","informational","mediconanet.pt","8","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"prescription-renewal","prescrição medica","210","0","informational","dronline.pt","57","https://dronline.pt/evite-as-vendas-suspensas-em-farmacias/","","","86","P2","clinical_review_then_optimize","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","5","Prescribing intent: clinician and Portuguese compliance review required; never guarantee a prescription."
"online-doctor","cedula profissional medico","210","0","informational","dronline.pt","42","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","cedula profissional medicos","210","0","informational","dronline.pt","41","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","consultor medico","210","0","informational","dronline.pt","37","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","consultor médico","210","0","informational","dronline.pt","55","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"online-doctor","ficha de aptidão medica","210","0","informational","dronline.pt","48","https://dronline.pt/produto/atestado-profissional/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
"sick-leave","como pedir baixa psicologica","170","0","informational","dronline.pt","7","https://dronline.pt/produto/baixa-medica-online-certificado-de-incapacidade-temporaria/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica 3 dias e paga","170","0","informational","dronline.pt","10","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica adse pagamento","170","0","informational","dronline.pt","4","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa médica por doença oncológica remunerada a 100","170","0","informational","dronline.pt","63","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por assistência a cônjuge é paga","170","0","informational","dronline.pt","28","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","baixa por internamento","170","0","informational","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","calculadora baixa medica","170","0","informational","dronline.pt","2","https://dronline.pt/simulador-baixa-medica/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","calculadora baixa médica","170","0","informational","dronline.pt","2","https://dronline.pt/simulador-baixa-medica/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","calcular baixa médica","170","0","informational","dronline.pt","4","https://dronline.pt/simulador-baixa-medica/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","calculo baixa medica","170","0","informational","dronline.pt","4","https://dronline.pt/simulador-baixa-medica/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","perda de férias por baixa médica","170","0","informational","mediconanet.pt","4","","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","quantos dias tenho para entregar a baixa","170","0","informational","dronline.pt","19","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","retomar baixa medica","170","0","informational","dronline.pt","35","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","simulador baixa médica 2025","170","0","informational","dronline.pt","5","https://dronline.pt/simulador-baixa-medica/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","tipos de baixa médica","170","0","informational","dronline.pt","10","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"sick-leave","valor baixa médica","170","0","informational","dronline.pt","8","https://dronline.pt/baixa-medica-como-pedir-quais-os-meus-direitos-e-valores-de-pagamento/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","3",""
"online-doctor","medico a casa","170","0","informational","dronline.pt","60","https://dronline.pt/","","","86","P2","map_to_existing","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","2",""
