"URL","page type","primary keyword","secondary keywords","original title","optimized title","original meta description","optimized meta description","description optimized","bio optimized","FAQs optimized","deslop completed","factual verification completed","clinical review required","implementation status","reason for anything left unchanged"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","specialist service page","oncologista online","consulta oncologia online | consulta de oncologia | médico oncologista | segunda opinião oncológica","Segunda Opinião em Oncologia Online Portugal | Oncologista","Oncologista Online | Segunda Opinião em Oncologia","Segunda opinião independente sobre diagnóstico ou plano de tratamento oncológico, com oncologista médico registado na Ordem dos Médicos. Apoio também em cuidados paliativos. Marque já.","Segunda opinião sobre diagnóstico ou tratamento oncológico, com oncologista registado na Ordem dos Médicos. Inclui apoio em cuidados paliativos.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","service page","consulta pediatria online","pediatra online | pediatra consulta | consulta com pediatra online | médico pediatra online","Consulta de Pediatria Online Portugal | Médico de Clínica Geral","Consulta de Pediatria Online | Médico de Clínica Geral","Fale com um médico sobre a saúde do seu filho hoje. Consultas pediátricas de cuidados primários no mesmo dia, por videochamada segura.","Fale com um médico sobre a saúde do seu filho numa consulta pediátrica de cuidados primários, por videochamada segura. Consulte a agenda.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psicologia","specialist service page","psicólogo online","consulta de psicologia online | consulta de psicologia por videochamada | tratamento psicológico | consulta de psicologia preço","Consulta de Psicologia Online Portugal | Psicóloga OPP","Psicóloga Online | Consulta de Psicologia","Consulta com psicóloga registada na Ordem dos Psicólogos Portugueses. Avaliação psicológica e terapia baseada em evidência, por videochamada segura. Marque já. Aceitamos também Medicare para este serviço.","Consulta por videochamada com psicóloga registada na OPP, para avaliação psicológica e terapia baseada em evidência.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psiquiatria","specialist service page","psiquiatra online","consulta de psiquiatria online | consulta online psiquiatria | consulta psiquiatra | preço consulta psiquiatra","Consulta de Psiquiatria Online Portugal | Psiquiatra","Psiquiatra Online | Consulta de Psiquiatria","Consulta com psiquiatra registado na Ordem dos Médicos. Avaliação psiquiátrica especializada, revisão de diagnóstico, e gestão de saúde mental, por videochamada segura. Aceitamos também Medicare para este serviço.","Consulta por videochamada com psiquiatra registado na Ordem dos Médicos, para avaliação, revisão diagnóstica e gestão de saúde mental.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/saude-mental","service page","consulta saúde mental online","consulta saúde mental | saúde mental online | ansiedade e stress | apoio saúde mental online","Consulta de Saúde Mental Online Portugal | Médico","Consulta de Saúde Mental Online | Portugal","Avaliações confidenciais para ansiedade, tristeza ou sobrecarga emocional. Os nossos médicos, registados na Ordem dos Médicos, oferecem avaliações confidenciais de saúde mental por videochamada. Marque já, desde €39.","Avaliação confidencial de saúde mental por videochamada com médicos registados na Ordem dos Médicos. Numa crise, procure apoio imediato.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/perda-de-peso","service page","consulta médica para perda de peso","perda de peso com médico | perda de peso | IMC | saúde metabólica","Consulta de Gestão de Peso Online Portugal | Apoio Médico","Consulta Médica para Perda de Peso | Portugal","Gestão médica do peso, além das dietas genéricas. Os nossos médicos, registados na Ordem dos Médicos, avaliam fatores médicos e metabólicos e criam um plano personalizado. Avaliação clínica completa, sem dietas genéricas. Aceitamos também Medicare para este serviço.","Avaliação dos fatores médicos e metabólicos ligados ao peso, com médicos registados na Ordem. Tratamentos dependem da indicação clínica.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-dermatologia","service page","consulta online de dermatologia","consulta dermatologia online | consulta de dermatologia online | dermatologista online | consulta de pele online | problemas de pele","Consulta de Pele Online Portugal | Dermatologia Clínica Geral","Consulta de Dermatologia Online | Avaliação Clínica","Avaliação para erupção cutânea, eczema, acne ou outras questões de pele. Os nossos médicos, registados na Ordem dos Médicos, avaliam por videochamada segura. Marque já a sua consulta. Aceitamos também Medicare para este serviço.","Avaliação por videochamada de erupção cutânea, eczema, acne e outros problemas de pele, com médicos registados na Ordem.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/consulta-queda-de-cabelo","service page","médico para queda de cabelo","consulta queda de cabelo | queda de cabelo | causas queda de cabelo | tratamento queda de cabelo","Consulta de Queda de Cabelo Online Portugal | Médico","Médico para Queda de Cabelo | Consulta Online","Avaliação para queda de cabelo ou rarefação capilar. Os nossos médicos, registados na Ordem dos Médicos, avaliam a causa subjacente e aconselham sobre opções de tratamento baseadas em evidência.","Avaliação por videochamada da queda de cabelo ou rarefação capilar, com médicos registados na Ordem, incluindo causas e opções de tratamento.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/deixar-de-fumar","service page","consulta para deixar de fumar","deixar de fumar | consulta cessação tabágica | apoio médico para deixar de fumar","Consulta de Cessação Tabágica Online Portugal | Apoio Médico","Consulta para Deixar de Fumar | Apoio Médico","Deixar de fumar com apoio médico especializado. Avaliação clínica, plano personalizado e terapêutica baseada em evidência, por videochamada segura. Marque já a sua consulta.","Apoio médico para deixar de fumar, com avaliação, plano individual e opções terapêuticas baseadas em evidência, por videochamada segura.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/gestao-da-dor","service page","consulta gestão da dor","gestão da dor | dor persistente | avaliação músculo-esquelética online","Avaliação Músculo-Esquelética e Dor Online Portugal","Consulta de Gestão da Dor Online | Portugal","Avaliação para dor nas costas, articulações, ciática ou lesões. Os nossos médicos, registados na Ordem dos Médicos, avaliam condições músculo-esqueléticas por videochamada segura. Marque já.","Avaliação por videochamada de dor nas costas, articulações, ciática ou lesões músculo-esqueléticas, com médicos registados na Ordem.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/saude-da-mulher","service page","consulta saúde da mulher online","saúde da mulher online | consulta saúde da mulher | consulta menopausa | saúde hormonal","Consulta de Saúde da Mulher Online Portugal | Médico Confidencial","Consulta de Saúde da Mulher Online | Portugal","Avaliação confidencial de saúde da mulher com médico registado na Ordem dos Médicos. Contraceção, saúde hormonal, menopausa, SOP, e mais, por videochamada segura.","Avaliação confidencial de saúde da mulher por videochamada: contraceção, saúde hormonal, menopausa e SOP, com médico registado na Ordem.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/saude-do-homem","service page","consulta saúde do homem online","saúde do homem online | consulta saúde do homem | testosterona homem | saúde sexual masculina","Consulta de Saúde do Homem Online Portugal | Médico Confidencial","Consulta de Saúde do Homem Online | Portugal","Avaliação confidencial de saúde do homem com médico registado na Ordem dos Médicos. Disfunção erétil, testosterona, libido, por videochamada segura. Marque já. Aceitamos também Medicare para este serviço.","Avaliação confidencial da saúde do homem por videochamada: disfunção erétil, testosterona e libido, com médico registado.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/services/segunda-opiniao-medica","service page","segunda opinião médica online","segunda opinião médica | segunda opinião médica lei | revisão de diagnóstico | revisão de tratamento","Segunda Opinião Médica Online Portugal | Médico Independente","Segunda Opinião Médica Online | Portugal","Segunda opinião médica independente sobre diagnóstico ou plano de tratamento. Os nossos médicos, registados na Ordem dos Médicos, oferecem uma segunda opinião independente por videochamada. Marque já, desde €39.","Segunda opinião independente sobre diagnóstico ou tratamento, por videochamada, com médicos registados na Ordem dos Médicos.","no","not applicable","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","H1, visible clinical copy, FAQs and links were reviewed and retained; the metadata remains an editorial draft pending clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","health tool","tabela tensão arterial","calculadora tensão arterial | tabela de medição de tensão arterial | tabela registo tensão arterial | valores tensão arterial","Tensão Arterial Normal Portugal | Tabela de Valores","Tabela de Tensão Arterial: Valores | Portugal","Compare os seus valores de tensão sistólica e diastólica com a tabela europeia para adultos. Veja a categoria, o que significa e que leituras exigem cuidados médicos no próprio dia.","Compare a tensão sistólica e diastólica com a tabela europeia para adultos. Veja a categoria e as leituras que exigem cuidados médicos no próprio dia.","no","not applicable","no","yes","no","yes","editorial owner approved; runtime source retained pending clinical review","The proposed title remains in the brief and matrix only. Runtime metadata, H1, tool guidance, FAQs and links remain unchanged pending clinical review; live canonical, hreflang, schema, indexability and CTA checks passed. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-martim-delgado","doctor profile","dr martim delgado","martim delgado | dr delgado | dr. martim delgado | martim delgado medicina geral e familiar","Dr. Martim Delgado — Medicina Geral e Familiar | OM 70349","Dr. Martim Delgado — Medicina Geral e Familiar | OM 70349","Agende uma videoconsulta com Dr. Martim Delgado — médico registado na OM (nº 70349). Faculdade de Medicina Masaryk Brno · Hospital de Santa Maria Lisboa · MGF · Telemedicina · Português, inglês, espanhol e checo. Consulta no mesmo dia.","Dr. Martim Delgado, OM 70349: Universidade de Masaryk, Hospital de Santa Maria, MGF e telemedicina. Português, inglês, espanhol e checo.","no","no","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","Title, H1, biography, credentials, registrations, languages, FAQs, services and links were retained; the meta-description draft is not implemented pending credential and clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho","doctor profile","dr telmo coelho","telmo coelho | telmo coelho psiquiatra | dr telmo coelho psiquiatra | psiquiatra telmo coelho","Dr. Telmo Coelho — Psiquiatra | OM 48028","Dr. Telmo Coelho — Psiquiatra | OM 48028","Agende uma videoconsulta com Dr. Telmo Coelho — psiquiatra registado na OM (nº 48028). CH São João · Director Psiquiatria Hospital das Forças Armadas · Psiquiatria Forense · Psicotraumatologia · Português e inglês. Consulta no mesmo dia.","Dr. Telmo Coelho, psiquiatra OM 48028: CH São João; Hospital das Forças Armadas; Psiquiatria Forense e Psicotraumatologia. Português e inglês.","no","no","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","Title, H1, biography, credentials, registrations, languages, FAQs, services and links were retained; the meta-description draft is not implemented pending credential and clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-tiago-miguel-figueira","doctor profile","dr tiago figueira","tiago figueira | tiago miguel figueira | dr tiago miguel figueira | tiago figueira médico","Dr. Tiago Figueira — Médico de Clínica Geral | OM 77986","Dr. Tiago Figueira — Médico de Clínica Geral | OM 77986","Agende uma videoconsulta com Dr. Tiago Figueira — médico registado na Ordem dos Médicos (OM 77986). MUDr. Universidade de Masaryk · Cirurgia Geral Irlanda · Diretor Clínico Global Health · Consulta no mesmo dia.","Dr. Tiago Figueira, OM 77986: MUDr. pela Universidade de Masaryk, experiência em Cirurgia Geral na Irlanda e Diretor Clínico da Global Health.","no","no","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","Title, H1, biography, credentials, registrations, languages, FAQs, services and links were retained; the meta-description draft is not implemented pending credential and clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-vitor-hugo-de-matos-pais","doctor profile","dr vítor pais","vítor hugo de matos pais | dr vitor pais | dr vítor hugo de matos pais | vítor pais medicina geral e familiar","Dr. Vítor Pais — Medicina Geral e Familiar | OM 64505","Dr. Vítor Pais — Medicina Geral e Familiar | OM 64505","Agende uma videoconsulta com Dr. Vítor Pais — médico de medicina geral e familiar registado na OM (nº 64505). ULS Cova da Beira, Guarda e Castelo Branco · Medicina preventiva · Tabagismo · Português e inglês. Consulta no mesmo dia.","Dr. Vítor Pais, médico de MGF, OM 64505: ULS Cova da Beira, Guarda e Castelo Branco; Medicina Preventiva e Tabagismo. Português e inglês.","no","no","no","yes","no","yes","editorial owner approved; operational implementation blocked pending clinical review","Title, H1, biography, credentials, registrations, languages, FAQs, services and links were retained; the meta-description draft is not implemented pending credential and clinical approval. Portugal content owner approved implementation on 2026-09-01; reviewer name was not supplied. Publication remains blocked until the required clinical, credential or official-source approval is recorded."
