keyword,normalized_keyword,ascii_variant,sources,seeds,search_volume,keyword_difficulty,gsc_clicks,gsc_impressions,gsc_position,ranking_url,cluster,status,notes
kalkulačka plodné dny,kalkulačka plodné dny,kalkulacka plodne dny,gsc|target-ranked,,170,0,0,4,34.75,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
kalkulačka termín porodu,kalkulačka termín porodu,kalkulacka termin porodu,gsc|target-ranked,,170,0,0,4,36.75,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kdy jsou plodné dny,kdy jsou plodné dny,kdy jsou plodne dny,gsc|target-ranked,,210,0,0,4,44.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
mudr libor hlavaty,mudr libor hlavaty,mudr libor hlavaty,gsc,,,,0,4,12,,other target demand,excluded-low-fit,
termín porodu kalkulačka,termín porodu kalkulačka,termin porodu kalkulacka,gsc|target-ranked,,170,0,0,4,36.25,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
výpočet data porodu,výpočet data porodu,vypocet data porodu,gsc|target-ranked,,170,0,0,4,48.75,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
výpočet denního příjmu,výpočet denního příjmu,vypocet denniho prijmu,gsc,,20,10,0,4,27.75,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
antimalarika,antimalarika,antimalarika,gsc,,590,0,0,3,3,https://www.myglobalhealth.online/czechia/cs/services/travel-health-prague,other target demand,excluded-low-fit,
antimalarika cena,antimalarika cena,antimalarika cena,gsc,,140,0,0,3,2,https://www.myglobalhealth.online/czechia/cs/services/travel-health-prague,other target demand,excluded-low-fit,
clinica,clinica,clinica,gsc,,,,0,3,14.333333333333334,,other target demand,excluded-low-fit,
doktor ahmed,doktor ahmed,doktor ahmed,gsc,,,,0,3,4.333333333333334,https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad,online GP and doctor,excluded-low-fit,
dr mustafa,dr mustafa,dr mustafa,gsc,,,,0,3,10.333333333333334,,other target demand,excluded-low-fit,
global health ireland,global health ireland,global health ireland,gsc,,,,1,3,2.666666666666667,,other target demand,excluded-low-fit,
intolerance laktózy test,intolerance laktózy test,intolerance laktozy test,gsc,,,0,0,3,34.333333333333336,,other target demand,excluded-low-fit,
jak získat neomezené vycházky,jak získat neomezené vycházky,jak ziskat neomezene vychazky,gsc|target-ranked,,210,0,0,3,25.666666666666668,https://www.myglobalhealth.online/czechia/cs/blog/neschopenka-jak-funguje-eneschopenka,other target demand,excluded-low-fit,
kalkulacka porodu,kalkulacka porodu,kalkulacka porodu,gsc,,390,0,0,3,39,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kalkulačka obezity,kalkulačka obezity,kalkulacka obezity,gsc,,50,7,0,3,37.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
kalkulačka početí,kalkulačka početí,kalkulacka poceti,gsc,,50,1,0,3,35.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kalkulačka porodu,kalkulačka porodu,kalkulacka porodu,gsc,,390,0,0,3,40.666666666666664,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kalkulačka termínu porodu,kalkulačka termínu porodu,kalkulacka terminu porodu,gsc,,170,0,0,3,41.666666666666664,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
kcal na den,kcal na den,kcal na den,gsc,,90,11,0,3,35,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
kdy dostanu menstruaci kalkulačka,kdy dostanu menstruaci kalkulačka,kdy dostanu menstruaci kalkulacka,gsc|target-ranked,,170,0,0,3,22.333333333333332,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
laktoza test,laktoza test,laktoza test,gsc,,30,9,0,3,43,,other target demand,excluded-low-fit,
lékaři online,lékaři online,lekari online,gsc,,880,52,0,3,28.666666666666668,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,online GP and doctor,excluded-low-fit,
medical centre,medical centre,medical centre,gsc,,70,0,0,3,4.666666666666666,,other target demand,excluded-low-fit,
medicine online,medicine online,medicine online,gsc,,10,,0,3,6.333333333333333,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
menstruace kalendář,menstruace kalendář,menstruace kalendar,gsc,,110,7,0,3,42,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
menstruační cyklus výpočet,menstruační cyklus výpočet,menstruacni cyklus vypocet,gsc,,20,0,0,3,37.666666666666664,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
menstruační kalkulačka,menstruační kalkulačka,menstruacni kalkulacka,gsc,,390,0,0,3,42,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
my global health,my global health,my global health,gsc,,,,2,3,1,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/en/about
nemoc cukrovka,nemoc cukrovka,nemoc cukrovka,gsc,,,,0,3,59.333333333333336,https://www.myglobalhealth.online/czechia/pt/blog/diabetes-ticha-nemoc,chronic disease,excluded-low-fit,
online medical,online medical,online medical,gsc,,590,4,0,3,7,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
online panel v irsku,online panel v irsku,online panel v irsku,gsc,,,,0,3,18.333333333333332,,other target demand,excluded-low-fit,
plodné dny po menstruaci,plodné dny po menstruaci,plodne dny po menstruaci,gsc,,70,0,0,3,41.666666666666664,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
prague health care,prague health care,prague health care,gsc,,30,,0,3,18.333333333333332,,other target demand,excluded-low-fit,
termín porodu výpočet,termín porodu výpočet,termin porodu vypocet,gsc,,70,0,0,3,39.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
test amh,test amh,test amh,gsc,,,0,0,3,34,,other target demand,excluded-low-fit,
test na vitamin b12,test na vitamin b12,test na vitamin b12,gsc,,,,0,3,14.666666666666666,,other target demand,excluded-low-fit,
test na vitamín b12,test na vitamín b12,test na vitamin b12,gsc,,30,0,0,3,13.666666666666666,,other target demand,excluded-low-fit,
vypocet porodu,vypocet porodu,vypocet porodu,gsc,,320,0,0,3,47.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
výpočet menstruace,výpočet menstruace,vypocet menstruace,gsc,,590,0,0,3,35.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
výpočet nadváhy,výpočet nadváhy,vypocet nadvahy,gsc,,40,17,0,3,34.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
výpočet plodných dnů kalkulačka,výpočet plodných dnů kalkulačka,vypocet plodnych dnu kalkulacka,gsc,,50,44,0,3,46,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
výpočet plodných dnů u nepravidelné menstruace,výpočet plodných dnů u nepravidelné menstruace,vypocet plodnych dnu u nepravidelne menstruace,gsc,,10,8,0,3,37,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
výpočet termínu porodu podle poslední menstruace,výpočet termínu porodu podle poslední menstruace,vypocet terminu porodu podle posledni menstruace,gsc,,10,31,0,3,42.333333333333336,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
460 kcal,460 kcal,460 kcal,gsc,,,,0,2,25.5,,other target demand,excluded-low-fit,
absi kalkulačka,absi kalkulačka,absi kalkulacka,gsc,,50,3,0,2,27,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
b12 test,b12 test,b12 test,gsc,,,,0,2,22,,other target demand,excluded-low-fit,
centro medico cerca de mi,centro medico cerca de mi,centro medico cerca de mi,gsc,,,,0,2,10.5,,other target demand,excluded-low-fit,
consultas,consultas,consultas,gsc,,,,0,2,80,,other target demand,excluded-low-fit,
consultorio medico,consultorio medico,consultorio medico,gsc,,,,0,2,3.5,,other target demand,excluded-low-fit,
czech doctor,czech doctor,czech doctor,gsc,,,,0,2,19,https://www.myglobalhealth.online/czechia/en,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/en | https://www.myglobalhealth.online/czechia/es | https://www.myglobalhealth.online/czechia/cs
datum porodu podle menstruace,datum porodu podle menstruace,datum porodu podle menstruace,gsc,,70,,0,2,39.5,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
denní příjem bílkovin kalkulačka,denní příjem bílkovin kalkulačka,denni prijem bilkovin kalkulacka,gsc|target-ranked,,260,10,0,2,44.5,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
denní příjem kcal,denní příjem kcal,denni prijem kcal,gsc,,320,7,0,2,38,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
denní příjem kcal kalkulačka,denní příjem kcal kalkulačka,denni prijem kcal kalkulacka,gsc,,10,,0,2,31,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
denní příjem kj při hubnutí kalkulačka,denní příjem kj při hubnutí kalkulačka,denni prijem kj pri hubnuti kalkulacka,gsc,,40,17,0,2,36,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,weight management,excluded-low-fit,
dermatolog online,dermatolog online,dermatolog online,gsc,,,43,0,2,45.5,https://www.myglobalhealth.online/czechia/cs/services/kozni-konzultace-praha,online dermatology,excluded-low-fit,
doctor 24/7,doctor 24/7,doctor 24/7,gsc,,,,0,2,11,https://www.myglobalhealth.online/czechia/cs,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves
doktor mustafa,doktor mustafa,doktor mustafa,gsc,,,,0,2,5,,online GP and doctor,excluded-low-fit,
doktori online,doktori online,doktori online,gsc,,30,64,0,2,10,https://www.myglobalhealth.online/czechia/cs,online GP and doctor,excluded-low-fit,
domácí test na laktózu,domácí test na laktózu,domaci test na laktozu,gsc,,110,0,0,2,20,,other target demand,excluded-low-fit,
febn,febn,febn,gsc,,,,0,2,7.5,,other target demand,excluded-low-fit,
global helath,global helath,global helath,gsc,,,,0,2,1.5,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
global zdraví,global zdraví,global zdravi,gsc,,,,0,2,32,,other target demand,excluded-low-fit,
healthy online,healthy online,healthy online,gsc,,,,0,2,1,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi
ideální váha podle výšky a věku kalkulačka,ideální váha podle výšky a věku kalkulačka,idealni vaha podle vysky a veku kalkulacka,gsc,,720,21,0,2,30,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
index tělesné hmotnosti,index tělesné hmotnosti,index telesne hmotnosti,gsc,,90,0,0,2,35,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
kalkulacka kj,kalkulacka kj,kalkulacka kj,gsc,,10,,0,2,45.5,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
kalkulacka obezity,kalkulacka obezity,kalkulacka obezity,gsc,,50,15,0,2,39,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
kalkulacka plodnosti,kalkulacka plodnosti,kalkulacka plodnosti,gsc,,70,0,0,2,28,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
kalkulačka hubnutí,kalkulačka hubnutí,kalkulacka hubnuti,gsc,,90,15,0,2,42,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,weight management,excluded-low-fit,
kalkulačka kcal,kalkulačka kcal,kalkulacka kcal,gsc,,140,26,0,2,39,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
kcal kalkulačka,kcal kalkulačka,kcal kalkulacka,gsc,,260,25,0,2,44,https://www.myglobalhealth.online/czechia/cs/tools/calorie-calculator,other target demand,excluded-low-fit,
kdy budu rodit,kdy budu rodit,kdy budu rodit,gsc,,30,4,0,2,37.5,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
konzultace s lékařem online,konzultace s lékařem online,konzultace s lekarem online,gsc|research:ideas|research:related,lékař na telefonu|lékař online|online konzultace s lékařem|praktický lékař online,90,4,0,2,18,https://www.myglobalhealth.online/czechia/cs,online GP and doctor,excluded-low-fit,possible cannibalization: https://www.myglobalhealth.online/czechia/cs | https://www.myglobalhealth.online/czechia/cs/gp-consultation-online | https://www.myglobalhealth.online/czechia/cs/services/lekar-online-praha
medical,medical,medical,gsc,,880,38,0,2,85,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
menstruační kalendář online,menstruační kalendář online,menstruacni kalendar online,gsc,,320,6,0,2,38,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
menstruační kalendář výpočet,menstruační kalendář výpočet,menstruacni kalendar vypocet,gsc|target-ranked,,210,0,0,2,56,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
ovariální rezerva,ovariální rezerva,ovarialni rezerva,gsc,,40,,0,2,37,,other target demand,excluded-low-fit,
plodné dni kalkulačka,plodné dni kalkulačka,plodne dni kalkulacka,gsc,,20,,0,2,31,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
plodné dni výpočet,plodné dni výpočet,plodne dni vypocet,gsc,,10,,0,2,42.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
praktickylekar online,praktickylekar online,praktickylekar online,gsc,,90,9,0,2,10,https://www.myglobalhealth.online/czechia/cs/gp-consultation-online,online GP and doctor,excluded-low-fit,
termín porodu podle ultrazvuku,termín porodu podle ultrazvuku,termin porodu podle ultrazvuku,gsc,,10,30,0,2,48,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
test na cholesterol doma,test na cholesterol doma,test na cholesterol doma,gsc,,,43,0,2,33.5,,other target demand,excluded-low-fit,
test na intoleranci laktozy,test na intoleranci laktozy,test na intoleranci laktozy,gsc,,,0,0,2,35.5,,other target demand,excluded-low-fit,
test střevního mikrobiomu,test střevního mikrobiomu,test strevniho mikrobiomu,gsc,,20,,0,2,27.5,,other target demand,excluded-low-fit,
váhová kalkulačka,váhová kalkulačka,vahova kalkulacka,gsc,,50,17,0,2,30,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
výpočet menstruace kalkulačka,výpočet menstruace kalkulačka,vypocet menstruace kalkulacka,gsc,,40,0,0,2,40.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
výpočet menstruačního cyklu,výpočet menstruačního cyklu,vypocet menstruacniho cyklu,gsc,,20,43,0,2,37.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
výpočet plodných dnů,výpočet plodných dnů,vypocet plodnych dnu,gsc,,390,0,0,2,54.5,https://www.myglobalhealth.online/czechia/cs/tools/ovulation-calculator,other target demand,excluded-low-fit,
yasmin holz,yasmin holz,yasmin holz,gsc,,,,0,2,4,,other target demand,excluded-low-fit,
клиники онлайн,клиники онлайн,клиники онлаин,gsc,,,,0,2,20.5,https://www.myglobalhealth.online/czechia/cs,other target demand,excluded-low-fit,
?,?,?,gsc,,,,0,1,1,https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,other target demand,excluded-low-fit,
104/70,104/70,104/70,gsc,,,,0,1,1,https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart,other target demand,excluded-low-fit,
24 hour online doctor,24 hour online doctor,24 hour online doctor,gsc,,,,0,1,7,https://www.myglobalhealth.online/czechia/en/blog/online-doctor-czechia-what-it-solves,online GP and doctor,excluded-low-fit,
24/7 medical near me,24/7 medical near me,24/7 medical near me,gsc,,,,0,1,1,,other target demand,excluded-low-fit,
420 kcal,420 kcal,420 kcal,gsc,,,,0,1,33,,other target demand,excluded-low-fit,
add porucha test,add porucha test,add porucha test,gsc,,40,40,0,1,24,https://www.myglobalhealth.online/czechia/cs/tools/adhd-test,other target demand,excluded-low-fit,
ahmed dr,ahmed dr,ahmed dr,gsc,,,,0,1,9,,other target demand,excluded-low-fit,
ake su to,ake su to,ake su to,gsc,,,,0,1,1,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,other target demand,excluded-low-fit,
ano chci,ano chci,ano chci,gsc,,,,0,1,1,https://www.myglobalhealth.online/czechia/cs/services/muzske-zdravi-online,other target demand,excluded-low-fit,
ano chci najít,ano chci najít,ano chci najit,gsc,,,,0,1,2,,other target demand,excluded-low-fit,
body index,body index,body index,gsc,,,,0,1,64,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
body mass index,body mass index,body mass index,gsc,,1000,64,0,1,72,https://www.myglobalhealth.online/czechia/en/tools/bmi-calculator,other target demand,excluded-low-fit,
body mass index test,body mass index test,body mass index test,gsc,,260,23,0,1,42,https://www.myglobalhealth.online/czechia/cs/tools/bmi-calculator,other target demand,excluded-low-fit,
book your consultation,book your consultation,book your consultation,gsc,,,,0,1,2,https://www.myglobalhealth.online/czechia/cs/book,other target demand,excluded-low-fit,
centro de salud cerca de mi,centro de salud cerca de mi,centro de salud cerca de mi,gsc,,,,0,1,11,,other target demand,excluded-low-fit,
centro médico,centro médico,centro medico,gsc,,,,0,1,12,,other target demand,excluded-low-fit,
clínica cerca de mi,clínica cerca de mi,clinica cerca de mi,gsc,,,,0,1,1,,other target demand,excluded-low-fit,
cukrovka jako hrozba pro cechy jak ji predchazet,cukrovka jako hrozba pro cechy jak ji predchazet,cukrovka jako hrozba pro cechy jak ji predchazet,gsc,,,,0,1,22,https://www.myglobalhealth.online/czechia/es/blog/diabetes-ticha-nemoc,chronic disease,excluded-low-fit,
cukrovka příčiny,cukrovka příčiny,cukrovka priciny,gsc,,70,0,0,1,37,,chronic disease,excluded-low-fit,
czechia,czechia,czechia,gsc,,8100,48,0,1,7,https://www.myglobalhealth.online/czechia/en/blog/neschopenka-czech-sick-note-explained,other target demand,excluded-low-fit,
datum poslední menstruace,datum poslední menstruace,datum posledni menstruace,gsc,,20,42,0,1,44,https://www.myglobalhealth.online/czechia/cs/tools/due-date-calculator,other target demand,excluded-low-fit,
