target_url,page_status,page_type,parent_hub,primary_keyword,secondary_keywords,supporting_questions,intent,funnel_stage,current_title,recommended_title,current_meta_description,recommended_meta_description,current_h1,recommended_h1,canonical,indexability,schema,primary_cta,internal_links_in,internal_links_out,recommended_action,priority,clinical_review,implementation_status
https://www.myglobalhealth.online/ireland/en/services/second-opinion-consultation,Live 200; in sitemap,commercial service,/ireland/en,online second opinion ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Second Opinion Consultation Ireland | Independent Doctor Online,Second Opinion Consultation Ireland | Independent Doctor Online,Independent second opinions on a diagnosis or treatment plan. Our Irish-registered doctors provide independent second opinion consultations via secure video call. Same-day appointments from €39.,Independent second opinions on a diagnosis or treatment plan. Our Irish-registered doctors provide independent second opinion consultations via secure video call. Same-day appointments from €39.,Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/second-opinion-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,51,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,Live 200; in sitemap,commercial service,/ireland/en,sick cert online,online medical certificate|doctors note online|online sick cert ireland|fit to work certificate|medical certificate ireland,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Sick Cert Online Ireland | Same-Day Medical Cert,Sick Cert Online Ireland | Same-Day Medical Cert,"Get a sick cert online from an IMC-registered Irish GP, same day. Medical certificates accepted by employers and colleges nationwide. €45, video call.","Get a sick cert online from an IMC-registered Irish GP, same day. Medical certificates accepted by employers and colleges nationwide. €45, video call.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/sick-certificate-ireland,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,52,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P1,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/skin-dermatology-consultation,Live 200; in sitemap,commercial service,/ireland/en,online skin consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Skin Consultation Ireland | Online Dermatology Assessment,Skin Consultation Ireland | Online Dermatology Assessment,"Assessment for rash, eczema, acne, and other skin concerns. Our Irish-registered doctors provide confidential skin assessments via secure video call. Same-day appointments available.","Assessment for rash, eczema, acne, and other skin concerns. Our Irish-registered doctors provide confidential skin assessments via secure video call. Same-day appointments available.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/skin-dermatology-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,49,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/travel-health-consultation,Live 200; in sitemap,commercial service,/ireland/en,travel health consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Travel Health Consultation Ireland | Pre-Travel Doctor Online,Travel Health Consultation Ireland | Pre-Travel Doctor Online,"Pre-travel health assessments for international trips. Our Irish-registered doctors provide pre-travel health assessments, destination-specific advice, and vaccination planning via secure video call. Book today.","Pre-travel health assessments for international trips. Our Irish-registered doctors provide pre-travel health assessments, destination-specific advice, and vaccination planning via secure video call. Book today.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/travel-health-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,46,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/treatment-review,Live 200; in sitemap,commercial service,/ireland/en,treatment review ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Repeat Treatment Review Ireland | Continue Your Care Online,Repeat Treatment Review Ireland | Continue Your Care Online,"Reviews for patients already on a treatment plan. Our Irish-registered doctors can review your ongoing care via secure video call. Same-day appointments available. Clinically assessed, not automatic.","Reviews for patients already on a treatment plan. Our Irish-registered doctors can review your ongoing care via secure video call. Same-day appointments available. Clinically assessed, not automatic.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/treatment-review,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,51,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,Live 200; in sitemap,commercial service,/ireland/en,online weight management ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Medical Weight Management Consultation Ireland | Doctor-Led,Medical Weight Management Consultation Ireland | Doctor-Led,"Medical weight management, doctor-led. Our Irish-registered doctors provide evidence-based medical weight management — including metabolic assessment, GLP-1 eligibility review, and personalised care plans.","Medical weight management, doctor-led. Our Irish-registered doctors provide evidence-based medical weight management — including metabolic assessment, GLP-1 eligibility review, and personalised care plans.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/weight-management-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,50,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P1,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en/services/womens-health-consultation,Live 200; in sitemap,commercial service,/ireland/en,online women's health consultation ireland,,Suitability?|What happens during the consultation?|When is in-person care needed?,commercial,decision,Women's Health Consultation Ireland | Confidential Online Doctor,Women's Health Consultation Ireland | Confidential Online Doctor,"Confidential women's health assessment with an Irish-registered doctor. Contraception, hormonal health, menopause, PCOS, and more — via secure video call. Same-day appointments available.","Confidential women's health assessment with an Irish-registered doctor. Contraception, hormonal health, menopause, PCOS, and more — via secure video call. Same-day appointments available.",Unavailable,Retain visible service H1,https://www.myglobalhealth.online/ireland/en/services/womens-health-consultation,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book consultation,Unavailable,50,Retain the existing URL. Review query intent and copy only where fresh evidence shows mismatch.,P3,Yes,No public change in this batch
https://www.myglobalhealth.online/ireland/en,Live 200; sitemap,market homepage,/,online doctor ireland,gp online appointment|online doctor appointment|online gp ireland|consulting doctor online|doctor online appointment,What services are available?|How do online consultations work?,commercial,decision,Unavailable,Retain current until page-level snippet review,Unavailable,Retain current until page-level snippet review,Unavailable,Retain current H1,self,"index,follow",MedicalOrganization|WebSite|WebPage,Find care,717,Unavailable,Do not expand or rewrite broadly; authority is the main constraint.,P2,Business/clinical,No public change
https://www.myglobalhealth.online/ireland/en/gp-consultation-online,Live 200; sitemap,commercial service,/ireland/en,online gp ireland,gp online appointment|online doctor appointment|online gp ireland|consulting doctor online|doctor online appointment,What can an online GP help with?|When is video care unsuitable?,commercial,decision,Unavailable,Retain one canonical GP title,Unavailable,Review only against exact GSC queries,Unavailable,Retain current H1,self,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book GP consultation,453,Unavailable,Strengthen verified differentiation and internal links; no competing GP page.,P1,Yes,No public change
https://www.myglobalhealth.online/ireland/en/lab-tests,Live 200; sitemap,commercial hub,/ireland/en,home blood test ireland,home blood tests|home blood test kit|blood testing kit at home|home blood test kits|blood test at home kit,Which tests are available?|How are samples collected?|How long do results take?,mixed,decision,Unavailable,No change before measurement gate,Unavailable,No change before measurement gate,Unavailable,No change before measurement gate,self,"index,follow",CollectionPage|ItemList|BreadcrumbList,Browse tests,606,Unavailable,Re-measure around 2026-09-08; implement only if ledger threshold is met.,P0,Yes,Frozen by canonical ledger
https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights,Live 200; sitemap,supporting article,/ireland/en/blog,sick certificate ireland employee rights,sick cert online|online medical certificate|doctors note online|online sick cert ireland|fit to work certificate,When is a sick cert required?|What are employee rights?,informational,consideration,Unavailable,Review against current GSC queries after recrawl,Unavailable,Review against current GSC queries after recrawl,Unavailable,Retain current H1,self,"index,follow",Article|BreadcrumbList,View sick-cert service,2072,Unavailable,CTR/query-intent review after existing migration settles.,P0,Yes,No public change
https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Live 200; sitemap,supporting article,/ireland/en/blog,illness benefit ireland,sick leave ireland|illness benefit claim,Who qualifies?|How is a claim made?,informational,awareness,Unavailable,Review with current official guidance,Unavailable,Review with current official guidance,Unavailable,Retain current H1,self,"index,follow",Article|BreadcrumbList,Relevant service link,1430,Unavailable,Low-CTR snippet and freshness review using official sources.,P0,Yes + legal/editorial,No public change
https://www.myglobalhealth.online/ireland/en/services/psychiatry-specialist-consultation,Live 200; sitemap,specialist service,/ireland/en/see-a-specialist,online psychiatrist ireland,psychiatry consultation ireland,What is included?|When is urgent care needed?,commercial,decision,Unavailable,Retain distinct psychiatry intent,Unavailable,Review only after cannibalisation query analysis,Unavailable,Retain distinct psychiatry H1,self,"index,follow",Service|MedicalWebPage|BreadcrumbList,Book specialist,195,Unavailable,Keep distinct from GP mental-health assessment.,P0,Yes,No public change
https://www.myglobalhealth.online/ireland/en/tools/bmi-calculator,Live 200; sitemap,tool,/ireland/en/tools,bmi calculator ireland,bmi calculator ireland|female bmi calculator|bmi calculator|bmi calculator women|women bmi calculator,What does BMI mean?|What are its limits?,informational,awareness,Unavailable,Retain current; develop as a linkable asset,Unavailable,Retain current,Unavailable,Retain current H1,self,"index,follow",WebApplication|BreadcrumbList,Relevant care nudge,Unavailable,Unavailable,Promote through legitimate digital PR; avoid diagnostic claims.,P1,Yes,No public change
https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator,Live 200; sitemap,tool,/ireland/en/tools,calorie calculator ireland,daily calorie calculator|calorie deficit calculator,How is the estimate calculated?|Who should not use it?,informational,awareness,Unavailable,Retain current,Unavailable,Retain current,Unavailable,Retain current H1,self,"index,follow",WebApplication|BreadcrumbList,Relevant care nudge,872,Unavailable,Review snippet and explanatory context; no automatic medical recommendation.,P0,Yes,No public change
https://www.myglobalhealth.online/ireland/en/tools/blood-pressure-chart,Live 200; sitemap,tool,/ireland/en/tools,blood pressure chart,blood pressure chart|blood pressure readings|blood pressure chart ireland|blood pressure range|blood pressure reading,What is a normal reading?|When should urgent help be sought?,informational,awareness,Unavailable,Review source freshness and snippet,Unavailable,Review source freshness and snippet,Unavailable,Retain current H1,self,"index,follow",MedicalWebPage|BreadcrumbList,Relevant GP nudge,340,Unavailable,Clinician-reviewed source/CTR improvement candidate.,P0,Yes,No public change
https://www.myglobalhealth.online/ireland/en/doctors,Live 200; sitemap,clinician hub,/ireland/en,doctors ireland,online doctors ireland|Irish registered doctors,How are clinicians verified?,commercial,consideration,Unavailable,Retain current,Unavailable,Retain current,Unavailable,Retain current H1,self,"index,follow",CollectionPage|Physician entities|BreadcrumbList,View doctor,289,Unavailable,Maintain verified credentials; no invented profiles.,P3,Business/clinical,No public change
