item_id,source_section,source_line,status_as_recorded,due_date,one_line,old_link
WATCH-/portugal/pt/health/atestado-medico-online,§6,1895,WAIT FOR GOOGLE — unmoved,,308 target correct in production; Google's stored crawl (2026-07-25) still predates the 2026-08-10 fix.,docs/plans/seo-control-state.md#L1895
WATCH-/portugal/es/health/atestado-medico-online,§6,1896,"WAIT FOR GOOGLE — crawl advanced, still pre-fix",,308 target correct; crawl date advanced from 2026-06-04 to 2026-07-25 but still predates the 2026-08-10 fix.,docs/plans/seo-control-state.md#L1896
WATCH-/faq,§6,1897,WAIT FOR GOOGLE,,"Retired hub URL still 'Submitted and indexed' with self-canonical /faq, crawl 2026-07-18 predates the 2026-08-15 retirement/redirect.",docs/plans/seo-control-state.md#L1897
WATCH-/czechia-doctors/mudr-libor-hlavaty,§6,1899,"WAIT FOR GOOGLE — stale, not wrong",,"Both URL shapes now 308 to /czechia/cs/doctors; Google's stored state (noindex, googleCanonical to the old per-doctor URL) last crawled 2026-07-30, before the 2026-08-14 fix.",docs/plans/seo-control-state.md#L1899
SEO-DOC-006,§6,1913,"PARTIAL PASS, zero FAIL — reviewBy extended",2026-09-24,"117 doctor-locale URLs backfilled to readyToIndex; 7 of 9 sampled cohort URLs still pre-fix crawl dates. Extension 1 of 3 permitted; a 3rd becomes a crawl-budget finding, not doctor-indexability.",docs/plans/seo-control-state.md#L1913
NEXT-1,§7 NEXT,3505,"evidence-backed candidate, size unproven",,"referral-and-investigations ranks pos 1-14 on informational private-referral queries but is a transactional page; per-query impressions 1-4, so cluster size is unproven — check first.",docs/plans/seo-control-state.md#L3505
NEXT-2,§7 NEXT,3517,feasibility check before any work,,Portugal driving-licence/atestado cluster: head queries sit at position 42-56 in a regulated in-person IMT process; check for a BUSINESS/SERP WALL before assuming a content fix exists.,docs/plans/seo-control-state.md#L3517
NEXT-3,§7 NEXT,3525,revisit if impressions grow,,Czechia coverage: best CTR of any market (4.76% at time of writing) on smallest base; no single cluster yet big enough for a batch.,docs/plans/seo-control-state.md#L3525
NEXT-4,§7 NEXT / §52.1,3529,"unblocked, not authorized",,"Product/Offer schema for the 17-page Ireland lab-test cluster; embargo lifted by §52.1 (ramp over, L8581) but the batch itself still needs an explicit decision.",docs/plans/seo-control-state.md#L3529
COUNTRY-WAVE-001-REORDER,§7 AFTER GLOBAL FOUNDATION / §52.3,3568,wave pairing rationale invalidated,,"Ireland+Czechia wave order was set on Czechia's CTR advantage; §52.3 shows Czechia now mid-pack (1.55% CTR), below Portugal and Ireland — wave order needs re-deriving before the wave starts.",docs/plans/seo-control-state.md#L3568
SEO-GROWTH-016,§7 MONITOR / §52.1,3613,"ramp expired, reclassify",,"Ireland lab cluster indexing-ramp explanation expired (§52.1): impressions peaked then fell 37% and flattened; hub-detail hand-off reversed. -F and schema items unblocked, still need a decision.",docs/plans/seo-control-state.md#L3613
MONITOR-desktop-mobile-divergence,§7 MONITOR,3610,"new observation, watch",,Desktop draws more impressions than mobile at 1.68% CTR / position 20.7; watch whether it persists once the tool long tail stabilises.,docs/plans/seo-control-state.md#L3610
MONITOR-randox-competitor,§7 MONITOR,3620,watch only,,~57 Ireland impressions/window are Randox supplier-brand searches MGH ranks pos 6-13 with zero clicks; watch only for whether Randox's own IE presence displaces MGH on non-brand terms too.,docs/plans/seo-control-state.md#L3620
MONITOR-spain-wrong-locale-consulta-medica,§7 MONITOR,3625,"growing, not yet the bottleneck",,consulta-medica-online (wrong-locale page) grew from 194/0 to 518 impressions/7 clicks at pos 23.2; not yet the bottleneck but becomes a real WRONG LOCALE item if it keeps growing.,docs/plans/seo-control-state.md#L3625
MANUAL-oauth-consent,§7 MANUAL,3634,needs owner action,,"Google OAuth consent screen still in Testing (7-day refresh-token cap); stated expiry ~2026-08-10 passed, so local claude-seo scripts may be dead. Publish it to stop weekly re-auth.",docs/plans/seo-control-state.md#L3634
SEO-DOC-002,§5 / §7 MANUAL,3635,MANUAL ACTION REQUIRED,,Write real bios for 5 doctors behind 26 noindex URLs; correctly gated clinical/editorial content pending business decision.,docs/plans/seo-control-state.md#L3635
MANUAL-wix-outreach,§7 MANUAL,3636,needs owner/marketing action,,wix.to alone holds 195 backlinks to old URLs; ask high-value external referrers to point at current URLs. Do not buy or build links for a medical site.,docs/plans/seo-control-state.md#L3636
MANUAL-homepage-destination,§7 MANUAL,3637,product decision pending,,"Whether a country-selection interstitial is the right landing experience for brand search on /, a pure product call; the SEO half is already closed on evidence.",docs/plans/seo-control-state.md#L3637
MANUAL-lab-pricing-randox,§7 MANUAL,3638,commercial decision pending,,"MGH sells the same Randox kits more expensively than Randox direct on gut-microbiome/haemochromatosis; whether to reprice, bundle clinician interpretation, or accept position is a commercial call.",docs/plans/seo-control-state.md#L3638
MANUAL-doctify-badge-scope,§7 MANUAL,3640,product decision pending,,Whether CountryTrustBar's Ireland-only Doctify badge should show on every market; the one remaining pre-existing ===ie gate after SEO-GROWTH-015 made the widget global elsewhere.,docs/plans/seo-control-state.md#L3640
SEO-METADATA-005,§5 / §7 DEFERRED,3672,DEFERRED,,"CMS-specific title inconsistency; not reproducible in a 4-page spot check, no measurable ranking cost. Re-check only if a title defect surfaces in GSC or a crawl.",docs/plans/seo-control-state.md#L3672
OPEN-WORK-REGISTER-001-D4,§41.1 / §43.3-43.4 / §55.2,7908,"Open, widened in scope",,Spain/Romania/Brazil have no clinical-approval gate; gap is the mutation boundary (admin routes bypass PT/CZ script-time gates); Romania now has a scoped gate but §43.4 is not closed globally.,docs/plans/seo-control-state.md#L7908
PT-SNIPPET-TRIM-DOCTOR-META,§41.2,7943,blocked on clinical approval,,"11 Portugal doctor meta-description trims drafted 2026-09-03, hashes computed; blocked on clinical approval of the new hashes; live pages still carry the untrimmed 191-220 char versions.",docs/plans/seo-control-state.md#L7943
PT-SNIPPET-TRIM-TOOL-FIELDS,§41.2,7946,blocked twice: no approval + no publication route,,"11 Portugal tool-page title/description fields drafted; the writer rejects targetKind==tool, so unblocking needs code, not just a reviewer, in addition to approval.",docs/plans/seo-control-state.md#L7946
PT-BEATRIZ-CARVALHO-IDENTITY,§41.2 / §41.4,7950,identity conflict blocks two rows,,"Beatriz Carvalho's register row is Portugal's sole blocked_pending_review of 45; her fact-register row the sole pending_official_verification of 16 — OPP returns Beatriz Sousa for OPP 31618, not her.",docs/plans/seo-control-state.md#L7950
IE-CONTENT-BRIEFS-12,§41.3 / §52.1,7984,no finished text exists,,"12 Ireland content briefs (online-gp-ireland, referral-and-investigations, home-blood-tests-ireland + 9 more) are specs, not copy; lab-hub freeze lifted per §52.1 but no text written yet.",docs/plans/seo-control-state.md#L7984
SEO-MEASURE-001,§42.1 / §47 / §49,8023,PARTIAL — begin_checkout confirmed missing,,"GA4 collection restored 2026-09-09 (correct tag, Realtime verified) but §49 confirms begin_checkout is NOT a registered key event and GSC shows no linked properties; fix before any 90-day read.",docs/plans/seo-control-state.md#L8023
ES-DERMATOLOGIA-GATE,§42.3 / §56.9,8112,"RE-ARMED, still unarmed",,dermatologia-especialista-online SERP-wall re-measure re-armed to 28 days after crawl advances past 2026-08-12; §56.9 (2026-09-14) still shows last crawl 2026-07-19 — gate has not started.,docs/plans/seo-control-state.md#L8112
PT-META-TRIM-GATE,§42.4,8121,30-day read due,2026-10-08,"Portugal 11 doctor meta-description trims (191-220 to 124-146 chars), deployed 2026-09-03; 30-day CTR-at-held-position read due 2026-10-08.",docs/plans/seo-control-state.md#L8121
PT-TOOL-REWRITE-GATE,§42.4,8122,30-day read due,2026-10-09,"Portugal 6 tool-page title/description rewrites, deployed 2026-09-04; 30-day CTR read on the tool cluster due 2026-10-09.",docs/plans/seo-control-state.md#L8122
GLOBAL-LEGAL-BOOK-GATE,§42.4,8123,30-day read due,2026-10-09,"Localised country names on /legal and /book across non-EN locales, deployed 2026-09-04; low-volume light CTR gate due 2026-10-09.",docs/plans/seo-control-state.md#L8123
SEO-META-002,§42.5,8127,"P1, blocked by missing gate",,"Meta descriptions over ~160 chars on ES/RO/BR commercial pages (Spain 37/37, Romania 20/20, Brazil 19/19) vs mature markets' single digits; blocked by missing gate. Spain partly trimmed by Phase 7.",docs/plans/seo-control-state.md#L8127
SEO-SPAIN-002,§42.5 / §53,8128,"recovery observed, unproven",2026-09-18,"Spain sick-leave-anxiety blog impressions resumed (123 impr/0 clicks, Aug29-Sep8) after a 4-day zero run; recovery/value unproven; next daily read due 2026-09-18; keep the commercial-fit hold.",docs/plans/seo-control-state.md#L8757
SEO-BRAZIL-002,§42.5,8129,"P2, consolidation decision pending",,"solicitação de exames cluster (pos 4-8, 4 URLs) needs a consolidation decision plus links; /brazil/pt title reads pt-PT 'Registados', should be 'Registrados' (§59.5 may have fixed this).",docs/plans/seo-control-state.md#L8129
ES-CLINICAL-GATE-BATCH-ORDER,§43,8183,"investigation only, defect 4 open",,ES-CLINICAL-GATE-000 investigation confirmed enforcement must sit at the mutation boundary (admin routes bypass PT/CZ gates too); no gate was built. See OPEN-WORK-REGISTER-001-D4 for current state.,docs/plans/seo-control-state.md#L8183
OWNER-PRIORITY-SPAIN-ROMANIA-BRAZIL,§50,8424,"directive, partially executed",,Owner directed Spain/Romania/Brazil as the next country SEO programs (2026-09-09); substantial work has since landed for all three (§§54-59) but none is declared research/measurement-complete.,docs/plans/seo-control-state.md#L8424
PERF-REMEDIATION-PRODUCTION-PROMOTION,§46,8339,open acceptance gates,,"Performance remediation deployed/verified on Development only; production promotion, real cold-cache/percentile measurements, DB connection ceiling and field CWV remain open.",docs/plans/seo-control-state.md#L8339
ROMANIA-BRINDUS-CREDENTIAL-CONFLICT,§55 / §55.5 / §55.7,8830,authoritative evidence needed,,Dr Robert Gabriel Brindus's specialty disagreement and unsupported biography claims need authoritative evidence; held separately from the now-staffed pain service and published editorial copy.,docs/plans/seo-control-state.md#L8830
ROMANIA-BRANCH-MERGE-PENDING,§55.3 / §55.5,9021,main merge not performed,,"Romania's tested backend enforcement and content shipped via an isolated Railway upload from commit 39656572, not a main merge; integrate before the next main deploy or it could be overwritten.",docs/plans/seo-control-state.md#L9021
ROMANIA-MEASUREMENT-GATES,§55.3 / §55.5,9012,30/60/90-day gates due,2026-10-12,"Romania rollout (114 URLs, 2026-09-12) and editorial batch (2026-09-13): 30/60/90-day measurement gates due 2026-10-12, 2026-11-11 and 2026-12-11.",docs/plans/seo-control-state.md#L9012
ES-SERVICE-KIND-FLEBOLOGIA-VASCULAR,§56.12,9351,open owner admin action,,Set Service.kind from SPECIALIST to general for consulta-flebologia-y-linfologia and consulta-diagnotico-vascular — specialist claim removed from copy but stored kind still drives the eyebrow label.,docs/plans/seo-control-state.md#L9351
ES-LUZ-ZULUAGA-CGCOM-RECHECK,§56.12,9403,owner keeps live; CGCOM mismatch stands,2026-09-18,Owner instructed keeping Luz Marina Zuluaga Ríos live as practising; CGCOM still listed her as ALTA sin ejercicio at the 14 September recheck. Recheck again 2026-09-18.,docs/plans/seo-control-state.md#L9403
ES-EDITORIAL-73-DERMATOLOGY-ONLINE-VS-INPERSON,§56.13,9863,needs fresh GSC + clinical approval,,"Dermatology and online-vs-in-person copy updates (editorial plan §7.3) still open, needing fresh GSC/OpenSEO data and clinical approval before any write.",docs/plans/seo-control-state.md#L9863
ES-PREP-LIMITATIONS-CONTENT,§56.13,9863,"day 60/90 content, not yet written",,"Preparation/limitations content for the day-60/90 measurement gates still open, needing fresh GSC/OpenSEO data and clinical approval before any write.",docs/plans/seo-control-state.md#L9863
ES-SPAIN-MEASUREMENT-GATES,§56.11-56.15,9784,30/60/90-day gates due,2026-10-14,"Spain phases 1-7 (sick-leave wording, vascular/dermatology copy, description trims) share cohort dates 2026-10-14 / 2026-11-13 / 2026-12-13.",docs/plans/seo-control-state.md#L9784
ES-DERMATOLOGY-REQUEST-INDEXING,§56.9,9725,owner UI action pending,,"Owner action (Search Console UI only, not Indexing API): request indexing for /spain/es/services/dermatologia-especialista-online and /spain/es/services/consulta-piel-online; not confirmed done.",docs/plans/seo-control-state.md#L9725
BR-ARTICLE-ATTRIBUTION-BLOCKED,§59.16,10467,classifier-blocked,,"Brazil article attribution (showing Dr. Renato Sarmento, not Dr. Tiago) is blocked by the automated permission classifier; left open by owner decision.",docs/plans/seo-control-state.md#L10467
BR-DR-RENATO-INDEXING-DECISION,§59.13 / §59.16,10467,"answer given, meaning unconfirmed",,"Owner answered no to whether /brazil/*/dr-renato should be indexed (B6, §59.13 L10394), but the meaning of that answer still needs confirming; left open in the final §59.16 status.",docs/plans/seo-control-state.md#L10394
BR-GA4-FUNNEL-CHECK,§59.9 / §59.16,10318,code verified; live GA4 read NOT done,,begin_booking/booking_confirmed tracking is verified for Brazil (allowlist includes br/brazil) but no one with GA4 access confirmed market=brazil events in property 547083375 before the 90-day reads.,docs/plans/seo-control-state.md#L10318
BR-ARTICLE-FACT-CHECKS,§59.16,10467,"open, left by owner decision",,Brazil article fact-checks remain open; left by owner decision alongside the other blocked-list items.,docs/plans/seo-control-state.md#L10467
BR-MEDICAL-REVIEW-POLICY-PAGE,§59.16,10467,"open, left by owner decision",,Brazil medical-review policy page remains open; left by owner decision.,docs/plans/seo-control-state.md#L10467
BR-SIGNING-PROVIDER-ATESTA,§57.3 / §59.13 / §59.16,10467,"open, provider not answered",,ICP-Brasil/Atesta signing workflow confirmation and signing-provider choice remain open; owner has not answered the signing-provider question (§59.13 L10394).,docs/plans/seo-control-state.md#L10467
BR-DR-TIAGO-IDENTITY,§57.4 / §59.13,8926,"name-only, not matched to a stored doctor id",,"Dr Tiago is retained by supplied name only in Brazil's clinical-approval record, no identity match invented; Brazil articles now show Renato instead, sidestepping the identity gap.",docs/plans/seo-control-state.md#L8926
BR-MEASUREMENT-GATES,§57.6 / §59 (multiple),9982,30/60/90-day gates due,2026-10-15,Brazil phase-4 through phase-7 content batches share 30/60/90-day cohort dates 2026-10-15 / 2026-11-14 / 2026-12-14.,docs/plans/seo-control-state.md#L9982
BR-RETAINED-HELD-VERIFICATION-PAGES,§57.6,9992,"48 retained, 36 held, 12 verification pages",,"48 retained page candidates, 36 held legal/article pages and 12 pages requiring further verification remain outside the applied Brazil phase-4 batch; browser check of the remaining pages not yet done.",docs/plans/seo-control-state.md#L9992
INTERNAL-LINKING-MEASUREMENT-GATES,§58.1,10088,28/56-day gates due,2026-10-11,"Internal-linking batch (2026-09-13 proposal, implemented 2026-09-13/14): rows 1-5,8,9,13 measure 2026-10-11 and 2026-11-08; rows 6,7,10,11,12 measure 2026-10-12 and 2026-11-09.",docs/plans/seo-control-state.md#L10088
IE-LAB-HUB-AVAILABILITY-DECISION,§58.1,10073,"missing fact, decision pending",,"/ireland/en/lab-tests 404s because the country health-tests feature toggle is off, not a routing defect; missing fact is whether ops intends Irish lab ordering to be available.",docs/plans/seo-control-state.md#L10073
SEO-011,§5,915,DEPLOYED — MANUAL CONSENTED-WIDGET CHECK PENDING,,"Doctify widget locale-mapping fix is shipped; the consent-gated third-party UI was never truthfully verified by the raw-HTML check. Load a pt/es/cs/ro page, grant consent, confirm labels populate.",docs/plans/seo-control-state.md#L915
SEO-014,§5,918,DEPLOYED — FOLLOW-UP SCAN PENDING,,"Screen-reader text for whole-card overlays/icon links is shipped, but the raw-HTML scan can't distinguish true failures; re-run a rendered-DOM textless-link scan and close only if it returns zero.",docs/plans/seo-control-state.md#L918
SEO-SEMRUSH-001,§5,932,DEPLOYED — SEMRUSH RECRAWL PENDING,,133-item invalid-structured-data fix is live in production; the authenticated SEMrush project has not yet reprocessed the affected URLs. Rerun SEMrush validation after its next crawl.,docs/plans/seo-control-state.md#L932
SEO-SICKCERT-001,§5,955,CODE VERIFIED — RECRAWL REQUEST NEEDS A HUMAN,,"Sick-cert page 308 canonicalisation is verified in production; the only remaining step is requesting indexing for the URL in the GSC console (last crawled 2026-07-17), which is not automatable.",docs/plans/seo-control-state.md#L955
SEO-LINKS-001,§5,967,MANUAL ACTION REQUIRED,,"Outreach to medical directories and national clinician registries across the six markets to improve the 62-referring-domain, low-quality-tail backlink profile; not a code change (Hassaan/marketing).",docs/plans/seo-control-state.md#L967
SEO-CTR-001,§5,949,PARTIALLY IMPLEMENTED,,Two of 27 striking-distance pages (Czech/Spanish blood-pressure-chart tools) were retitled for a genuine query/title mismatch; re-pull page-level CTR after deploy+recrawl; do not touch calorie titles.,docs/plans/seo-control-state.md#L949
SEO-DOC-004-DISPOSITION,§5,1016,"CLOSED, but next-action column says work owed",,Marked CLOSED (Czech legacy doctor URLs routed to roster) yet its own Next-action says a production re-probe and the §14.8 disposition check are still owed — internally inconsistent status.,docs/plans/seo-control-state.md#L1016
SEO-GLOBAL-LANG-003,§5,1000,DEPLOYED — AWAITING MEASUREMENT,,Country-scoped FAQ copy (11 of 33 indexable) deployed; outcome measurement against the awaiting-measurement gate not yet recorded in this ledger.,docs/plans/seo-control-state.md#L1000
SEO-FOUNDATION-001-A,§5 / §52.1,1024,"unblocked, not authorized",,"Ireland lab-test locale gate (latent risk) was frozen behind the 09-08 re-measure; §52.1 found the ramp ended, so the freeze's premise is gone — unblocked but still needs a decision.",docs/plans/seo-control-state.md#L1024
SEO-FOUNDATION-001-F,§5 / §52.1,1027,"unblocked, not authorized",,"Ireland lab detail pages carry zero sibling/service internal links; blocked only to avoid acting mid-ramp. §52.1 (L8581) found the ramp over; unblocked but not authorized, needs an explicit decision.",docs/plans/seo-control-state.md#L1027
