"source_batch","seed_keyword","provider_source","keyword","search_volume","keyword_difficulty","cpc_eur","competition","intent","trend","collected_at"
"pt_kw_seed_pilot","médico online","related","eagenda marcação de consultas","590","6","1.2","0.09","navigational","[{""year"":2026,""month"":7,""searchVolume"":390},{""year"":2026,""month"":6,""searchVolume"":390},{""year"":2026,""month"":5,""searchVolume"":480},{""year"":2026,""month"":4,""searchVolume"":480},{""year"":2026,""month"":3,""searchVolume"":590},{""year"":2026,""month"":2,""searchVolume"":590},{""year"":2026,""month"":1,""searchVolume"":720},{""year"":2025,""month"":12,""searchVolume"":590},{""year"":2025,""month"":11,""searchVolume"":720},{""year"":2025,""month"":10,""searchVolume"":1000},{""year"":2025,""month"":9,""searchVolume"":880},{""year"":2025,""month"":8,""searchVolume"":590}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","ver consultas marcadas","480","18","","0.02","informational","[{""year"":2026,""month"":7,""searchVolume"":210},{""year"":2026,""month"":6,""searchVolume"":260},{""year"":2026,""month"":5,""searchVolume"":320},{""year"":2026,""month"":4,""searchVolume"":320},{""year"":2026,""month"":3,""searchVolume"":320},{""year"":2026,""month"":2,""searchVolume"":320},{""year"":2026,""month"":1,""searchVolume"":590},{""year"":2025,""month"":12,""searchVolume"":260},{""year"":2025,""month"":11,""searchVolume"":320},{""year"":2025,""month"":10,""searchVolume"":880},{""year"":2025,""month"":9,""searchVolume"":1300},{""year"":2025,""month"":8,""searchVolume"":880}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","requerimento atestado médico de incapacidade multiuso pdf","480","0","0.4","0.02","informational","[{""year"":2026,""month"":7,""searchVolume"":390},{""year"":2026,""month"":6,""searchVolume"":320},{""year"":2026,""month"":5,""searchVolume"":480},{""year"":2026,""month"":4,""searchVolume"":480},{""year"":2026,""month"":3,""searchVolume"":480},{""year"":2026,""month"":2,""searchVolume"":390},{""year"":2026,""month"":1,""searchVolume"":480},{""year"":2025,""month"":12,""searchVolume"":320},{""year"":2025,""month"":11,""searchVolume"":590},{""year"":2025,""month"":10,""searchVolume"":590},{""year"":2025,""month"":9,""searchVolume"":590},{""year"":2025,""month"":8,""searchVolume"":390}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","portal do utente marcar consulta","390","24","1.27","0.02","navigational","[{""year"":2026,""month"":7,""searchVolume"":320},{""year"":2026,""month"":6,""searchVolume"":260},{""year"":2026,""month"":5,""searchVolume"":260},{""year"":2026,""month"":4,""searchVolume"":590},{""year"":2026,""month"":3,""searchVolume"":480},{""year"":2026,""month"":2,""searchVolume"":480},{""year"":2026,""month"":1,""searchVolume"":590},{""year"":2025,""month"":12,""searchVolume"":390},{""year"":2025,""month"":11,""searchVolume"":390},{""year"":2025,""month"":10,""searchVolume"":210},{""year"":2025,""month"":9,""searchVolume"":260},{""year"":2025,""month"":8,""searchVolume"":210}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","teleconsulta sns 24","390","4","1.87","0.24","navigational","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":260},{""year"":2026,""month"":5,""searchVolume"":320},{""year"":2026,""month"":4,""searchVolume"":320},{""year"":2026,""month"":3,""searchVolume"":390},{""year"":2026,""month"":2,""searchVolume"":320},{""year"":2026,""month"":1,""searchVolume"":480},{""year"":2025,""month"":12,""searchVolume"":480},{""year"":2025,""month"":11,""searchVolume"":390},{""year"":2025,""month"":10,""searchVolume"":390},{""year"":2025,""month"":9,""searchVolume"":480},{""year"":2025,""month"":8,""searchVolume"":480}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","como passar na junta médica","320","0","0.74","0.02","informational","[{""year"":2026,""month"":7,""searchVolume"":210},{""year"":2026,""month"":6,""searchVolume"":110},{""year"":2026,""month"":5,""searchVolume"":320},{""year"":2026,""month"":4,""searchVolume"":390},{""year"":2026,""month"":3,""searchVolume"":320},{""year"":2026,""month"":2,""searchVolume"":320},{""year"":2026,""month"":1,""searchVolume"":390},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":320},{""year"":2025,""month"":10,""searchVolume"":390},{""year"":2025,""month"":9,""searchVolume"":480},{""year"":2025,""month"":8,""searchVolume"":320}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico online para carta de condução","260","0","3.22","0.3","transactional","[{""year"":2026,""month"":7,""searchVolume"":320},{""year"":2026,""month"":6,""searchVolume"":260},{""year"":2026,""month"":5,""searchVolume"":320},{""year"":2026,""month"":4,""searchVolume"":210},{""year"":2026,""month"":3,""searchVolume"":260},{""year"":2026,""month"":2,""searchVolume"":260},{""year"":2026,""month"":1,""searchVolume"":210},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":210},{""year"":2025,""month"":10,""searchVolume"":260},{""year"":2025,""month"":9,""searchVolume"":210},{""year"":2025,""month"":8,""searchVolume"":210}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","consulta online sns","210","13","2.72","0.48","navigational","[{""year"":2026,""month"":7,""searchVolume"":90},{""year"":2026,""month"":6,""searchVolume"":110},{""year"":2026,""month"":5,""searchVolume"":140},{""year"":2026,""month"":4,""searchVolume"":110},{""year"":2026,""month"":3,""searchVolume"":140},{""year"":2026,""month"":2,""searchVolume"":170},{""year"":2026,""month"":1,""searchVolume"":260},{""year"":2025,""month"":12,""searchVolume"":260},{""year"":2025,""month"":11,""searchVolume"":260},{""year"":2025,""month"":10,""searchVolume"":260},{""year"":2025,""month"":9,""searchVolume"":320},{""year"":2025,""month"":8,""searchVolume"":320}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico: adse regras","210","0","","0.01","informational","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":110},{""year"":2026,""month"":5,""searchVolume"":170},{""year"":2026,""month"":4,""searchVolume"":170},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":170},{""year"":2026,""month"":1,""searchVolume"":210},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":260},{""year"":2025,""month"":10,""searchVolume"":320},{""year"":2025,""month"":9,""searchVolume"":390},{""year"":2025,""month"":8,""searchVolume"":260}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","sns atestado médico para carta de condução","170","0","1.54","0.26","transactional","[{""year"":2026,""month"":7,""searchVolume"":210},{""year"":2026,""month"":6,""searchVolume"":210},{""year"":2026,""month"":5,""searchVolume"":260},{""year"":2026,""month"":4,""searchVolume"":210},{""year"":2026,""month"":3,""searchVolume"":260},{""year"":2026,""month"":2,""searchVolume"":260},{""year"":2026,""month"":1,""searchVolume"":260},{""year"":2025,""month"":12,""searchVolume"":140},{""year"":2025,""month"":11,""searchVolume"":140},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":50}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","consulta online portugal","140","7","4.6","0.81","navigational","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":140},{""year"":2026,""month"":5,""searchVolume"":140},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":110},{""year"":2026,""month"":1,""searchVolume"":170},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":140},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":110}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","sns atestado médico","140","9","1.96","0.14","informational","[{""year"":2026,""month"":7,""searchVolume"":90},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":140},{""year"":2026,""month"":4,""searchVolume"":90},{""year"":2026,""month"":3,""searchVolume"":140},{""year"":2026,""month"":2,""searchVolume"":140},{""year"":2026,""month"":1,""searchVolume"":210},{""year"":2025,""month"":12,""searchVolume"":170},{""year"":2025,""month"":11,""searchVolume"":140},{""year"":2025,""month"":10,""searchVolume"":210},{""year"":2025,""month"":9,""searchVolume"":210},{""year"":2025,""month"":8,""searchVolume"":170}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","pedir atestado médico online sns","110","9","1.32","0.31","transactional","[{""year"":2026,""month"":7,""searchVolume"":90},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":90},{""year"":2026,""month"":4,""searchVolume"":90},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":110},{""year"":2025,""month"":12,""searchVolume"":140},{""year"":2025,""month"":11,""searchVolume"":170},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":90},{""year"":2025,""month"":8,""searchVolume"":70}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","marcação consulta centro saúde abertos agora","110","","1.91","0.1","transactional","[{""year"":2026,""month"":7,""searchVolume"":210},{""year"":2026,""month"":6,""searchVolume"":210},{""year"":2026,""month"":5,""searchVolume"":260},{""year"":2026,""month"":4,""searchVolume"":210},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":10},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":20},{""year"":2025,""month"":9,""searchVolume"":10},{""year"":2025,""month"":8,""searchVolume"":10}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","sns consultas marcadas","110","24","","0.01","navigational","[{""year"":2026,""month"":7,""searchVolume"":110},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":90},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":170},{""year"":2026,""month"":2,""searchVolume"":110},{""year"":2026,""month"":1,""searchVolume"":210},{""year"":2025,""month"":12,""searchVolume"":90},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":70},{""year"":2025,""month"":9,""searchVolume"":30},{""year"":2025,""month"":8,""searchVolume"":20}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico pdf","90","0","0.98","0.09","informational","[{""year"":2026,""month"":7,""searchVolume"":70},{""year"":2026,""month"":6,""searchVolume"":90},{""year"":2026,""month"":5,""searchVolume"":110},{""year"":2026,""month"":4,""searchVolume"":110},{""year"":2026,""month"":3,""searchVolume"":110},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":170},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":170},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":70}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","marcar consulta online centro saúde para outra pessoa","90","","2.42","0.04","transactional","[{""year"":2026,""month"":7,""searchVolume"":170},{""year"":2026,""month"":6,""searchVolume"":210},{""year"":2026,""month"":5,""searchVolume"":170},{""year"":2026,""month"":4,""searchVolume"":140},{""year"":2026,""month"":3,""searchVolume"":110},{""year"":2026,""month"":2,""searchVolume"":90},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":70},{""year"":2025,""month"":10,""searchVolume"":0},{""year"":2025,""month"":9,""searchVolume"":0},{""year"":2025,""month"":8,""searchVolume"":0}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","médico online whatsapp grátis","70","0","1.82","0.72","informational","[{""year"":2026,""month"":7,""searchVolume"":40},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":70},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":50},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":110},{""year"":2025,""month"":11,""searchVolume"":70},{""year"":2025,""month"":10,""searchVolume"":90},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":90}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico online grátis","70","0","1.56","0.41","informational","[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":50},{""year"":2026,""month"":5,""searchVolume"":70},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":50},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":90},{""year"":2025,""month"":11,""searchVolume"":90},{""year"":2025,""month"":10,""searchVolume"":110},{""year"":2025,""month"":9,""searchVolume"":110},{""year"":2025,""month"":8,""searchVolume"":110}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","médico online médis","70","","1.55","0.58","commercial","[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":50},{""year"":2025,""month"":10,""searchVolume"":70},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":70}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","sns atestado multiusos","70","0","","0.03","navigational","[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":40},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":90},{""year"":2026,""month"":2,""searchVolume"":70},{""year"":2026,""month"":1,""searchVolume"":90},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":110},{""year"":2025,""month"":10,""searchVolume"":140},{""year"":2025,""month"":9,""searchVolume"":90},{""year"":2025,""month"":8,""searchVolume"":70}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","médico online grátis portugal","50","24","1.9","0.69","informational","[{""year"":2026,""month"":7,""searchVolume"":50},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":20},{""year"":2026,""month"":1,""searchVolume"":50},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":40},{""year"":2025,""month"":10,""searchVolume"":40},{""year"":2025,""month"":9,""searchVolume"":70},{""year"":2025,""month"":8,""searchVolume"":70}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","advancecare médico online contactos","50","","0.92","0.22","navigational","[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":20},{""year"":2026,""month"":5,""searchVolume"":50},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":70},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":70},{""year"":2025,""month"":11,""searchVolume"":40},{""year"":2025,""month"":10,""searchVolume"":40},{""year"":2025,""month"":9,""searchVolume"":40},{""year"":2025,""month"":8,""searchVolume"":50}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","preciso de um atestado médico urgente","40","4","2.06","0.64","transactional","[{""year"":2026,""month"":7,""searchVolume"":20},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":10},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":30},{""year"":2026,""month"":1,""searchVolume"":70},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":40},{""year"":2025,""month"":10,""searchVolume"":40},{""year"":2025,""month"":9,""searchVolume"":50},{""year"":2025,""month"":8,""searchVolume"":50}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","médico online grátis chat 24 horas","30","5","2.08","0.62","informational","[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":20},{""year"":2026,""month"":2,""searchVolume"":20},{""year"":2026,""month"":1,""searchVolume"":50},{""year"":2025,""month"":12,""searchVolume"":50},{""year"":2025,""month"":11,""searchVolume"":30},{""year"":2025,""month"":10,""searchVolume"":40},{""year"":2025,""month"":9,""searchVolume"":40},{""year"":2025,""month"":8,""searchVolume"":40}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","consulta online grátis","30","","3.04","0.64","informational","[{""year"":2026,""month"":7,""searchVolume"":40},{""year"":2026,""month"":6,""searchVolume"":30},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":30},{""year"":2025,""month"":12,""searchVolume"":30},{""year"":2025,""month"":11,""searchVolume"":20},{""year"":2025,""month"":10,""searchVolume"":20},{""year"":2025,""month"":9,""searchVolume"":10},{""year"":2025,""month"":8,""searchVolume"":10}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","atestado médico download pdf","20","","1.14","0.18","informational","[{""year"":2026,""month"":7,""searchVolume"":20},{""year"":2026,""month"":6,""searchVolume"":10},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":30},{""year"":2026,""month"":3,""searchVolume"":20},{""year"":2026,""month"":2,""searchVolume"":10},{""year"":2026,""month"":1,""searchVolume"":30},{""year"":2025,""month"":12,""searchVolume"":20},{""year"":2025,""month"":11,""searchVolume"":30},{""year"":2025,""month"":10,""searchVolume"":30},{""year"":2025,""month"":9,""searchVolume"":30},{""year"":2025,""month"":8,""searchVolume"":10}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","dr online receitas","20","","1.72","0.73","transactional","[{""year"":2026,""month"":7,""searchVolume"":40},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":40},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":40},{""year"":2026,""month"":2,""searchVolume"":20},{""year"":2026,""month"":1,""searchVolume"":0},{""year"":2025,""month"":12,""searchVolume"":0},{""year"":2025,""month"":11,""searchVolume"":0},{""year"":2025,""month"":10,""searchVolume"":0},{""year"":2025,""month"":9,""searchVolume"":0},{""year"":2025,""month"":8,""searchVolume"":0}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","dr online consulta","20","","2.74","0.74","navigational","[{""year"":2026,""month"":7,""searchVolume"":30},{""year"":2026,""month"":6,""searchVolume"":20},{""year"":2026,""month"":5,""searchVolume"":20},{""year"":2026,""month"":4,""searchVolume"":20},{""year"":2026,""month"":3,""searchVolume"":10},{""year"":2026,""month"":2,""searchVolume"":40},{""year"":2026,""month"":1,""searchVolume"":30},{""year"":2025,""month"":12,""searchVolume"":20},{""year"":2025,""month"":11,""searchVolume"":10},{""year"":2025,""month"":10,""searchVolume"":10},{""year"":2025,""month"":9,""searchVolume"":10},{""year"":2025,""month"":8,""searchVolume"":10}]","2026-08-31"
"pt_kw_seed_pilot","médico online","related","dr online imt","20","","2.89","0.73","navigational","[{""year"":2026,""month"":7,""searchVolume"":10},{""year"":2026,""month"":6,""searchVolume"":40},{""year"":2026,""month"":5,""searchVolume"":30},{""year"":2026,""month"":4,""searchVolume"":50},{""year"":2026,""month"":3,""searchVolume"":30},{""year"":2026,""month"":2,""searchVolume"":30},{""year"":2026,""month"":1,""searchVolume"":50},{""year"":2025,""month"":12,""searchVolume"":20},{""year"":2025,""month"":11,""searchVolume"":20},{""year"":2025,""month"":10,""searchVolume"":0},{""year"":2025,""month"":9,""searchVolume"":0},{""year"":2025,""month"":8,""searchVolume"":0}]","2026-08-31"
